    T[sec]  F7  F3 Fz   F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
41 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1 245.1
0.833333 -76 -54.1 -39.02 -30.04 -13.05 -51.11 -47.04 -37.1 -19.03 -4.069 -25.01 -45 -40.1 0 -49.07 -35.07
0.84 -31.12 -49.07 -41.05 -33.03 -19.03 -35.07 -47.04 -43.09 -31.12 -23.1 -23.1 -44.04 -41.05 -17.12 -47.04 -50.03
0.846667 -36.03 -51.11 -42.01 -41.05 -25.01 -20.11 -38.06 -34.11 -40.1 -13.05 3.95 -25.01 -41.05 -14 -27.05 -46.08
0.853333 -29.08 -53.02 -42.01 -41.05 -31.12 -27.05 -43.09 -41.05 -39.02 -28.01 -16.04 -31.12 -41.05 -32.08 -23.1 -40.1
0.86 -13.05 -34.11 -20.11 -29.08 -22.02 -17.12 -20.11 -6.104 -42.01 -10.05 -11.01 -22.02 -30.04 -31.12 -23.1 -35.07
0.866667 -11.01 -23.1 -4.069 -9.096 -5.027 -19.03 -5.027 13.88 -17.12 -2.035 -28.01 -11.01 -9.096 -30.04 -17.12 -26.09
0.873333 10.89 5.984 31 33.99 35.91 26.93 44.88 60.92 10.89 31.96 15.92 29.92 25.97 -8.019 17 10.89
0.88 21.9 11.97 35.91 45.96 37.94 5.984 41.89 69.9 59.96 45.96 1.915 38.9 53.98 13.88 32.91 31
0.886667 24.89 10.89 39.98 48.95 45.96 7.899 37.94 63.91 55.89 60.92 -9.096 25.97 54.94 26.93 20.95 35.91
0.893333 1.915 -1.077 17 31.96 29.92 0.9575 14.96 42.97 56.97 73.97 -2.035 11.97 45.96 54.94 8.977 34.95
0.9 1.915 -4.069 7.899 19.99 28.96 4.907 10.89 17.95 33.99 41.89 17 7.899 24.89 27.89 14.96 27.89
0.906667 2.992 -16.04 -11.01 6.942 11.97 -7.062 0.9575 -1.077 11.97 28.96 23.94 -3.112 8.977 26.93 8.977 28.96
0.913333 -17.12 -18.07 -38.06 -8.019 -5.027 -47.04 -23.1 -44.04 -10.05 2.992 -28.01 -31.12 -10.05 10.89 -3.112 15.92
0.92 -35.07 -43.09 -49.07 -19.03 -17.12 -35.07 -41.05 -55.06 -43.09 9.934 -3.112 -37.1 -21.06 23.94 -15.08 9.934
0.926667 -41.05 -45 -56.01 -39.02 -41.05 -25.01 -55.06 -70.02 -42.01 -9.096 -8.019 -31.12 -43.09 12.93 -9.096 0
