    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 134.1 134.1 134.1 134.1 134.1 134.1 134.1 134.1 134.1 134.1 134.1 134.1 134.1 134.1 134.1 134.1
0.625 -13.03 -9.034 -15.06 -25.01 -13.03 -11.06 -21.01 -23.04 -25.01 -21.01 -29.06 -33.06 -2.029 -19.05 -21.01 -3.011
0.63 -27.04 -25.01 -31.03 -40.06 -23.04 -22.06 -34.04 -36 -40.06 -31.03 -37.05 -46.02 -18 -33.06 -32.01 -21.01
0.635 -35.02 -35.02 -45.04 -52.04 -32.01 -35.02 -50.01 -53.02 -54.01 -38.03 -48.05 -60.03 -39.02 -43.01 -38.03 -36
0.64 -39.02 -43.01 -53.02 -61.01 -37.05 -45.04 -61.01 -61.01 -59.05 -41.04 -51.06 -71.03 -59.05 -53.02 -39.02 -43.01
0.645 -33.06 -40.06 -53.02 -58.06 -34.04 -47 -63.04 -59.05 -52.04 -39.02 -48.05 -65 -53.02 -52.04 -27.04 -41.04
0.65 -27.04 -32.01 -45.04 -48.05 -30.05 -44.06 -55.05 -47 -42.03 -29.06 -38.03 -55.05 -41.04 -42.03 -15.06 -33.06
0.655 -21.01 -23.04 -29.06 -37.05 -25.01 -33.06 -37.05 -31.03 -27.04 -25.01 -25.01 -35.02 -17.02 -31.03 -3.011 -29.06
0.66 -15.06 -12.04 -17.02 -29.06 -16.04 -18 -15.06 -19.05 -19.05 -16.04 -6.022 -13.03 0 -22.06 3.993 -20.03
0.665 -11.06 -4.059 -7.004 -21.01 -11.06 -2.029 -1.047 -13.03 -13.03 -8.052 0 1.964 9.95 -16.04 11 -12.04
0.67 -7.004 -2.029 -1.047 -15.06 -7.004 1.964 1.964 -11.06 -7.004 -5.041 9.95 7.986 13.94 -9.034 19.97 -3.011
0.675 -1.047 1.964 -2.029 -7.004 -3.011 8.968 7.986 -7.004 -1.047 1.964 13.94 17.94 24.94 -3.011 27.95 6.939
0.68 -1.047 1.964 1.964 0.9819 0.9819 12.96 13.94 0.9819 1.964 0.9819 17.94 20.95 33.97 0 26.97 18.98
0.685 0.9819 1.964 5.957 1.964 0 13.94 23.96 7.986 7.986 1.964 15.97 23.96 47.98 5.957 22 23.96
0.69 2.946 1.964 7.986 5.957 1.964 15.97 29.98 13.94 7.986 1.964 11.98 23.96 49.95 7.986 11.98 15.97
0.695 0.9819 1.964 7.986 5.957 1.964 17.94 31.95 11.98 1.964 0 3.993 19.97 40.98 1.964 1.964 0
0.7 -1.047 1.964 3.993 -2.029 1.964 15.97 23.96 3.993 -3.011 0.9819 -2.029 5.957 22 -1.047 -9.034 -11.06
0.705 -1.047 0 -2.029 -3.011 0 9.95 9.95 -3.011 -11.06 -1.047 0.9819 0 2.946 -9.034 -12.04 -21.01
0.71 -1.047 0 -1.047 -9.034 -2.029 1.964 -2.029 -9.034 -13.03 0.9819 0.9819 -4.059 -4.059 -11.06 -14.01 -21.01
0.715 -1.047 -2.029 -5.041 -9.034 0.9819 -2.029 -1.047 -11.06 -11.06 -2.029 0.9819 -11.06 -11.06 -9.034 -17.02 -15.06
