    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1 234.1
0.625 99 82.99 73.96 74.99 72.93 92.94 76.93 63.9 30.98 85.96 53.96 79.91 75.9 48.93 40.92 22.98
0.63 108.9 94.99 85.96 100.9 106 94.99 111 104.9 80.93 91.91 74.99 111 126.9 60.93 76.93 73.96
0.635 90.99 78.99 63.9 104.9 116.9 72.93 83.91 114 114 76.93 63.9 107 150.9 52.93 82.99 94.99
0.64 90.99 72.93 61.96 94.99 119.9 83.91 71.9 99 116.9 90.99 61.96 111.9 162.9 58.99 86.99 97.97
0.645 90.99 62.99 53.96 79.91 119.9 85.96 77.96 84.94 130.9 107.9 62.99 114 174.9 87.91 92.94 107.9
0.65 74.99 55.9 44.93 65.96 108.9 72.93 43.9 70.99 138 100.9 58.99 99 178 115.9 90.99 122.9
0.655 78.99 69.96 63.9 57.96 95.91 84.94 49.96 61.96 130 111 73.96 100.9 179.9 130.9 104.9 135.9
0.66 72.93 62.99 59.9 52.93 83.91 80.93 66.99 62.99 128.9 111.9 82.99 100.9 177 136.9 108.9 151.9
0.665 47.9 45.95 39.9 45.95 70.99 62.99 48.93 61.96 122 99 76.93 93.97 169 134 108.9 165
0.67 50.98 54.98 43.9 54.98 64.93 73.96 65.96 63.9 99.91 106 71.9 107.9 159.9 115 115 154.9
0.675 49.96 47.9 41.95 53.96 57.96 63.9 67.9 53.96 82.99 88.94 53.96 93.97 123.9 97.97 94.99 130
0.68 51.9 47.9 43.9 39.9 37.95 48.93 38.98 25.95 56.93 59.9 38.98 55.9 74.99 81.96 56.93 93.97
0.685 68.93 70.99 59.9 34.98 26.98 57.96 57.96 7.888 19.89 57.96 35.89 37.95 29.95 42.98 24.92 26.98
0.69 66.99 74.99 58.99 38.98 15.89 44.93 71.9 3.887 2.972 45.95 24.92 18.98 -4.001 18.98 -11.09 -17.03
0.695 57.96 77.96 53.96 39.9 7.888 31.89 61.96 11.89 -9.031 35.89 23.89 11.89 -21.03 5.944 -41.04 -39.1
0.7 63.9 97.97 67.9 47.9 13.95 41.95 73.96 29.95 -16 44.93 25.95 21.95 -17.03 -19.09 -53.04 -69.05
0.705 59.9 103.9 62.99 47.9 15.89 34.98 70.99 35.89 -9.031 25.95 19.89 8.916 -23.09 -29.04 -65.04 -81.05
0.71 54.98 94.99 56.93 32.92 19.89 24.92 59.9 21.95 -4.001 -2.058 18.98 0 -30.06 -28.01 -59.1 -81.05
0.715 72.93 94.99 52.93 36.92 30.98 37.95 66.99 15.89 0 -1.029 7.888 1.943 -27.09 -36.01 -35.09 -78.08
0.72 64.93 76.93 33.95 42.98 36.92 45.95 53.96 17.95 0 1.943 3.887 3.887 -18.06 -24.01 -7.087 -44.01
0.725 49.96 59.9 24.92 35.89 28.92 38.98 31.89 19.89 2.972 1.943 24.92 18.98 -4.001 -7.087 14.98 -8.002
0.73 47.9 62.99 26.98 26.98 24.92 36.92 29.95 31.89 11.89 19.89 32.92 38.98 18.98 -1.029 42.98 2.972
0.735 27.89 49.96 21.95 25.95 27.89 25.95 27.89 51.9 37.95 21.95 29.95 57.96 49.96 15.89 66.99 31.89
0.74 21.95 39.9 19.89 25.95 37.95 15.89 13.95 53.96 57.96 21.95 31.89 67.9 69.96 31.89 82.99 55.9
0.745 42.98 43.9 19.89 39.9 54.98 28.92 10.97 49.96 75.9 42.98 19.89 71.9 83.91 46.98 88.94 64.93
0.75 33.95 27.89 1.943 51.9 59.9 34.98 8.916 43.9 80.93 44.93 15.89 67.9 89.96 54.98 90.99 73.96
0.755 12.92 0 -17.03 33.95 46.98 15.89 -3.086 24.92 66.99 32.92 19.89 54.98 76.93 48.93 80.93 60.93
0.76 0.9145 -31.09 -37.04 7.888 27.89 -2.058 -10.06 2.972 59.9 28.92 7.888 48.93 72.93 53.96 74.99 40.92
0.765 -16 -54.07 -55.1 -3.086 16.92 -4.001 -29.04 -8.002 63.9 21.95 -9.031 37.95 78.99 61.96 72.93 52.93
0.77 -13.03 -56.01 -63.1 -19.09 13.95 -2.058 -69.05 -26.06 56.93 13.95 -23.09 20.92 72.93 57.96 54.98 56.93
0.775 7.888 -26.06 -53.04 -25.03 21.95 11.89 -77.05 -35.09 50.98 19.89 -25.03 3.887 65.96 63.9 34.98 43.9
0.78 9.945 -5.03 -43.1 -13.03 31.89 23.89 -51.1 -29.04 47.9 25.95 -17.03 0.9145 53.96 59.9 24.92 41.95
0.785 -4.001 -4.001 -45.04 -11.09 18.98 4.915 -48.01 -22.06 33.95 15.89 -17.03 -9.031 28.92 25.95 6.973 28.92
0.79 -28.01 -20 -57.04 -25.03 -8.002 -19.09 -50.07 -34.07 2.972 -4.001 -27.09 -25.03 1.943 0.9145 -1.029 -1.029
0.795 -39.1 -35.09 -61.04 -39.1 -37.04 -36.01 -57.04 -55.1 -26.06 -21.03 -32.01 -40.01 -23.09 -2.058 -9.031 -3.086
0.8 -39.1 -42.07 -67.1 -51.1 -47.1 -47.1 -75.1 -65.04 -47.1 -33.04 -45.04 -57.04 -47.1 -25.03 -29.04 -9.031
0.805 -24.01 -36.01 -69.05 -53.04 -39.1 -43.1 -64.02 -64.02 -60.01 -36.01 -43.1 -58.07 -64.02 -46.07 -47.1 -38.07
0.81 -13.03 -21.03 -53.04 -39.1 -30.06 -29.04 -48.01 -55.1 -67.1 -32.01 -32.01 -58.07 -81.05 -71.1 -59.1 -63.1
0.815 -30.06 -20 -51.1 -30.06 -32.01 -38.07 -52.01 -49.04 -67.1 -49.04 -39.1 -76.02 -115.1 -117.1 -87.11 -95.11
0.82 -47.1 -25.03 -57.04 -39.1 -60.01 -57.04 -49.04 -61.04 -89.05 -81.05 -42.07 -96.02 -165.1 -146.1 -111.1 -142.1
0.825 -33.04 -14.06 -37.04 -44.01 -78.08 -54.07 -27.09 -76.02 -109.1 -90.08 -23.09 -99.11 -180 -140 -105.1 -162.1
0.83 -20 -8.002 -29.04 -34.07 -75.1 -52.01 -8.002 -70.07 -92.02 -105.1 -25.03 -92.02 -171 -139 -99.11 -149.1
0.835 -18.06 -13.03 -33.04 -22.06 -63.1 -51.1 0 -57.04 -77.05 -109.1 -36.01 -73.05 -147 -144 -83.11 -140
0.84 -7.087 -7.087 -19.09 -7.087 -42.07 -39.1 -4.001 -40.01 -63.1 -86.08 -29.04 -45.04 -102.1 -135 -51.1 -108
0.845 -24.01 -10.06 -19.09 -2.058 -30.06 -44.01 -14.06 -21.03 -39.1 -79.11 -29.04 -28.01 -65.04 -133.1 -27.09 -71.1
0.85 -36.01 -16 -37.04 -11.09 -29.04 -64.02 -9.031 -13.03 -29.04 -68.02 -22.06 -8.002 -39.1 -109.1 -3.086 -40.01
0.855 -23.09 -20 -39.1 -8.002 -21.03 -56.01 0 -8.002 -21.03 -38.07 -4.001 17.95 0 -67.1 40.92 3.887
0.86 -30.06 -34.07 -50.07 -15.09 -23.09 -56.01 -12 -14.06 0.9145 -48.01 -13.03 21.95 21.95 -53.04 56.93 33.95
0.865 -45.04 -46.07 -71.1 -24.01 -33.04 -66.07 -24.01 -24.01 0 -66.07 -22.06 19.89 11.89 -55.1 58.99 31.89
0.87 -44.01 -34.07 -61.04 -23.09 -35.09 -60.01 -27.09 -21.03 -11.09 -56.01 -12 32.92 9.945 -53.04 78.99 24.92
0.875 -46.07 -30.06 -55.1 -28.01 -40.01 -60.01 -24.01 -17.03 -19.09 -53.04 -9.031 36.92 1.943 -55.1 82.99 11.89
0.88 -39.1 -35.09 -67.1 -29.04 -34.07 -69.05 -18.06 -8.002 -9.031 -50.07 -5.03 35.89 0 -41.04 72.93 8.916
0.885 -36.01 -43.1 -69.05 -20 -17.03 -65.04 -22.06 -2.058 -1.029 -37.04 -8.002 37.95 1.943 -22.06 72.93 22.98
0.89 -42.07 -50.07 -73.05 -30.06 -17.03 -52.01 -58.07 -16 1.943 -43.1 -29.04 6.973 -5.03 -21.03 34.98 11.89
0.895 -41.04 -60.01 -83.11 -44.01 -36.01 -46.07 -95.11 -50.07 -13.03 -54.07 -43.1 -33.04 -30.06 -20 -17.03 -10.06
0.9 -47.1 -55.1 -83.11 -47.1 -46.07 -45.04 -105.1 -73.05 -29.04 -35.09 -70.07 -66.07 -39.1 -18.06 -59.1 -28.01
0.905 -62.07 -64.02 -85.05 -58.07 -52.01 -44.01 -102.1 -91.11 -41.04 -21.03 -95.11 -102.1 -43.1 -25.03 -105.1 -37.04
0.91 -75.1 -77.05 -99.11 -65.04 -56.01 -63.1 -90.08 -97.05 -49.04 -42.07 -98.08 -130.1 -53.04 -31.09 -145.1 -41.04
0.915 -88.02 -76.02 -95.11 -61.04 -53.04 -77.05 -76.02 -90.08 -56.01 -56.01 -103.1 -133.1 -68.02 -50.07 -151 -54.07
0.92 -81.05 -64.02 -79.11 -61.04 -61.04 -57.04 -71.1 -87.11 -78.08 -53.04 -91.11 -125.1 -87.11 -65.04 -153.1 -73.05
0.925 -61.04 -59.1 -69.05 -55.1 -65.04 -42.07 -71.1 -85.05 -92.02 -55.1 -68.02 -114.1 -103.1 -80.02 -143 -93.05
0.93 -66.07 -48.01 -65.04 -43.1 -70.07 -47.1 -58.07 -80.02 -102.1 -62.07 -65.04 -93.05 -128 -104 -113.1 -118.1
0.935 -62.07 -42.07 -61.04 -33.04 -76.02 -38.07 -44.01 -60.01 -123 -69.05 -51.1 -67.1 -148 -119 -83.11 -130.1
