    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1 204.1
0.625 -19.03 -55.01 -61.09 -59.1 -9.069 -13.06 -9.069 -25.01 -45.05 -9.069 -1.096 9.966 -9.069 -29 30 25.91
0.63 -17.04 -50.03 -61.09 -52.02 -7.076 0.9966 -1.096 -8.072 -38.07 -7.076 1.993 15.95 -2.093 -22.02 33.98 28.9
0.635 -27.01 -53.02 -71.06 -52.02 -10.07 0 -4.086 -11.06 -41.06 -13.06 -4.086 6.976 -7.076 -23.02 36.97 27.9
0.64 -41.06 -67.07 -87 -65.08 -17.04 -13.06 -27.01 -29 -55.01 -21.03 -17.04 -9.069 -21.03 -31.09 33.98 23.92
0.645 -51.02 -78.03 -103 -75.04 -23.02 -32.09 -52.02 -54.01 -67.07 -24.02 -28 -29 -38.07 -41.06 31.99 25.91
0.65 -55.01 -87 -115 -86 -29 -54.01 -76.04 -81.02 -76.04 -29 -40.06 -43.05 -54.01 -52.02 27.9 27.9
0.655 -55.01 -87 -115 -93.08 -35.08 -67.07 -87 -97.07 -81.02 -31.09 -51.02 -55.01 -63.08 -63.08 15.95 25.91
0.66 -45.05 -77.04 -109 -90.09 -34.08 -68.07 -85.01 -97.07 -77.04 -30.1 -52.02 -54.01 -67.07 -62.09 -1.096 14.95
0.665 -37.07 -66.07 -99.06 -84.01 -34.08 -63.08 -77.04 -92.08 -67.07 -32.09 -55.01 -54.01 -68.07 -63.08 -18.04 0
0.67 -27.01 -53.02 -87 -77.04 -33.09 -55.01 -65.08 -79.03 -61.09 -33.09 -53.02 -53.02 -67.07 -61.09 -47.04 -29
0.675 -21.03 -44.05 -73.05 -64.08 -28 -47.04 -57 -66.07 -56.01 -31.09 -51.02 -50.03 -67.07 -58 -68.07 -60.09
0.68 -21.03 -38.07 -59.1 -54.01 -26.01 -43.05 -55.01 -60.09 -52.02 -29 -47.04 -50.03 -65.08 -59.1 -82.02 -88.1
0.685 -17.04 -37.07 -49.03 -47.04 -23.02 -37.07 -49.03 -57 -55.01 -25.01 -43.05 -47.04 -61.09 -63.08 -87 -107
0.69 -15.05 -34.08 -45.05 -41.06 -19.03 -31.09 -43.05 -54.01 -56.01 -18.04 -39.07 -41.06 -58 -65.08 -81.02 -115
0.695 -9.069 -29 -43.05 -39.07 -15.05 -23.02 -35.08 -51.02 -54.01 -10.07 -33.09 -33.09 -52.02 -66.07 -69.06 -111
0.7 -5.083 -23.02 -45.05 -35.08 -11.06 -15.05 -27.01 -47.04 -47.04 -9.069 -29 -25.01 -47.04 -63.08 -53.02 -97.07
0.705 -7.076 -21.03 -45.05 -31.09 -11.06 -11.06 -25.01 -43.05 -37.07 -10.07 -25.01 -23.02 -38.07 -50.03 -37.07 -79.03
0.71 -13.06 -23.02 -43.05 -25.01 -15.05 -13.06 -27.01 -37.07 -23.02 -15.05 -23.02 -23.02 -32.09 -38.07 -29 -61.09
0.715 -21.03 -27.01 -35.08 -13.06 -19.03 -17.04 -29 -33.09 -9.069 -19.03 -21.03 -23.02 -25.01 -23.02 -25.01 -45.05
0.72 -27.01 -29 -25.01 -1.096 -21.03 -21.03 -29 -25.01 -2.093 -19.03 -17.04 -21.03 -17.04 -9.069 -23.02 -35.08
0.725 -23.02 -25.01 -11.06 7.973 -15.05 -17.04 -19.03 -13.06 9.966 -13.06 -9.069 -11.06 -3.089 0.9966 -21.03 -25.01
0.73 -15.05 -15.05 0.9966 15.95 -5.083 -9.069 -5.083 0 19.93 -5.083 0.9966 0.9966 3.986 5.979 -17.04 -13.06
