    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
40.06 266.1 266.1 266.1 266.1 266.1 266.1 266.1 266.1 266.1 266.1 266.1 266.1 266.1 266.1 266.1 266.1
0 -31.06 -52.11 -22.09 -81.09 -6.107 8.966 -64.06 -66.01 -15.07 31.97 -7.017 -66.01 -19.1 40.93 -26.12 0
0.005 -40.02 -43.01 11.96 -52.11 4.938 8.966 -39.11 -37.03 -22.09 21.96 4.938 -41.06 -24.04 27.94 -24.04 -4.028
0.01 -41.06 -24.04 39.89 -9.096 16.89 3.898 3.898 0.9096 -17.02 15.98 39.89 -7.017 -13.12 17.93 0 5.978
0.015 -27.03 -6.107 45.87 20.92 15.98 -1.04 45.87 29.89 -15.07 3.898 76.93 27.94 4.938 14.94 32.88 17.93
0.02 -12.09 5.978 39.89 29.89 -2.079 -15.07 71.99 41.97 -15.07 -6.107 104 44.96 19.88 13.9 62.89 27.94
0.025 -5.068 4.938 25.99 9.876 -39.11 -38.07 75.89 32.88 -31.06 -22.09 102.9 41.97 12.99 13.9 78.88 27.94
0.03 -7.017 -9.096 20.92 -12.09 -79.01 -55.1 61.98 19.88 -53.02 -31.06 80.96 28.98 0 18.97 80.96 26.9
0.035 -10.01 -22.09 23.91 -28.07 -89.01 -57.05 41.97 13.9 -59.13 -24.04 50.94 25.99 -2.079 41.97 74.98 31.97
0.04 -16.11 -24.04 31.97 -20.01 -65.1 -37.03 23.91 20.92 -40.02 -14.03 32.88 34.96 5.978 61.98 66.92 46.91
0.045 -23 -15.07 34.96 -6.107 -22.09 -1.04 14.94 31.97 -13.12 -6.107 26.9 41.97 18.97 62.89 51.98 49.9
0.05 -24.04 3.898 33.92 4.938 22.87 27.94 9.876 36.9 10.92 0 30.93 28.98 30.93 45.87 28.98 33.92
0.055 -13.12 16.89 25.99 -5.068 48.99 45.87 -1.04 18.97 21.96 -10.01 24.95 0 33.92 21.96 2.989 -4.028
0.06 3.898 17.93 26.9 -28.07 45.87 40.93 -8.057 -8.057 14.94 -22.09 11.96 -33.01 26.9 -1.04 -22.09 -42.1
0.065 21.96 5.978 34.96 -44.05 32.88 20.92 -11.05 -38.07 -2.079 -39.11 -2.079 -53.02 3.898 -26.12 -43.01 -76.02
0.07 28.98 -11.05 46.91 -41.06 13.9 -3.119 -9.096 -48.08 -18.06 -51.07 -9.096 -51.07 -19.1 -43.01 -56.01 -92
0.075 23.91 -28.07 54.97 -24.04 2.989 -21.05 -4.028 -36.13 -25.08 -59.13 0 -16.11 -31.06 -41.06 -48.08 -82.13
0.08 9.876 -41.06 55.88 -2.079 1.949 -28.07 0.9096 -5.068 -20.01 -56.01 19.88 27.94 -28.07 -31.06 -29.11 -59.13
0.085 -14.03 -50.03 44.96 6.887 -8.057 -36.13 2.989 19.88 -17.02 -55.1 33.92 52.89 -13.12 -32.1 -10.01 -41.06
0.09 -46 -60.04 23.91 0 -28.07 -54.06 -6.107 27.94 -23 -52.11 28.98 55.88 0 -39.11 -8.057 -42.1
0.095 -60.04 -70.04 9.876 -17.02 -44.05 -62.11 -18.06 13.9 -34.05 -41.06 16.89 44.96 14.94 -36.13 -9.096 -51.07
0.1 -63.02 -76.02 -4.028 -28.07 -50.03 -60.04 -28.07 -11.05 -42.1 -22.09 -3.119 34.96 27.94 -27.03 -15.07 -48.08
0.105 -49.12 -72.12 -6.107 -20.01 -32.1 -49.12 -30.02 -28.07 -40.02 -3.119 -14.03 29.89 28.98 -25.08 -21.05 -34.05
