    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 138.1 138.1 138.1 138.1 138.1 138.1 138.1 138.1 138.1 138.1 138.1 138.1 138.1 138.1 138.1 138.1
0.976563 -12 1.955 -12 -4.045 -10.04 13.96 -6 -4.045 -18 -26.02 -4.045 -12 -20.02 -22.04 -16.04 -32.02
0.984375 -12 1.955 0 -12 -16.04 -6 1.955 -10.04 -24 -32.02 -8.022 -14.02 -20.02 -24 -10.04 -24
0.992188 -14.02 -2.022 12 -20.02 -22.04 -24 3.978 -18 -30 -42 -10.04 -18 -20.02 -24 -6 -14.02
1 -14.02 -4.045 15.98 -24 -22.04 -28.04 0 -22.04 -32.02 -50.02 -8.022 -20.02 -18 -20.02 -2.022 -4.045
1.00781 -14.02 -8.022 12 -18 -18 -16.04 -8.022 -18 -28.04 -52.04 0 -16.04 -14.02 -14.02 0 6
1.01563 -12 -8.022 6 -6 -8.022 6 -18 -8.022 -14.02 -42 6 -8.022 -8.022 -4.045 1.955 12
1.02344 -8.022 -4.045 6 7.955 1.955 30 -26.02 3.978 1.955 -18 12 3.978 0 3.978 0 13.96
1.03125 -4.045 3.978 13.96 18 12 43.96 -28.04 15.98 18 13.96 13.96 13.96 7.955 9.978 0 7.955
1.03906 0 12 30 24 18 48 -20.02 21.98 27.98 37.96 12 19.96 12 9.978 -2.022 -2.022
1.04688 3.978 18 48 21.98 18 39.98 -6 21.98 30 42 6 21.98 12 6 -4.045 -12
1.05469 3.978 19.96 55.96 15.98 13.96 25.96 9.978 18 24 21.98 1.955 18 6 -2.022 -4.045 -20.02
1.0625 1.955 15.98 54 7.955 7.955 18 21.98 9.978 13.96 -12 -2.022 13.96 0 -8.022 -4.045 -22.04
1.07031 -2.022 7.955 39.98 0 0 15.98 21.98 3.978 3.978 -42 0 9.978 -6 -10.04 -2.022 -20.02
1.07813 -10.04 -2.022 21.98 -2.022 -8.022 21.98 12 1.955 -2.022 -52.04 6 6 -10.04 -4.045 1.955 -14.02
1.08594 -18 -10.04 6 -4.045 -16.04 30 -6 -2.022 -6 -38.02 13.96 3.978 -10.04 6 6 -6
1.09375 -26.02 -18 -2.022 -10.04 -26.02 30 -26.02 -6 -10.04 -12 19.96 1.955 -8.022 12 6 0
1.10156 -32.02 -24 -8.022 -20.02 -36 15.98 -38.02 -12 -18 9.978 15.98 -6 -12 12 1.955 1.955
1.10938 -34.04 -30 -10.04 -32.02 -46.04 -6 -40.04 -22.04 -32.02 13.96 1.955 -18 -18 1.955 -8.022 -4.045
1.11719 -26.02 -30 -10.04 -42 -48 -28.04 -30 -30 -42 3.978 -20.02 -30 -26.02 -14.02 -24 -16.04
1.125 -12 -24 -8.022 -42 -42 -38.02 -14.02 -32.02 -44.02 -16.04 -40.04 -38.02 -30 -28.04 -38.02 -28.04
1.13281 7.955 -10.04 0 -30 -28.04 -40.04 1.955 -28.04 -34.04 -30 -54 -38.02 -28.04 -36 -50.02 -36
1.14063 30 7.955 13.96 -12 -10.04 -30 15.98 -18 -18 -34.04 -56.02 -32.02 -22.04 -34.04 -54 -40.04
1.14844 49.96 25.96 33.98 3.978 6 -18 24 -6 0 -26.02 -50.02 -22.04 -14.02 -28.04 -52.04 -40.04
1.15625 61.96 37.96 54 13.96 13.96 -6 25.96 0 9.978 -14.02 -36 -14.02 -8.022 -20.02 -44.02 -36
1.16406 63.98 42 63.98 13.96 13.96 1.955 24 1.955 9.978 0 -22.04 -8.022 -6 -14.02 -32.02 -32.02
1.17188 57.98 36 63.98 7.955 9.978 7.955 18 0 6 7.955 -8.022 -6 -6 -12 -20.02 -26.02
1.17969 43.96 25.96 54 0 1.955 3.978 9.978 -6 -4.045 9.978 -4.045 -6 -6 -10.04 -6 -18
1.1875 31.96 12 39.98 -14.02 -8.022 -12 0 -14.02 -14.02 7.955 -4.045 -8.022 -8.022 -6 3.978 -6
1.19531 19.96 0 25.96 -24 -20.02 -40.04 -6 -24 -24 1.955 -10.04 -14.02 -8.022 -2.022 9.978 3.978
1.20313 12 -10.04 18 -34.04 -28.04 -70.04 -12 -34.04 -28.04 -2.022 -16.04 -20.02 -6 0 9.978 9.978
1.21094 7.955 -16.04 13.96 -36 -32.02 -90 -16.04 -38.02 -32.02 -2.022 -18 -22.04 -6 1.955 6 12
1.21875 7.955 -12 13.96 -30 -24 -84 -14.02 -32.02 -26.02 6 -10.04 -22.04 -8.022 3.978 1.955 9.978
1.22656 9.978 -4.045 15.98 -12 -8.022 -48 -4.045 -18 -14.02 15.98 3.978 -12 -4.045 3.978 0 6
1.23438 15.98 7.955 13.96 12 13.96 0 12 3.978 1.955 25.96 19.96 1.955 0 3.978 3.978 6
1.24219 21.98 19.96 12 33.98 31.96 45.98 30 21.98 13.96 33.98 30 13.96 6 6 9.978 7.955
1.25 27.98 27.98 9.978 42 39.98 69.98 43.96 30 13.96 31.96 27.98 18 6 9.978 12 6
1.25781 27.98 27.98 1.955 37.96 36 67.96 45.98 25.96 6 24 18 12 1.955 12 7.955 1.955
1.26563 24 19.96 -6 24 21.98 45.98 36 12 -14.02 13.96 1.955 -2.022 -8.022 9.978 0 -6
1.27344 13.96 9.978 -20.02 3.978 6 19.96 15.98 -4.045 -30 -2.022 -8.022 -16.04 -18 6 -10.04 -16.04
1.28125 3.978 0 -40.04 -12 -8.022 1.955 -2.022 -18 -42 -12 -14.02 -28.04 -24 1.955 -14.02 -20.02
1.28906 -6 -10.04 -60 -28.04 -14.02 -2.022 -10.04 -24 -46.04 -22.04 -14.02 -32.02 -28.04 -6 -14.02 -20.02
1.29688 -14.02 -16.04 -74.02 -34.04 -18 3.978 -8.022 -24 -46.04 -28.04 -16.04 -30 -28.04 -14.02 -12 -18
1.30469 -20.02 -22.04 -80.02 -40.04 -18 9.978 0 -24 -40.04 -30 -18 -26.02 -26.02 -16.04 -8.022 -12
1.3125 -26.02 -24 -72 -42 -20.02 3.978 1.955 -22.04 -36 -30 -20.02 -24 -22.04 -16.04 -10.04 -10.04
1.32031 -32.02 -26.02 -54 -40.04 -22.04 -22.04 1.955 -24 -30 -28.04 -26.02 -24 -18 -14.02 -8.022 -8.022
1.32813 -36 -26.02 -34.04 -40.04 -26.02 -60 -8.022 -26.02 -30 -24 -30 -26.02 -20.02 -10.04 -10.04 -8.022
1.33594 -38.02 -28.04 -18 -38.02 -28.04 -90 -18 -28.04 -26.02 -22.04 -34.04 -26.02 -18 -8.022 -8.022 -8.022
1.34375 -40.04 -26.02 -14.02 -36 -26.02 -98.02 -22.04 -24 -18 -16.04 -32.02 -22.04 -12 -6 -6 -4.045
