    T[sec]  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 2130 2130 2130 2130 2130 2130 2130 2130 2130 2130 2130 2130 2130 2130
0.976563 -69.68 -35.36 -119.6 -134.2 24.96 11.44 -98.81 -212.2 -57.2 70.72 73.84 138.3 -403.5 -280.8
0.984375 -93.61 126.9 -80.08 -76.96 -383.8 -60.32 -138.3 75.92 150.8 61.36 -91.53 -101.9 -6.24 -203.9
0.992188 61.36 -59.28 -18.72 175.8 -33.28 -107.1 -91.53 2.08 135.2 254.8 115.4 56.16 -108.2 -72.8
1 19.76 -87.36 -8.32 62.4 -73.84 -334.9 -170.6 -19.76 14.56 -124.8 59.28 -31.2 -3.12 -153.9
1.00781 -226.7 98.81 -247.5 131 0 -352.6 21.84 62.4 -74.88 -127.9 50.96 -71.76 43.68 -8.32
1.01563 -150.8 -81.12 -63.44 175.8 192.4 -249.6 -39.52 -122.7 -198.7 -322.4 -112.3 -104 82.16 -181
1.02344 -114.4 116.5 -135.2 236.1 218.4 -324.5 -30.16 -73.84 -225.7 -146.6 -441 -41.6 -65.52 -282.9
1.03125 101.9 10.4 56.16 -1.04 139.4 84.24 -74.88 -238.2 -272.5 -374.4 -387.9 -5.2 -275.6 -306.8
1.03906 -83.2 -91.53 72.8 -30.16 100.9 -34.32 3.12 -179.9 -219.5 -347.4 -346.3 -71.76 -347.4 -544
1.04688 -126.9 -119.6 -210.1 97.77 137.3 -153.9 32.24 -179.9 -81.12 -429.5 -182 36.4 -413.9 -382.7
1.05469 -145.6 -63.44 -53.04 -142.5 -30.16 -115.4 -50.96 -233 -95.69 -329.7 -116.5 105 -464.9 -240.3
1.0625 13.52 -135.2 98.81 1.04 -2.08 -63.44 4.16 49.92 -94.65 -323.5 -462.8 106.1 -341.1 -269.4
1.07031 122.7 -104 -57.2 423.3 -96.73 118.6 108.2 73.84 293.3 -272.5 -141.4 -72.8 -159.1 -61.36
