    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
41 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1 148.1
0.833333 -1.012 -44.03 -12 3.977 10.99 0.9399 -8.025 -28.05 -2.024 32.97 12.94 -10.05 -2.024 28.99 26.97
0.84 0.9399 -27.04 4.989 20.97 3.977 -1.012 2.964 -7.013 9.978 1.952 0 0 -9.038 -3.037 2.964
0.846667 6.941 -7.013 23.93 30.94 0 7.953 18.94 8.965 10.99 -29.06 -18 0.9399 -26.03 -51.04 -22.05
0.853333 17.93 11.93 35.93 31.96 -1.012 14.97 21.98 23.93 3.977 -59.07 -29.06 0.9399 -46.06 -89 -48.01
0.86 16.99 22.99 38.97 28.99 -12 15.98 20.97 19.96 1.952 -82.06 -38.03 -7.013 -62.03 -107 -70.06
0.866667 19.96 23.93 41.93 29.93 -17.06 18.94 27.98 17.93 0.9399 -85.03 -35.07 -9.038 -68.04 -101 -72.01
0.873333 26.97 27.98 45.98 38.97 -7.013 31.96 47 20.97 6.941 -69.05 -18 0.9399 -52.06 -69.05 -58.06
0.88 40.99 39.98 56.97 50.97 7.953 50.97 65 35.93 25.96 -35.07 6.941 24.94 -25.02 -23.06 -24
0.886667 39.98 40.99 59 49.96 20.97 65.94 68.98 53 33.98 -2.024 36.95 40.99 -1.012 8.965 2.964
0.893333 25.96 25.96 40.99 37.96 23.93 59 42.95 54.95 26.97 19.96 47.94 36.95 4.989 34.99 22.99
0.9 5.929 -1.012 10.99 9.978 17.93 30.94 0 28.99 10.99 37.96 41.93 18.94 6.941 42.95 28.99
0.906667 -5.061 -29.06 -15.04 -6.001 13.95 0 -24 -3.037 0.9399 53.94 28.99 0.9399 7.953 50.97 31.96
0.913333 0 -41.07 -32.03 -13.01 21.98 -4.049 -35.07 -29.06 -7.013 69.99 28.99 -7.013 15.98 60.95 41.93
0.92 0 -39.04 -35.07 -13.01 31.96 -3.037 -29.06 -37.02 -5.061 83.94 33.98 -1.012 19.96 72.95 51.98
0.926667 0.9399 -38.03 -30 -5.061 34.99 0 -20.03 -28.05 -3.037 86.98 37.96 1.952 19.96 72.95 47.94
0.933333 -2.024 -42.01 -24 0 26.97 -7.013 -24 -16.05 0 76.93 23.93 3.977 12.94 56.97 33.98
0.94 -9.038 -47.07 -17.06 1.952 11.93 -19.02 -30 -14.03 -1.012 53.94 6.941 0 4.989 32.97 15.98
0.946667 -12 -50.03 -14.03 8.965 -1.012 -29.06 -29.06 -14.03 4.989 32.97 -2.024 -2.024 0.9399 12.94 3.977
0.953333 -8.025 -40.05 -4.049 16.99 -2.024 -27.04 -20.03 -8.025 12.94 14.97 -7.013 -2.024 0.9399 -1.012 -1.012
0.96 -1.012 -22.05 4.989 30.94 0 -13.01 -2.024 -2.024 18.94 0.9399 -5.061 1.952 0 -5.061 -9.038
0.966667 9.978 0 27.98 41.93 1.952 3.977 20.97 1.952 17.93 -7.013 0.9399 5.929 -17.06 -15.04 -19.02
0.973333 33.98 37.96 63.99 59 17.93 35.93 59.94 21.98 19.96 -11.06 7.953 13.95 -33.04 -19.02 -23.06
0.98 61.96 73.96 93.99 69.99 35.93 67.96 89.94 47.94 25.96 -11.06 23.93 25.96 -43.02 -23.06 -23.06
0.986667 75.99 89.94 106 71.94 43.96 89.94 106 73.96 31.96 -9.038 33.98 35.93 -45.04 -21.04 -17.06
0.993333 69.99 77.94 91.97 65.94 37.96 89.94 95.94 88.93 37.96 -6.001 37.96 39.98 -35.07 -13.01 -5.061
1 47.94 43.96 65.94 57.99 27.98 71.94 68.98 76.93 41.93 -5.061 37.96 37.96 -19.02 0.9399 7.953
1.00667 27.98 13.95 41.93 51.98 18.94 49.96 47 59.94 41.93 -1.012 37.96 33.98 0.9399 16.99 29.93
1.01333 15.98 0 27.98 43.96 18.94 33.98 28.99 41.93 43.96 8.965 39.98 33.98 22.99 32.97 55.96
1.02 7.953 -5.061 15.98 33.98 18.94 23.93 11.93 30.94 43.96 16.99 39.98 35.93 44.97 42.95 77.94
1.02667 2.964 -17.06 0 26.97 16.99 15.98 1.952 16.99 44.97 18.94 35.93 37.96 61.96 44.97 91.97
1.03333 -1.012 -33.04 -15.04 19.96 10.99 3.977 -12 5.929 43.96 20.97 27.98 35.93 68.98 34.99 95.94
1.04 -4.049 -40.05 -27.04 16.99 6.941 -5.061 -17.06 -5.061 40.99 24.94 16.99 28.99 65 24.94 83.94
1.04667 -9.038 -39.04 -23.06 5.929 1.952 -13.01 -21.04 -15.04 21.98 19.96 0 7.953 39.98 4.989 57.99
1.05333 -11.06 -34.05 -13.01 -3.037 0.9399 -15.04 -23.06 -22.05 0.9399 6.941 -14.03 -16.05 5.929 -11.06 17.93
1.06 -18 -39.04 -11.06 -16.05 -13.01 -25.02 -37.02 -37.02 -24 -14.03 -38.03 -49.02 -21.04 -39.04 -19.02
1.06667 -24 -46.06 -17.06 -17.06 -30 -35.07 -46.06 -50.03 -35.07 -35.07 -57.05 -66.01 -43.02 -69.05 -53.07
1.07333 -25.02 -46.06 -17.06 -7.013 -34.05 -35.07 -47.07 -50.03 -23.06 -38.03 -62.03 -68.04 -55.02 -81.05 -67.02
1.08 -12 -23.06 -5.061 8.965 -22.05 -19.02 -27.04 -36.01 -4.049 -27.04 -43.02 -48.01 -54.01 -69.05 -55.02
1.08667 1.952 -2.024 14.97 26.97 -3.037 1.952 5.929 -11.06 8.965 -17.06 -15.04 -18 -43.02 -43.02 -28.05
1.09333 17.93 9.978 31.96 40.99 8.965 25.96 27.98 15.98 24.94 -12 3.977 5.929 -29.06 -19.02 -5.061
1.1 24.94 11.93 35.93 44.97 13.95 30.94 33.98 32.97 33.98 -13.01 16.99 19.96 -17.06 -11.06 3.977
1.10667 21.98 4.989 30.94 42.95 14.97 24.94 18.94 37.96 35.93 -13.01 13.95 15.98 -14.03 -11.06 8.965
1.11333 16.99 -2.024 19.96 30.94 13.95 14.97 3.977 28.99 23.93 1.952 12.94 11.93 -15.04 -3.037 11.93
1.12 11.93 0.9399 5.929 12.94 20.97 9.978 -3.037 11.93 10.99 16.99 15.98 3.977 -15.04 8.965 23.93
1.12667 9.978 -2.024 -1.012 -1.012 19.96 9.978 5.929 0.9399 -1.012 25.96 23.93 0.9399 -7.013 26.97 36.95
1.13333 12.94 1.952 0.9399 -1.012 20.97 11.93 19.96 1.952 4.989 29.93 25.96 6.941 2.964 38.97 47.94
1.14 15.98 4.989 5.929 11.93 18.94 17.93 29.93 2.964 15.98 26.97 24.94 16.99 23.93 42.95 59.94
1.14667 16.99 2.964 7.953 23.93 14.97 23.93 30.94 16.99 29.93 31.96 23.93 24.94 37.96 47 69.99
