    T[sec] F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
41 46.02 46.02 46.02 46.02 46.02 46.02 46.02 45.02 46.02 45.02 45.02 45.02 46.02 46.02 46.02
0 -3.955 -12.36 -7.82 -5.933 -9.978 -19.91 -14.38 -5.892 -7.73 -15.3 -17.41 -18.03 -13.03 -21.66 -22.02
0.005 -6.202 -12.04 -7.865 -9.573 -16.72 -25.21 -18.02 -7.43 -9.528 -23.13 -29.9 -27.87 -22.56 -34.7 -35.69
0.01 -6.742 -7.506 -5.708 -10.16 -19.01 -23.24 -17.48 -8.793 -8.18 -25.5 -36.93 -32.1 -27.78 -41.26 -43.06
0.015 -4.584 -0.4045 -2.697 -6.202 -14.25 -12.31 -11.87 -9.409 -3.011 -18.99 -32.62 -26.38 -24.09 -35.15 -37.3
0.02 -1.798 4.315 -1.124 0 -5.573 0.6292 -5.528 -9.805 3.551 -7.386 -20.84 -14.33 -13.84 -20.85 -22.11
0.025 -1.798 2.966 -2.652 4.135 0.764 6.652 -3.685 -11.17 8.449 1.759 -10.55 -4.66 -4.404 -8.989 -8
0.03 -4.494 -0.9888 -4.449 4.629 2.562 6.472 -3.64 -10.24 11.06 7.035 -4.133 1.407 1.438 -1.798 1.708
0.035 -7.011 -1.258 -2.607 3.191 2.876 8.449 1.258 -3.561 12.99 11.96 2.462 8.354 6.292 5.933 10.61
0.04 -8.719 1.798 0.764 1.888 3.596 14.07 10.16 6.199 14.79 17.06 9.233 15.92 10.7 14.65 18.25
0.045 -10.52 3.506 0.5393 1.753 3.91 17.57 15.33 11.87 15.06 18.99 11.96 18.99 13.03 20.04 20.49
0.05 -10.79 1.483 -3.281 2.831 3.775 16.49 13.62 10.77 12.99 17.15 10.82 16.97 13.57 21.93 19.06
0.055 -7.011 -1.483 -6.112 4.315 4.045 12.76 8.36 5.408 8.674 13.19 9.057 13.01 14.2 23.28 18.43
0.06 -0.6292 -3.101 -4.449 4.584 3.416 7.011 2.382 -0.9673 2.742 7.386 6.419 8.09 13.3 22.11 18.16
0.065 4.944 -1.978 -0.08989 3.101 1.393 0.4494 -2.876 -6.507 -2.742 0.4397 1.583 1.759 9.169 16.27 15.37
0.07 8 2.382 3.865 1.708 0.2697 -3.056 -4.449 -9.101 -5.393 -3.957 -2.022 -3.078 3.326 9.258 11.33
