    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
41 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01 18.01
0 -6.067 -3.781 0.2638 1.055 -1.143 -2.814 -2.154 1.011 -1.715 6.859 3.693 -0.7035 -5.716 -2.374 3.781 -5.716
0.005 -4.221 -3.385 4.573 3.385 -1.451 -0.6155 -1.979 -1.759 -1.055 5.364 6.419 0.7914 -8.793 -1.671 6.507 -8.002
0.01 -1.407 -1.759 6.551 5.452 -0.7914 0.4836 -4.045 -4.704 -0.6595 1.759 6.507 0.7914 -9.936 -1.055 6.595 -7.386
0.015 1.407 0.7914 5.892 6.419 1.715 1.319 -6.551 -5.892 -0.8793 -1.055 4.485 -0.5276 -8.178 -1.143 4.924 -3.869
0.02 3.429 3.341 4.133 6.067 5.628 2.99 -6.551 -4.353 -1.495 -0.7914 2.55 -1.407 -4.309 -1.671 3.693 0.6155
0.025 3.605 4.617 3.341 5.54 8.837 5.364 -2.77 -0.6595 -1.759 2.11 2.638 -0.08793 -0.1759 -1.847 4.045 4.397
0.03 1.319 3.957 3.693 5.584 9.013 6.287 2.286 3.078 -1.143 4.573 3.957 2.814 2.286 -1.143 4.748 6.419
0.035 -2.286 1.363 3.429 5.32 5.496 3.825 4.573 4.397 -0.2638 3.781 4.221 4.573 2.814 0.4397 3.869 6.419
0.04 -5.364 -2.066 1.627 3.781 0 -1.143 2.242 2.506 0.3517 0.1759 2.198 3.781 2.022 2.198 1.671 4.924
0.045 -5.804 -4.353 0 2.066 -4.221 -5.188 -1.935 -0.1759 0.8793 -2.814 0.08793 2.286 1.847 3.341 0.7035 3.693
0.05 -3.341 -3.825 0.7035 1.935 -4.397 -4.836 -3.605 -0.6155 1.627 -2.462 0.8793 3.166 2.99 3.254 2.55 3.781
0.055 0.8793 -0.3957 3.781 3.254 -0.6155 0 -1.011 1.539 1.891 1.055 4.573 6.683 3.781 1.847 6.331 4.045
0.06 5.276 4.397 6.419 4.045 4.441 6.331 3.078 3.781 0.8793 4.485 8.617 9.936 2.022 -0.4397 8.881 2.374
0.065 8.354 8.925 6.111 2.99 7.694 10.16 4.704 3.561 -1.187 4.748 9.585 9.673 -2.726 -2.374 7.914 -1.671
0.07 9.233 11.78 2.638 0.6595 7.518 9.497 1.759 0.7035 -3.122 1.583 6.595 5.54 -7.738 -2.814 3.869 -5.979
0.075 7.562 11.56 -1.583 -1.715 4.353 5.232 -4.001 -2.99 -3.605 -2.11 1.495 0 -9.585 -1.759 -0.08793 -7.826
0.08 3.693 7.782 -3.781 -2.902 0 0.08793 -9.057 -5.408 -2.506 -3.605 -2.11 -3.341 -6.947 -0.2638 -1.407 -6.419
0.085 -0.9673 1.847 -2.858 -2.154 -3.385 -3.385 -10.51 -5.188 -0.6595 -2.55 -2.55 -2.726 -2.022 0.2638 0.1759 -3.078
0.09 -4.221 -2.99 -0.5276 -0.04397 -4.66 -4.617 -8.661 -2.902 0.3517 -1.055 -0.9673 -0.3517 1.231 -0.8793 2.11 -0.6155
0.095 -4.133 -4.089 0.4836 1.539 -3.693 -4.045 -5.936 -0.5716 -0.04397 -1.407 -0.08793 0.2638 0 -3.078 1.935 -1.583
0.1 -0.3517 -0.9673 -0.3078 1.847 -1.187 -2.154 -4.309 0.3517 -1.187 -2.99 -1.143 -1.935 -4.397 -4.397 0.4397 -5.276
0.105 4.748 4.221 -0.7914 2.11 1.847 0.7474 -3.298 0.5716 -1.187 -3.078 -2.11 -4.309 -7.65 -3.517 0.2638 -7.826
0.11 7.914 8.134 1.275 3.781 4.573 4.045 -1.759 1.451 0.6595 -0.3517 -1.231 -4.309 -6.155 -0.6155 2.286 -6.331
0.115 6.947 7.87 5.276 6.155 5.936 5.76 -0.08793 2.814 2.99 3.605 0.7035 -2.462 -1.407 1.847 4.309 -1.759
0.12 2.902 3.605 7.87 6.991 5.1 4.485 0.3957 3.078 3.429 5.452 1.143 -1.583 1.935 1.847 3.429 1.583
0.125 -0.8793 -1.539 6.947 5.056 2.858 1.099 -0.3078 1.495 1.099 3.605 -0.7914 -3.166 0.5276 -0.6155 -0.4397 1.319
0.13 -1.407 -3.957 3.122 1.187 0.9233 -1.759 -0.5716 -0.8354 -2.594 -0.2638 -3.341 -5.628 -4.045 -3.781 -4.309 -0.9673
0.135 1.495 -2.77 -0.9233 -2.594 0.6595 -2.022 1.363 -2.286 -5.1 -2.902 -3.957 -6.067 -6.859 -5.1 -4.748 -1.495
0.14 5.188 -0.04397 -3.122 -4.836 1.891 -0.04397 5.364 -1.539 -4.397 -2.55 -1.671 -3.341 -4.221 -3.605 -1.495 1.935
0.145 6.683 1.583 -3.341 -5.056 3.298 1.979 9.365 1.451 -0.6155 -0.2638 1.407 0.1759 3.254 -0.3517 2.374 8.178
0.15 5.188 1.275 -3.21 -3.957 3.298 1.803 10.82 5.232 3.913 0.9673 2.022 0.9673 10.38 2.11 3.078 12.66
0.155 2.022 -0.3957 -4.353 -3.166 1.363 -1.187 8.837 7.211 6.419 -0.2638 -1.319 -2.462 11.61 2.11 -0.4397 11.52
0.16 -1.143 -2.726 -6.463 -3.561 -1.715 -5.452 5.188 5.848 5.408 -2.99 -6.419 -7.386 6.243 -0.08793 -5.188 5.628
0.165 -3.254 -5.144 -7.255 -4.353 -4.133 -8.09 3.254 2.286 2.022 -4.309 -8.969 -9.497 -0.7035 -2.55 -7.298 0
0.17 -4.309 -7.606 -5.056 -4.353 -4.573 -8.002 4.88 -0.5276 -0.9673 -3.254 -7.386 -7.826 -3.166 -2.814 -6.683 -0.6155
0.175 -5.364 -10.2 -0.5716 -3.078 -3.825 -6.683 8.574 -0.5276 -1.319 -1.847 -5.012 -6.155 0.6155 -0.2638 -6.419 3.517
0.18 -7.035 -12.88 3.605 -1.143 -3.869 -6.771 11.3 2.418 1.583 -2.902 -6.155 -8.53 7.298 3.869 -9.145 8.705
0.185 -8.969 -14.95 5.452 0.5716 -5.892 -8.969 11.78 6.683 6.243 -7.035 -11.34 -14.25 12.31 7.914 -13.45 11.43
0.19 -10.38 -15.61 4.66 1.451 -8.837 -11.43 11.21 9.541 9.98 -11.52 -16.27 -17.85 13.72 10.29 -15.12 11.43
0.195 -10.38 -14.73 2.242 1.011 -10.64 -11.7 11.04 9.277 11.04 -13.54 -16.36 -14.6 12.93 10.46 -11.52 10.38
0.2 -8.705 -12.44 -0.3517 -0.3517 -9.541 -8.793 11.21 6.507 9.717 -12.05 -11.08 -5.276 12.05 9.233 -4.748 9.233
0.205 -4.836 -8.178 -1.847 -1.451 -5.364 -3.385 10.6 4.045 8.09 -8.705 -4.133 3.957 11.96 7.826 -0.08793 7.386
0.21 0.9673 -1.715 -1.407 -0.7914 0.4397 2.506 8.53 4.529 7.782 -5.364 -0.08793 7.123 11.17 6.683 -1.055 3.693
0.215 6.771 5.144 0.3957 1.451 5.232 6.595 5.628 7.738 8.617 -3.254 -0.6155 3.254 7.914 5.804 -6.067 -1.319
0.22 9.761 8.837 2.154 3.561 6.815 7.255 3.429 10.64 8.837 -1.583 -2.638 -1.935 2.99 4.836 -9.409 -4.573
0.225 8.354 7.167 2.022 3.21 5.232 5.1 3.341 10.24 6.947 0.8793 -1.671 -2.022 0 3.781 -6.507 -2.55
0.23 3.957 1.495 -0.5276 -0.3517 2.242 2.11 4.485 5.76 3.034 4.309 3.166 4.309 1.231 2.902 1.231 3.693
0.235 -0.2638 -3.825 -4.617 -5.496 -0.08793 -0.1759 3.737 -0.7035 -1.187 6.595 8.002 11.78 5.1 1.935 7.914 8.793
0.24 -1.671 -4.88 -8.046 -8.969 -0.9233 -1.143 -1.319 -6.155 -3.913 5.628 8.09 13.81 6.419 0.6155 8.354 6.771
0.245 0 -0.8354 -8.617 -8.398 -0.3078 -0.5276 -9.541 -8.398 -4.66 2.286 2.99 9.057 2.198 -1.495 2.99 -2.638
0.25 3.078 5.232 -5.979 -4.309 0.8793 1.275 -16.49 -7.914 -4.748 -1.055 -2.814 2.022 -6.067 -4.397 -3.166 -13.89
0.255 4.66 8.837 -2.066 0.2638 1.407 2.814 -18.55 -6.771 -5.408 -2.638 -5.276 -1.671 -13.72 -7.386 -5.628 -19.96
0.26 3.078 7.518 0.6595 2.638 0.1759 2.506 -15.7 -6.683 -6.463 -2.55 -3.517 -0.7914 -16.18 -8.969 -3.693 -18.2
0.265 -0.08793 3.21 1.715 2.55 -1.935 0.4397 -11.08 -7.035 -6.507 -1.847 -0.4397 1.759 -12.75 -7.914 -0.4397 -11.26
0.27 -2.198 0.2198 2.726 2.11 -2.946 -1.407 -8.134 -6.023 -4.704 -0.8793 1.055 2.638 -6.331 -4.66 0.8793 -4.397
0.275 -1.847 1.099 5.408 3.473 -1.495 -1.363 -8.178 -3.034 -1.671 0.2638 0.4397 1.055 -1.583 -0.9673 0.3517 -1.495
0.28 -0.1759 4.529 9.453 6.683 1.715 1.011 -9.321 0.7035 0.8793 1.935 0 0.08793 -0.6155 1.319 0.4397 -1.759
0.285 1.143 7.43 12.97 9.936 4.88 4.748 -8.31 3.385 1.539 3.781 2.11 2.55 -1.671 1.583 2.902 -1.847
0.29 1.759 8.178 14.25 11.3 5.936 7.87 -3.869 3.781 0.3078 4.221 5.892 7.211 -2.286 0.1759 6.331 -0.1759
0.295 2.11 7.123 13.1 10.46 4.001 8.266 1.319 2.022 -1.451 1.671 7.386 9.761 -1.847 -1.583 7.298 1.407
0.3 2.462 5.628 10.86 8.574 0 5.188 3.122 -0.6155 -2.374 -3.078 4.045 6.859 -1.407 -2.726 4.221 0.8793
0.305 2.902 4.66 8.705 6.507 -3.561 0.3517 0 -2.814 -2.11 -7.123 -2.022 0.5276 -1.407 -2.726 -0.7035 -1.319
0.31 2.814 4.089 6.551 4.133 -4.617 -3.254 -5.188 -3.957 -1.759 -7.386 -5.892 -3.869 -1.231 -2.286 -3.517 -2.55
0.315 1.495 3.034 3.254 0.7035 -3.561 -4.485 -8.222 -4.66 -2.462 -4.045 -4.748 -3.166 -0.3517 -2.286 -2.286 -0.9673
0.32 -1.055 0.7914 -1.451 -3.298 -2.77 -4.265 -7.079 -5.672 -4.573 -0.9673 -0.6155 0.9673 0.3517 -3.517 1.319 2.198
0.325 -3.605 -1.803 -5.672 -6.419 -3.825 -4.177 -3.21 -6.991 -7.123 -1.143 2.022 3.693 0 -5.716 3.254 4.045
0.33 -4.748 -3.429 -6.815 -6.903 -6.155 -4.792 -0.3078 -7.87 -8.661 -4.748 0.6155 1.319 -2.022 -7.65 1.231 2.286
0.335 -4.309 -3.605 -4.221 -4.704 -7.87 -5.628 -0.9673 -7.518 -7.87 -8.617 -3.605 -4.748 -4.66 -8.09 -3.166 -2.286
0.34 -3.341 -2.946 -0.3957 -1.583 -7.474 -5.54 -4.353 -5.716 -4.397 -9.233 -6.683 -9.673 -5.452 -6.067 -6.155 -6.243
0.345 -2.286 -1.803 1.275 0.1319 -4.573 -3.298 -6.419 -2.858 0.3957 -5.188 -4.924 -8.617 -2.638 -2.462 -4.836 -6.331
0.35 -0.7035 0.08793 -0.2198 0 -0.2638 1.187 -4.001 0 4.001 1.055 0.9673 -2.11 2.374 0.6155 0 -2.814
0.355 1.495 2.506 -3.21 -0.6595 3.341 5.936 1.847 1.451 4.221 5.452 6.683 4.924 5.452 0.9673 4.924 0.6155
0.36 3.341 4.221 -4.704 -0.3957 4.704 8.134 6.639 0.9233 1.011 5.276 8.09 7.562 3.693 -1.583 6.771 0.8793
0.365 3.869 3.957 -3.21 0.9673 4.045 7.167 6.947 -0.6155 -3.298 2.374 5.54 5.364 -1.583 -4.924 5.276 -2.022
0.37 2.638 1.847 -0.1319 2.11 2.946 4.704 3.429 -1.539 -5.936 0.7035 2.638 1.847 -6.155 -6.243 2.814 -5.276
0.375 0.1759 -0.7035 1.495 1.495 2.462 3.166 -0.3517 -0.8793 -5.452 2.374 2.638 0.8793 -6.947 -4.573 1.759 -6.595
0.38 -2.198 -2.462 0 -0.8793 2.594 3.429 -1.099 0.4397 -3.034 6.243 5.452 2.99 -4.485 -1.055 2.462 -5.979
