    T[sec] Fp1 Fp2  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
1.185 -205.2 -9.77 -478.7 87.93 -195.4 -156.3 78.16 156.3 195.4 107.5 -107.5 39.08 -78.16 0 29.31 -400.6 283.3 -156.3 -439.7 -312.7
1.19 -390.8 -87.93 -664.4 -9.77 -400.6 -48.85 -117.2 283.3 9.77 214.9 -195.4 156.3 -195.4 273.6 -97.7 -205.2 244.3 -224.7 -596 -332.2
1.195 -312.7 -166.1 -655.1 9.77 -508.1 78.16 -302.9 302.9 -117.2 293.1 -156.3 342 -263.8 0 -127 -127 166.1 -449.4 -586.2 -146.6
1.2 -332.2 -293.1 -791.4 -273.6 -713.2 -117.2 -576.5 166.1 -332.2 214.9 -244.3 361.5 -342 -48.85 -234.5 -195.4 -9.77 -723 -713.2 -39.08
1.205 -39.08 -127 -449.4 -156.3 -488.5 0 -537.4 185.6 -263.8 214.9 -48.85 390.8 -214.9 58.62 -156.3 -214.9 97.7 -732.8 -351.7 312.7
1.21 39.08 -107.5 -410.4 -214.9 -576.5 -254 -830.5 -136.8 -644.8 -185.6 -136.8 254 -381 29.31 -312.7 -381 -78.16 -781.6 -254 400.6
1.215 195.4 -166.1 -127 -9.77 -390.8 -205.2 -859.8 -175.9 -713.2 -254 -58.62 185.6 -302.9 -938 -342 -732.8 -78.16 -644.8 19.54 527.6
1.22 205.2 -19.54 0 302.9 -312.7 9.77 -928.2 9.77 -820.7 -156.3 -87.93 244.3 -322.4 48.85 -459.2 -322.4 -68.39 -322.4 175.9 322.4
1.225 293.1 58.62 68.39 449.4 -166.1 0 -938 -48.85 -889.1 -263.8 -48.85 175.9 -302.9 -488.5 -517.8 -459.2 -58.62 -175.9 351.7 351.7
1.23 136.8 39.08 -87.93 488.5 -156.3 68.39 -879.8 29.31 -771.9 9.77 -136.8 78.16 -312.7 87.93 -498.3 -205.2 -107.5 -58.62 156.3 97.7
1.235 78.16 68.39 -214.9 410.4 -39.08 -78.16 -713.2 -117.2 -605.8 -195.4 -87.93 -68.39 -205.2 527.6 -361.5 -224.7 -136.8 -156.3 87.93 107.5
1.24 -78.16 136.8 -322.4 293.1 9.77 -293.1 -517.8 -244.3 -410.4 -302.9 -87.93 -175.9 -214.9 283.3 -205.2 -469 -146.6 -273.6 -19.54 97.7
1.245 -332.2 87.93 -449.4 263.8 0 -214.9 -302.9 -78.16 -136.8 -68.39 -136.8 -185.6 -97.7 214.9 -29.31 -390.8 -283.3 -39.08 -302.9 -381
1.25 -410.4 -146.6 -429.9 214.9 146.6 -146.6 78.16 9.77 185.6 58.62 19.54 -332.2 9.77 -48.85 224.7 -273.6 -87.93 58.62 -342 -429.9
1.255 -449.4 0 -488.5 205.2 205.2 -156.3 254 39.08 342 9.77 -19.54 -156.3 0 117.2 234.5 -293.1 -58.62 58.62 -371.3 -410.4
1.26 -254 -97.7 -439.7 175.9 332.2 -214.9 342 -29.31 371.3 -185.6 39.08 -234.5 97.7 -1319 254 -683.9 19.54 87.93 -293.1 -351.7
1.265 -263.8 166.1 -410.4 332.2 361.5 -78.16 410.4 107.5 381 -117.2 29.31 9.77 68.39 -107.5 224.7 -205.2 166.1 312.7 -156.3 -322.4
1.27 -361.5 185.6 -478.7 273.6 283.3 -68.39 361.5 166.1 273.6 -244.3 -68.39 87.93 -283.3 -742.6 -254 -390.8 166.1 371.3 -205.2 -351.7
1.275 -322.4 146.6 -332.2 381 312.7 263.8 390.8 635.1 293.1 273.6 -29.31 136.8 78.16 234.5 146.6 244.3 342 742.6 -166.1 -596
1.28 -449.4 -87.93 -449.4 117.2 97.7 205.2 283.3 576.5 156.3 107.5 -136.8 78.16 -185.6 205.2 -136.8 263.8 273.6 605.8 -224.7 -478.7
1.285 -156.3 273.6 -420.1 78.16 -87.93 195.4 -9.77 527.6 -107.5 9.77 -146.6 127 29.31 -87.93 -9.77 166.1 97.7 439.7 -234.5 -449.4
1.29 -48.85 205.2 -400.6 -68.39 -224.7 87.93 -322.4 283.3 -420.1 -283.3 -156.3 127 -97.7 -322.4 -127 156.3 -146.6 224.7 -156.3 -293.1
1.295 136.8 635.1 -185.6 78.16 -185.6 136.8 -449.4 205.2 -439.7 -342 -156.3 283.3 -166.1 -214.9 -283.3 263.8 -234.5 39.08 107.5 0
1.3 87.93 263.8 -136.8 -68.39 -224.7 97.7 -586.2 68.39 -498.3 -205.2 -195.4 146.6 -224.7 -244.3 -449.4 400.6 -400.6 -68.39 146.6 117.2
