    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 179.1 179.1 179.1 179.1 179.1 179.1 179.1 179.1 179.1 179.1 179.1 179.1 179.1 179.1 179.1 179.1
0 0.9619 3.935 9.969 5.946 7.957 13.99 19.94 21.95 17.93 17.93 25.97 29.99 27.98 15.91 21.95 31.92
0.005 -1.049 -2.011 3.935 0 5.946 15.91 15.91 15.91 11.98 9.969 13.99 17.93 15.91 11.98 7.957 21.95
0.01 -1.049 -3.061 0.9619 -3.061 1.924 9.969 3.935 5.946 3.935 -1.049 -2.011 0 0 0 -7.083 5.946
0.015 -3.061 -5.072 -3.061 -3.061 0.9619 0 -3.061 0.9619 -2.011 -15.04 -13.03 -11.02 -7.083 -5.072 -27.02 -3.061
0.02 -3.061 -1.049 0.9619 -2.011 -5.072 -5.072 -7.083 -3.061 -2.011 -23.09 -19.06 -21.07 -11.02 -9.007 -35.07 -13.03
0.025 -1.049 0 1.924 5.946 -7.083 -9.007 -5.072 0.9619 0 -23.09 -19.06 -21.07 -11.02 -5.072 -31.04 -15.04
0.03 -3.061 0 3.935 7.957 -7.083 -11.02 -1.049 0 0 -17.05 -15.04 -21.07 -9.007 -1.049 -25.01 -17.05
0.035 -9.007 -3.061 0.9619 0 -5.072 -11.02 -3.061 -2.011 0.9619 -11.02 -15.04 -21.07 -13.03 -1.049 -21.07 -21.07
0.04 -21.07 -17.05 -13.03 -7.083 -9.007 -15.04 -11.02 -5.072 -7.083 -9.007 -17.05 -25.01 -19.06 -5.072 -19.06 -25.01
0.045 -29.03 -29.03 -25.01 -17.05 -11.02 -21.07 -23.09 -15.04 -11.02 -5.072 -13.03 -19.06 -21.07 -7.083 -15.04 -23.09
0.05 -25.01 -25.01 -25.01 -19.06 -11.02 -21.07 -25.01 -17.05 -7.083 -2.011 0.9619 -5.072 -11.02 -3.061 -1.049 -11.02
0.055 -9.007 -7.083 -13.03 -9.007 -5.072 -11.02 -13.03 -5.072 -2.011 9.969 15.91 13.99 1.924 1.924 17.93 3.935
0.06 6.996 9.969 0 -2.011 1.924 0 0 5.946 9.969 23.96 35.94 33.93 19.94 11.98 41.97 21.95
0.065 23 23.96 11.98 5.946 11.98 15.91 13.99 19.94 13.99 31.92 41.97 39.96 27.98 15.91 51.94 29.99
0.07 23 23.96 11.98 7.957 13.99 23.96 19.94 23.96 9.969 25.97 33.93 31.92 21.95 7.957 46 21.95
0.075 12.94 15.91 5.946 3.935 9.969 19.94 15.91 19.94 3.935 11.98 17.93 15.91 11.98 -2.011 25.97 7.957
0.08 -1.049 7.957 0 0 1.924 9.969 9.969 15.91 1.924 -2.011 7.957 3.935 3.935 -7.083 7.957 -2.011
0.085 -3.061 5.946 0 1.924 -2.011 1.924 9.969 15.91 5.946 -5.072 7.957 3.935 3.935 -7.083 0 0.9619
0.09 0.9619 11.98 5.946 7.957 0 1.924 13.99 19.94 11.98 -3.061 11.98 7.957 11.98 0.9619 0 0
0.095 2.973 15.91 9.969 11.98 3.935 5.946 19.94 23.96 17.93 0.9619 13.99 9.969 15.91 3.935 1.924 1.924
0.1 6.996 13.99 5.946 9.969 5.946 11.98 17.93 21.95 13.99 0 5.946 0 9.969 3.935 0.9619 0.9619
0.105 4.984 5.946 0.9619 0 1.924 9.969 9.969 9.969 5.946 -2.011 -1.049 -11.02 -2.011 0.9619 -13.03 -9.007
0.11 0.9619 -2.011 -7.083 -7.083 -2.011 5.946 -2.011 0.9619 0.9619 -1.049 -11.02 -23.09 -13.03 -9.007 -29.03 -21.07
0.115 2.973 0.9619 -11.02 -15.04 0.9619 -2.011 -5.072 -7.083 -5.072 -1.049 -13.03 -25.01 -19.06 -15.04 -35.07 -25.01
