    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 185.1 185.1 185.1 185.1 185.1 185.1 185.1 185.1 185.1 185.1 185.1 185.1 185.1 185.1 185.1 185.1
0 6.959 -13.01 0 -2.079 11.93 7.953 17.98 9.941 9.941 11.93 33.98 -5.061 41.93 9.941 45.91 11.93
0.005 0.9941 -13.01 0 -2.079 19.97 16 19.97 19.97 7.953 16 27.93 0 31.99 16 39.95 13.92
0.01 -5.061 -7.049 0 -2.079 25.94 19.97 23.95 21.96 5.965 16 21.96 9.941 21.96 17.98 27.93 11.93
0.015 -3.073 -1.085 0 -1.085 23.95 17.98 23.95 17.98 7.953 9.941 16 16 16 16 17.98 7.953
0.02 0.9941 0.9941 -2.079 -5.061 18.98 11.93 21.96 11.93 13.92 5.965 11.93 17.98 16 17.98 11.93 9.941
0.025 2.982 0.9941 1.988 -3.073 12.92 7.953 17.98 9.941 21.96 5.965 7.953 16 23.95 23.95 13.92 17.98
0.03 6.959 -2.079 0.9941 0 7.953 11.93 16 16 31.99 11.93 7.953 16 31.99 31.99 19.97 27.93
0.035 8.947 1.988 -1.085 11.93 10.94 19.97 16 25.94 35.97 21.96 7.953 16 35.97 37.96 25.94 33.98
0.04 8.947 3.977 2.982 17.98 12.92 27.93 19.97 31.99 31.99 29.91 9.941 13.92 33.98 33.98 31.99 33.98
0.045 8.947 5.965 3.977 11.93 13.92 23.95 21.96 29.91 21.96 31.99 11.93 5.965 27.93 21.96 29.91 23.95
0.05 8.947 3.977 4.971 0 17.98 7.953 21.96 19.97 13.92 27.93 11.93 1.988 23.95 5.965 23.95 13.92
0.055 4.971 -2.079 0 -9.038 16 -7.049 19.97 5.965 9.941 17.98 9.941 -8.043 21.96 -3.073 19.97 3.977
0.06 0.9941 -3.073 -5.061 -19.07 7.953 -21.06 17.98 -5.061 16 5.965 3.977 -15 17.98 -11.03 17.98 -2.079
0.065 -7.049 -11.03 -11.03 -23.05 2.982 -25.03 14.91 -15 21.96 0 0.9941 -16.09 13.92 -12.02 22.96 1.988
0.07 -17.08 -17.08 -12.02 -21.06 0 -21.06 10.94 -21.06 23.95 -8.043 -5.061 -14.01 5.965 -12.02 24.94 0
0.075 -25.03 -23.05 -15 -19.07 -7.049 -15 3.977 -25.03 11.93 -11.03 -7.049 -9.038 0.9941 -9.038 19.97 -2.079
0.08 -25.03 -27.02 -11.03 -18.08 -17.08 -13.01 -2.079 -27.02 -2.079 -10.03 -3.073 -1.085 -5.061 -4.067 10.94 -1.085
0.085 -25.03 -26.03 -15 -18.08 -26.03 -17.08 -14.01 -31.09 -28.02 -8.043 0.9941 0 -11.03 1.988 1.988 0.9941
0.09 -21.06 -23.05 -19.07 -19.07 -39.04 -23.05 -27.02 -35.07 -45.01 -9.038 0 0 -13.01 -1.085 -7.049 0
0.095 -13.01 -14.01 -22.05 -20.06 -49.07 -33.08 -33.08 -37.05 -44.01 -7.049 -2.079 -1.085 -13.01 -5.061 -9.038 1.988
0.1 -9.038 -10.03 -24.04 -21.06 -53.05 -37.05 -35.07 -40.04 -32.08 -11.03 -1.085 0.9941 -11.03 -15 -7.049 -7.049
0.105 -3.073 -11.03 -27.02 -21.06 -51.06 -41.03 -33.08 -39.04 -17.08 -9.038 -5.061 -5.061 -9.038 -19.07 -3.073 -17.08
0.11 0.9941 -17.08 -19.07 -18.08 -37.05 -37.05 -25.03 -32.08 -3.073 -8.043 -4.067 -2.079 -4.067 -22.05 -1.085 -24.04
0.115 2.982 -19.07 -11.03 -10.03 -20.06 -28.02 -14.01 -25.03 4.971 -3.073 0.9941 -1.085 1.988 -17.08 -1.085 -24.04
0.12 -1.085 -16.09 0 0.9941 0 -18.08 -1.085 -12.02 13.92 0.9941 0 9.941 4.971 -9.038 1.988 -18.08
0.125 4.971 -7.049 13.92 6.959 14.91 -4.067 8.947 -3.073 22.96 1.988 1.988 16.99 10.94 -5.061 3.977 -12.02
0.13 14.91 0 27.93 16.99 33.98 3.977 21.96 0.9941 29.91 6.959 2.982 16.99 14.91 -2.079 9.941 0
0.135 26.93 11.93 35.97 27.93 43.92 17.98 33.98 9.941 37.96 13.92 0 16 19.97 -1.085 5.965 3.977
0.14 32.99 26.93 40.94 41.93 51.97 35.97 41.93 22.96 40.94 21.96 0 19.97 21.96 1.988 0 17.98
0.145 38.95 36.96 38.95 52.96 53.95 51.97 43.92 31.99 40.94 29.91 1.988 24.94 27.93 17.98 -1.085 33.98
0.15 32.99 45.91 33.98 57.93 53.95 62 41.93 35.97 29.91 29.91 3.977 31.99 27.93 27.93 -3.073 39.95
0.155 20.97 50.97 25.94 58.93 50.97 59.92 38.95 33.98 18.98 31 0 35.97 25.94 36.96 4.971 42.93
0.16 8.947 43.92 17.98 48.98 39.95 47.99 28.92 23.95 2.982 22.96 -3.073 25.94 19.97 32.99 20.97 32.99
0.165 -3.073 25.94 5.965 27.93 21.96 29.91 16 7.953 -5.061 11.93 -13.01 11.93 9.941 17.98 25.94 16
0.17 -11.03 5.965 -4.067 7.953 4.971 9.941 0.9941 0.9941 -13.01 6.959 -17.08 0.9941 -2.079 2.982 20.97 4.971
0.175 -17.08 -1.085 -19.07 0.9941 -4.067 1.988 -6.055 -1.085 -15 -1.085 -15 0.9941 -7.049 1.988 2.982 -1.085
0.18 -17.08 -1.085 -29.01 -3.073 -15 5.965 -13.01 0 -13.01 -1.085 -5.061 13.92 -11.03 1.988 -11.03 3.977
0.185 -11.03 5.965 -27.02 -2.079 -11.03 17.98 -11.03 9.941 -13.01 -5.061 1.988 32.99 -7.049 16 -19.07 13.92
0.19 -1.085 17.98 -18.08 5.965 -3.073 31.99 -7.049 13.92 -17.08 -11.03 13.92 44.92 0.9941 25.94 -19.07 17.98
0.195 4.971 23.95 -1.085 11.93 0.9941 37.96 -7.049 9.941 -27.02 -17.08 17.98 43.92 1.988 23.95 -15 9.941
0.2 8.947 19.97 12.92 13.92 0.9941 33.98 -17.08 -1.085 -37.05 -25.03 16 35.97 3.977 11.93 -13.01 0.9941
0.205 10.94 11.93 24.94 9.941 0.9941 19.97 -29.01 -19.07 -45.01 -29.01 9.941 23.95 1.988 -3.073 -15 -13.01
0.21 8.947 5.965 27.93 3.977 -2.079 1.988 -37.05 -29.01 -45.01 -25.03 5.965 13.92 -2.079 -19.07 -15 -21.06
0.215 6.959 7.953 28.92 -2.079 0.9941 -5.061 -33.08 -23.05 -35.07 -13.01 3.977 7.953 0 -27.02 -7.049 -19.07
0.22 8.947 16 23.95 -1.085 6.959 -13.01 -15 -5.061 -23.05 -2.079 3.977 5.965 5.965 -25.03 0 -11.03
0.225 12.92 21.96 19.97 -1.085 9.941 -9.038 0 11.93 -11.03 11.93 5.965 5.965 11.93 -17.08 9.941 -1.085
0.23 18.98 21.96 19.97 3.977 11.93 0.9941 16 29.91 -5.061 19.97 5.965 9.941 13.92 -3.073 7.953 5.965
0.235 22.96 19.97 23.95 21.96 13.92 13.92 21.96 39.95 0.9941 21.96 7.953 17.98 13.92 7.953 -2.079 17.98
0.24 28.92 21.96 29.91 43.92 16 35.97 19.97 41.93 1.988 21.96 9.941 27.93 11.93 25.94 -7.049 31.99
0.245 32.99 25.94 39.95 63.99 21.96 55.94 19.97 39.95 11.93 19.97 9.941 39.95 11.93 41.93 -7.049 43.92
0.25 32.99 33.98 45.91 73.93 31.99 69.95 23.95 39.95 21.96 21.96 5.965 41.93 13.92 53.95 0 49.98
0.255 26.93 39.95 47.99 71.94 37.96 71.94 35.97 41.93 27.93 23.95 0.9941 37.96 13.92 57.93 13.92 47.99
0.26 14.91 37.96 45.91 59.92 41.93 63.99 45.91 45.91 25.94 29.91 -11.03 27.93 11.93 51.97 21.96 41.93
0.265 2.982 27.93 39.95 43.92 39.95 51.97 45.91 45.91 16 33.98 -21.06 17.98 9.941 43.92 17.98 33.98
0.27 -1.085 17.98 35.97 29.91 33.98 39.95 35.97 43.92 0 31.99 -19.07 9.941 7.953 33.98 3.977 27.93
0.275 -3.073 7.953 33.98 21.96 29.91 29.91 17.98 33.98 -9.038 25.94 -9.038 7.953 11.93 23.95 -9.038 19.97
0.28 0.9941 3.977 31.99 13.92 24.94 19.97 0 19.97 -19.07 13.92 1.988 3.977 17.98 9.941 -21.06 9.941
0.285 2.982 5.965 23.95 3.977 16.99 5.965 -11.03 0 -21.06 0 13.92 -2.079 17.98 0.9941 -25.03 0.9941
0.29 6.959 7.953 13.92 -5.061 3.977 -7.049 -19.07 -15 -17.08 -11.03 16 -1.085 7.953 -11.03 -21.06 -11.03
0.295 8.947 7.953 -2.079 -15 -4.067 -22.05 -25.03 -31.09 -13.01 -19.07 7.953 -7.049 -3.073 -19.07 -15 -19.07
0.3 6.959 3.977 -10.03 -23.05 -20.06 -34.07 -33.08 -41.03 -11.03 -25.03 0.9941 -13.01 -21.06 -21.06 -11.03 -19.07
0.305 0.9941 0.9941 -21.06 -23.05 -27.02 -35.07 -39.04 -45.01 -17.08 -27.02 -9.038 -19.07 -31.09 -19.07 -13.01 -17.08
0.31 0.9941 -9.038 -22.05 -18.08 -25.03 -26.03 -45.01 -43.02 -25.03 -25.03 -13.01 -27.02 -28.02 -19.07 -19.07 -15
0.315 -3.073 -17.08 -18.08 -8.043 -19.07 -14.01 -43.02 -39.04 -29.01 -23.05 -9.038 -37.05 -18.08 -21.06 -25.03 -17.08
0.32 -5.061 -21.06 -11.03 -1.085 -9.038 -5.061 -35.07 -33.08 -25.03 -19.07 -1.085 -41.03 -7.049 -21.06 -25.03 -19.07
0.325 -3.073 -21.06 1.988 -1.085 0 0.9941 -22.05 -23.05 -13.01 -11.03 1.988 -38.05 0 -17.08 -19.07 -21.06
0.33 -1.085 -17.08 1.988 1.988 1.988 -3.073 -8.043 -16.09 1.988 -5.061 4.971 -34.07 0 -15 -5.061 -21.06
0.335 -3.073 -13.01 0.9941 -5.061 -5.061 -9.038 -7.049 -13.01 5.965 -3.073 0 -29.01 -5.061 -13.01 0 -21.06
