    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
1.185 146.6 -29.31 -136.8 -48.85 -263.8 -429.9 -87.93 -762.1 -752.3 -655.1 166.1 -244.3 117.2 -283.3 -127 -68.39 -312.7 -615.5 -351.7
1.19 48.85 -293.1 -283.3 -224.7 -312.7 -478.7 -68.39 -664.4 -361.5 -332.2 48.85 -224.7 78.16 -166.1 -48.85 146.6 -263.8 -908.6 -29.31
1.195 -175.9 -371.3 -537.4 -283.3 -596 -429.9 -312.7 -342 -156.3 78.16 -68.39 -234.5 -9.77 -136.8 -175.9 429.9 -576.5 -957.5 -68.39
1.2 -244.3 -655.1 -752.3 -498.3 -752.3 -488.5 -420.1 -254 0 214.9 -322.4 -185.6 -117.2 -97.7 -224.7 517.8 -655.1 -1075 29.31
1.205 -293.1 -556.9 -908.6 -527.6 -1006 -459.2 -615.5 -68.39 146.6 547.1 -381 -156.3 -214.9 -19.54 -263.8 664.4 -830.5 -1075 -78.16
1.21 -244.3 -537.4 -967.8 -635.6 -1045 -527.6 -781.6 -29.31 136.8 527.6 -342 -107.5 -195.4 9.77 -322.4 596 -820.7 -1250 -136.8
1.215 -361.5 -547.6 -1064 -683.9 -1172 -488.5 -879.8 87.93 107.5 674.2 -429.9 -107.5 -429.9 39.08 -478.7 644.8 -889.1 -1153 -244.3
1.22 -361.5 -508.1 -957.5 -605.8 -1006 -420.1 -889.1 205.2 175.9 713.2 -322.4 -127 -205.2 0 -420.1 664.4 -791.4 -996.6 -263.8
1.225 -312.7 -420.1 -869.6 -537.4 -869.6 -263.8 -762.1 439.7 332.2 830.5 -429.9 68.39 -244.3 146.6 -381 742.6 -664.4 -830.5 -166.1
1.23 -400.6 -469 -830.5 -478.7 -762.1 -224.7 -635.6 439.7 332.2 830.5 -439.7 -19.54 -205.2 107.5 -254 723 -537.4 -781.6 -78.16
