    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
1.185 29.31 -185.6 9.77 -322.4 -244.3 -605.8 107.5 -400.6 390.8 332.2 58.62 -9.77 127 -97.7 508.1 234.5 -136.8 -596 -117.2 136.8
1.19 107.5 -58.62 78.16 -156.3 -195.4 -429.9 9.77 -390.8 205.2 254 127 117.2 127 0 361.5 224.7 -29.31 -469 -156.3 107.5
1.195 127 -29.31 107.5 -58.62 -175.9 -244.3 -68.39 -371.3 0 146.6 136.8 175.9 97.7 107.5 214.9 214.9 9.77 -332.2 -175.9 58.62
1.2 97.7 -68.39 136.8 -9.77 -127 -48.85 -97.7 -263.8 -117.2 78.16 127 195.4 87.93 195.4 107.5 224.7 58.62 -175.9 -107.5 39.08
1.205 48.85 -175.9 175.9 -29.31 -68.39 87.93 -48.85 -117.2 -156.3 19.54 127 166.1 97.7 244.3 58.62 244.3 107.5 -58.62 29.31 78.16
1.21 0 -322.4 234.5 -78.16 58.62 185.6 68.39 78.16 -87.93 39.08 146.6 127 107.5 273.6 78.16 283.3 175.9 48.85 263.8 166.1
1.215 -9.77 -410.4 332.2 -87.93 234.5 283.3 244.3 332.2 48.85 136.8 195.4 136.8 127 293.1 136.8 361.5 283.3 156.3 517.8 254
1.22 -9.77 -439.7 371.3 -78.16 361.5 332.2 381 537.4 175.9 263.8 234.5 156.3 107.5 293.1 156.3 429.9 322.4 195.4 703.5 293.1
1.225 0 -400.6 342 -39.08 410.4 332.2 429.9 674.2 244.3 390.8 263.8 195.4 58.62 283.3 146.6 498.3 302.9 175.9 762.1 283.3
1.23 9.77 -293.1 244.3 0 371.3 283.3 381 683.9 244.3 469 214.9 234.5 -9.77 244.3 87.93 527.6 234.5 107.5 683.9 224.7
1.235 68.39 -166.1 127 0 263.8 166.1 293.1 566.7 205.2 449.4 166.1 224.7 -78.16 175.9 48.85 478.7 166.1 -19.54 517.8 214.9
1.24 156.3 -97.7 78.16 -48.85 166.1 19.54 234.5 342 195.4 342 127 175.9 -97.7 107.5 78.16 381 166.1 -195.4 351.7 283.3
1.245 244.3 -117.2 78.16 -166.1 107.5 -156.3 224.7 48.85 224.7 166.1 78.16 78.16 -107.5 48.85 156.3 254 205.2 -410.4 185.6 429.9
1.25 293.1 -234.5 78.16 -342 58.62 -361.5 234.5 -254 273.6 -29.31 58.62 -29.31 -78.16 0 263.8 136.8 234.5 -635.6 19.54 605.8
1.255 273.6 -361.5 58.62 -498.3 9.77 -517.8 224.7 -517.8 312.7 -185.6 9.77 -127 -68.39 -29.31 342 78.16 224.7 -820.7 -127 723
1.26 156.3 -459.2 -9.77 -615.5 -48.85 -615.5 185.6 -674.6 332.2 -263.8 -87.93 -185.6 -78.16 -58.62 361.5 68.39 136.8 -918.4 -273.6 693.7
1.265 19.54 -469 -127 -625.3 -127 -644.8 175.9 -732.8 361.5 -263.8 -175.9 -185.6 -107.5 -78.16 371.3 78.16 29.31 -928.2 -332.2 596
1.27 -107.5 -420.1 -205.2 -556.9 -166.1 -576.5 205.2 -674.6 410.4 -175.9 -273.6 -185.6 -117.2 -78.16 361.5 87.93 -58.62 -840.3 -283.3 429.9
1.275 -195.4 -351.7 -224.7 -429.9 -136.8 -459.2 283.3 -566.7 478.7 -58.62 -273.6 -185.6 -97.7 -78.16 381 68.39 -87.93 -683.9 -136.8 273.6
1.28 -214.9 -254 -166.1 -273.6 -58.62 -312.7 371.3 -459.2 517.8 9.77 -224.7 -185.6 -29.31 -107.5 410.4 -9.77 -48.85 -488.5 19.54 156.3
1.285 -214.9 -166.1 -87.93 -87.93 0 -146.6 410.4 -371.3 478.7 39.08 -185.6 -205.2 39.08 -175.9 410.4 -136.8 19.54 -263.8 117.2 29.31
1.29 -146.6 -39.08 -9.77 97.7 58.62 0 400.6 -302.9 361.5 9.77 -117.2 -195.4 107.5 -234.5 381 -273.6 127 -39.08 156.3 -58.62
1.295 -39.08 107.5 48.85 263.8 97.7 136.8 342 -263.8 185.6 -48.85 -107.5 -146.6 117.2 -263.8 322.4 -390.8 224.7 136.8 146.6 -117.2
1.3 78.16 244.3 107.5 400.6 136.8 254 234.5 -205.2 0 -107.5 -78.16 -117.2 117.2 -234.5 205.2 -429.9 312.7 283.3 117.2 -156.3
1.305 205.2 332.2 166.1 469 166.1 332.2 127 -136.8 -166.1 -136.8 -9.77 -58.62 87.93 -127 78.16 -390.8 371.3 342 107.5 -136.8
1.31 283.3 381 195.4 517.8 175.9 390.8 -9.77 -29.31 -322.4 -136.8 29.31 0 39.08 0 -68.39 -273.6 390.8 332.2 87.93 -117.2
1.315 283.3 420.1 205.2 596 166.1 478.7 -166.1 136.8 -478.7 -48.85 68.39 68.39 0 146.6 -205.2 -58.62 381 361.5 29.31 -175.9
1.32 244.3 469 224.7 674.2 146.6 576.5 -293.1 322.4 -586.2 58.62 97.7 175.9 -19.54 283.3 -283.3 166.1 381 390.8 -19.54 -254
1.325 205.2 508.1 254 732.8 156.3 664.4 -351.7 498.3 -615.5 185.6 107.5 254 0 371.3 -293.1 381 400.6 439.7 -58.62 -293.1
1.33 166.1 517.8 332.2 752.3 214.9 742.6 -312.7 644.8 -547.6 332.2 117.2 283.3 39.08 420.1 -214.9 547.1 469 498.3 -29.31 -302.9
1.335 166.1 439.7 410.4 674.2 302.9 742.6 -166.1 703.5 -390.8 420.1 136.8 205.2 107.5 410.4 -78.16 625.3 527.6 478.7 48.85 -195.4
1.34 195.4 332.2 469 556.9 400.6 703.5 29.31 693.7 -156.3 469 156.3 87.93 185.6 361.5 87.93 625.3 596 429.9 195.4 -48.85
1.345 283.3 244.3 537.4 459.2 508.1 644.8 273.6 635.1 97.7 498.3 234.5 -48.85 273.6 283.3 293.1 596 644.8 381 351.7 68.39
1.35 361.5 175.9 547.1 361.5 586.2 547.1 498.3 498.3 351.7 449.4 332.2 -205.2 351.7 175.9 478.7 488.5 644.8 273.6 469 195.4
1.355 429.9 166.1 508.1 312.7 625.3 478.7 703.5 361.5 566.7 400.6 420.1 -293.1 420.1 78.16 635.1 390.8 615.5 205.2 547.1 244.3
1.36 420.1 156.3 429.9 273.6 625.3 381 850 214.9 723 342 459.2 -351.7 449.4 0 732.8 283.3 527.6 146.6 556.9 244.3
1.365 322.4 117.2 302.9 224.7 576.5 273.6 918.4 87.93 810.9 302.9 400.6 -381 410.4 -48.85 752.3 214.9 390.8 127 517.8 185.6
1.37 195.4 87.93 214.9 205.2 537.4 234.5 938 78.16 850 351.7 312.7 -361.5 351.7 -39.08 742.6 214.9 273.6 175.9 478.7 78.16
