    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
41 253.1 253.1 253.1 253.1 253.1 253.1 253.1 253.1 253.1 253.1 253.1 253.1 253.1 253.1 253.1 253.1
0 -7.045 -5.067 19.9 15.94 22 13.97 53.89 41.9 66 99.99 19.9 1.978 15.94 17.92 35.97 61.92
0.005 2.966 0 33.99 33.99 47.96 37.94 77.99 61.92 77.99 103.9 13.97 0.9888 25.96 22 39.92 61.92
0.01 12.98 -2.101 41.9 35.97 51.91 44 75.89 61.92 77.99 93.93 17.92 1.978 27.93 17.92 41.9 57.97
0.015 33 1.978 60.93 45.98 60.93 50.92 80.96 61.92 91.96 102 24.97 0 35.97 33 58.96 56.98
0.02 42.89 17.92 70.94 58.96 74.9 60.93 96.9 67.98 102 108.9 28.92 -1.112 51.91 48.94 72.92 58.96
0.025 46.97 16.93 77 49.93 84.91 66.99 99.99 73.91 99.99 103.9 30.9 -1.112 61.92 28.92 77.99 55
0.03 48.94 13.97 72.92 50.92 84.91 64.89 101 79.97 103.9 111 26.94 8.899 56.98 16.93 80.96 56.98
0.035 42.89 14.96 55.99 41.9 71.93 55.99 91.96 71.93 99.99 103.9 23.98 7.91 53.89 19.9 77.99 57.97
0.04 28.92 9.888 39.92 29.91 57.97 45.98 69.96 61.92 79.97 79.97 15.94 7.91 44 11.99 67.98 51.91
0.045 20.89 8.899 36.96 27.93 46.97 36.96 53.89 47.96 66 66 2.966 11 19.9 11 49.93 42.89
0.05 18.91 11.99 34.98 25.96 38.93 30.9 55 37.94 57.97 59.94 4.944 7.91 19.9 18.91 38.93 33
0.055 8.899 0 27.93 20.89 38.93 29.91 46.97 37.94 46.97 48.94 0 11.99 22.99 6.921 26.94 24.97
0.06 -7.045 -7.045 9.888 7.91 19.9 19.9 31.89 25.96 37.94 44 -7.045 19.9 5.933 0.9888 11.99 22
0.065 -15.08 0 0.9888 0 6.921 12.98 26.94 15.94 37.94 44 0 22 5.933 2.966 18.91 26.94
0.07 -13.1 1.978 5.933 8.899 11.99 17.92 26.94 26.94 44.99 48.94 0 23.98 11 7.91 26.94 33.99
0.075 -7.045 1.978 11.99 26.94 16.93 27.93 33 39.92 49.93 55 1.978 31.89 1.978 8.899 27.93 36.96
0.08 0.9888 8.899 14.96 34.98 18.91 35.97 44 46.97 46.97 55.99 9.888 31.89 1.978 14.96 26.94 34.98
0.085 -1.112 0.9888 11 23.98 19.9 34.98 40.91 42.89 37.94 53.89 18.91 24.97 9.888 17.92 26.94 33.99
0.09 -13.1 -11 0.9888 7.91 13.97 26.94 35.97 28.92 25.96 45.98 15.94 25.96 6.921 13.97 22.99 34.98
0.095 -11 -14.09 -3.09 -1.112 11.99 13.97 31.89 16.93 18.91 35.97 17.92 13.97 9.888 3.955 22.99 27.93
0.1 2.966 -19.03 5.933 -5.067 22 7.91 38.93 22 37.94 41.9 25.96 1.978 16.93 3.955 33 26.94
0.105 11 -11 22 4.944 36.96 9.888 52.9 33.99 66 50.92 25.96 -9.022 31.89 6.921 45.98 30.9
0.11 20.89 -7.045 26.94 14.96 41.9 22.99 56.98 44.99 68.97 56.98 22 -27.07 36.96 3.955 53.89 27.93
0.115 22.99 -13.1 25.96 16.93 38.93 27.93 59.94 44.99 69.96 66 26.94 -47.09 34.98 6.921 56.98 29.91
0.12 20.89 -9.022 23.98 22 37.94 35.97 58.96 45.98 68.97 71.93 16.93 -40.04 33.99 6.921 55 38.93
0.125 20.89 0.9888 9.888 24.97 34.98 45.98 53.89 50.92 49.93 63.9 6.921 -25.09 12.98 -1.112 38.93 35.97
0.13 16.93 7.91 8.899 14.96 29.91 38.93 42.89 40.91 38.93 50.92 7.91 -9.022 0.9888 0.9888 27.93 25.96
0.135 20.89 15.94 13.97 22.99 22.99 31.89 34.98 29.91 37.94 42.89 9.888 5.933 13.97 8.899 25.96 24.97
0.14 22.99 13.97 9.888 25.96 19.9 33.99 22.99 27.93 23.98 37.94 1.978 18.91 18.91 15.94 24.97 26.94
0.145 18.91 16.93 7.91 23.98 9.888 23.98 9.888 18.91 11 25.96 1.978 22 11.99 15.94 18.91 23.98
0.15 12.98 15.94 2.966 15.94 0.9888 11 7.91 2.966 0 13.97 0 31.89 11 15.94 12.98 20.89
0.155 0.9888 9.888 -8.034 5.933 -11 0.9888 -2.101 -2.101 -9.022 -2.101 -1.112 33 1.978 7.91 -1.112 15.94
0.16 -13.1 2.966 -26.08 -10.01 -28.06 -7.045 -21.01 -20.02 -24.1 -21.01 -1.112 31.89 -19.03 0 -14.09 0
0.165 -21.01 0.9888 -39.06 -20.02 -50.06 -31.02 -46.1 -45.11 -35.1 -40.04 -3.09 25.96 -29.04 -6.056 -29.04 -16.07
0.17 -29.04 -10.01 -43.01 -20.02 -59.08 -39.06 -60.07 -56.11 -40.04 -46.1 -13.1 13.97 -42.02 -5.067 -40.04 -17.06
0.175 -41.03 -17.06 -50.06 -25.09 -64.02 -38.07 -58.09 -61.06 -51.04 -55 -22 1.978 -59.08 -20.02 -48.08 -22
0.18 -39.06 -11 -49.07 -23.11 -69.09 -43.01 -51.04 -57.1 -55 -53.02 -9.022 0.9888 -47.09 -25.09 -43.01 -17.06
0.185 -29.04 -6.056 -37.08 -14.09 -56.11 -29.04 -34.11 -41.03 -40.04 -36.09 0.9888 -7.045 -32.01 -20.02 -32.01 -4.079
0.19 -29.04 -9.022 -34.11 -19.03 -44 -16.07 -32.01 -29.04 -35.1 -27.07 -6.056 -13.1 -35.1 -36.09 -28.06 -10.01
0.195 -17.06 0 -22 -13.1 -41.03 -18.04 -29.04 -23.11 -31.02 -17.06 -1.112 -6.056 -33 -30.03 -25.09 -7.045
0.2 -1.112 7.91 -3.09 3.955 -23.11 -7.045 -15.08 -13.1 -17.06 -11 3.955 -1.112 -31.02 -5.067 -29.04 5.933
0.205 4.944 11 0 15.94 -17.06 1.978 -7.045 -9.022 -9.022 -5.067 0.9888 -3.09 -31.02 0 -27.07 9.888
