    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  Pz 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
0.625 -732.8 -1201 -508.1 -1064 -302.9 -1104 -576.5 -1055 -68.39 -703.5 -576.5 -469 -87.93 -732.8 78.16 -322.4 -351.7 -947.7 -840.3 -840.3
0.63 -449.4 -879.8 -342 -1016 -254 -947.7 -655.1 -1016 -185.6 -664.4 -459.2 -244.3 -312.7 -605.8 -68.39 -166.1 -136.8 -869.6 -703.5 -703.5
0.635 -439.7 -762.1 -381 -947.7 -371.3 -781.6 -987.3 -1016 -801.2 -898.9 -420.1 -39.08 -381 -342 -488.5 -146.6 -234.5 -683.9 -889.1 -889.1
0.64 -400.6 -547.6 -205.2 -469 -234.5 -312.7 -977.5 -644.8 -1153 -869.6 -371.3 703.5 -1104 263.8 -674.6 48.85 9.77 -127 -791.4 -791.4
0.645 -224.7 -312.7 19.54 -244.3 -244.3 -156.3 -1075 -527.6 -1553 -1124 -312.7 820.7 -644.8 175.9 -752.3 -185.6 107.5 -19.54 -850 -850
0.65 -332.2 -87.93 39.08 87.93 -205.2 117.2 -1045 -136.8 -1612 -947.7 -615.5 1104 -742.6 351.7 -840.3 -156.3 293.1 273.6 -742.6 -742.6
0.655 -293.1 97.7 97.7 127 -234.5 107.5 -947.7 -39.08 -1514 -820.7 -390.8 840.3 -312.7 68.39 -674.6 -332.2 351.7 185.6 -703.5 -703.5
0.66 -263.8 87.93 58.62 58.62 -322.4 -19.54 -810.9 39.08 -1339 -605.8 -351.7 576.5 -78.16 9.77 -644.8 -332.2 302.9 117.2 -683.9 -683.9
0.665 -429.9 68.39 -107.5 -97.7 -332.2 -146.6 -693.7 9.77 -987.3 -361.5 -566.7 390.8 -283.3 -68.39 -527.6 -302.9 185.6 -185.6 -674.6 -674.6
0.67 -508.1 -156.3 -390.8 -234.5 -439.7 -224.7 -615.5 58.62 -732.8 -58.62 -214.9 254 -87.93 -58.62 -537.4 -195.4 0 -361.5 -713.2 -713.2
0.675 -596 -302.9 -469 -459.2 -429.9 -351.7 -517.8 -19.54 -381 175.9 -244.3 19.54 127 -107.5 -283.3 -166.1 -175.9 -576.5 -703.5 -703.5
0.68 -469 -322.4 -429.9 -381 -283.3 -87.93 -97.7 371.3 293.1 967.3 9.77 283.3 234.5 156.3 -9.77 214.9 -244.3 -390.8 -351.7 -351.7
0.685 -205.2 -234.5 -214.9 -498.3 -166.1 -234.5 351.7 449.4 801.2 1172 263.8 -78.16 674.2 127 400.6 273.6 -224.7 -439.7 -9.77 -9.77
0.69 -127 -273.6 -87.93 -537.4 9.77 -224.7 732.8 635.1 1290 1593 332.2 -68.39 449.4 205.2 742.6 537.4 -195.4 -381 459.2 459.2
0.695 -175.9 -117.2 -48.85 -625.3 78.16 -293.1 1006 713.2 1632 1788 48.85 -195.4 -439.7 146.6 654.6 566.7 -205.2 -332.2 801.2 801.2
0.7 -273.6 -263.8 -244.3 -655.1 9.77 -381 996.6 762.1 1632 1886 -254 -244.3 -78.16 87.93 517.8 732.8 -400.6 -283.3 869.6 869.6
0.705 -127 -9.77 -87.93 -547.6 263.8 -351.7 1133 703.5 1720 1944 -302.9 0 -371.3 39.08 429.9 674.2 -195.4 -263.8 1114 1114
0.71 -429.9 -371.3 -117.2 -488.5 371.3 -175.9 1241 723 1847 2110 -459.2 -322.4 -97.7 -205.2 185.6 752.3 -97.7 -263.8 1212 1212
0.715 -517.8 -664.4 -156.3 -576.5 342 -322.4 1143 615.5 1915 2051 -556.9 -39.08 107.5 -175.9 527.6 605.8 -146.6 -332.2 996.6 996.6
0.72 -302.9 -664.4 -342 -703.5 0 -596 644.8 146.6 1319 1612 -566.7 -214.9 -166.1 -254 -9.77 312.7 -381 -664.4 312.7 312.7
0.725 -429.9 -693.7 -244.3 -869.6 -29.31 -791.4 449.4 -136.8 1143 1212 -185.6 -214.9 -117.2 -136.8 234.5 117.2 -488.5 -869.6 -39.08 -39.08
0.73 -58.62 -361.5 -254 -996.6 -283.3 -1055 9.77 -488.5 615.5 664.4 -527.6 -175.9 -87.93 -136.8 175.9 -58.62 -625.3 -1104 -586.2 -586.2
0.735 -97.7 -107.5 -254 -967.8 -459.2 -1075 -381 -713.2 97.7 156.3 -185.6 -29.31 -136.8 107.5 -39.08 -127 -655.1 -1143 -938 -938
0.74 175.9 19.54 78.16 -791.4 -293.1 -810.9 -273.6 -635.6 97.7 -107.5 136.8 146.6 -185.6 195.4 78.16 -87.93 -400.6 -850 -713.2 -713.2
0.745 -39.08 -117.2 0 -752.3 -488.5 -752.3 -547.6 -752.3 -420.1 -371.3 -224.7 -107.5 -820.7 39.08 -371.3 -224.7 -439.7 -850 -898.9 -898.9
0.75 400.6 -39.08 322.4 -488.5 -400.6 -488.5 -693.7 -762.1 -889.1 -576.5 381 156.3 -556.9 19.54 -420.1 -283.3 -78.16 -576.5 -791.4 -791.4
0.755 185.6 -214.9 263.8 -449.4 -566.7 -488.5 -987.3 -928.2 -1416 -996.6 175.9 58.62 -195.4 -254 -752.3 -566.7 -58.62 -556.9 -859.8 -859.8
0.76 78.16 -136.8 234.5 -498.3 -762.1 -576.5 -1329 -967.8 -2012 -1406 -68.39 127 -195.4 -293.1 -1045 -742.6 0 -547.6 -1006 -1006
0.765 273.6 175.9 420.1 -312.7 -742.6 -537.4 -1505 -869.6 -2228 -1661 -205.2 566.7 29.31 -39.08 -1075 -762.1 234.5 -625.3 -1045 -1045
0.77 576.5 342 693.7 -156.3 -498.3 -449.4 -1348 -791.4 -1964 -1925 166.1 918.4 127 371.3 -967.8 -693.7 566.7 -586.2 -889.1 -889.1
0.775 400.6 566.7 723 283.3 -351.7 -117.2 -1172 -410.4 -1739 -1710 -9.77 1202 -508.1 654.6 -967.8 -342 732.8 -312.7 -820.7 -820.7
0.78 644.8 459.2 1016 400.6 156.3 58.62 -586.2 -263.8 -1143 -1710 439.7 1260 19.54 723 -469 -312.7 977 -166.1 -488.5 -488.5
0.785 498.3 439.7 1231 605.8 635.1 420.1 127 234.5 -351.7 -1143 381 1280 -175.9 742.6 -9.77 29.31 1036 185.6 -9.77 -9.77
0.79 429.9 449.4 1075 635.1 840.3 654.6 683.9 488.5 146.6 -908.6 938 1466 556.9 859.8 527.6 -58.62 1153 332.2 293.1 293.1
0.795 322.4 478.7 1045 859.8 1055 1045 1241 1026 713.2 -156.3 869.6 1299 683.9 635.1 918.4 58.62 879.3 615.5 635.1 635.1
0.8 166.1 517.8 596 625.3 840.3 762.1 1309 908.6 674.2 -136.8 615.5 1241 596 947.7 996.6 -224.7 556.9 674.2 586.2 586.2
0.805 -29.31 586.2 410.4 771.9 723 869.6 1387 1045 762.1 58.62 635.1 1075 361.5 537.4 898.9 -254 273.6 771.9 527.6 527.6
0.81 -9.77 469 283.3 488.5 742.6 410.4 1280 723 566.7 -293.1 830.5 596 420.1 146.6 810.9 -556.9 48.85 586.2 322.4 322.4
0.815 -29.31 576.5 175.9 420.1 566.7 293.1 1094 615.5 449.4 -478.7 381 664.4 -48.85 78.16 635.1 -420.1 -175.9 615.5 166.1 166.1
0.82 -400.6 527.6 -322.4 312.7 -9.77 166.1 498.3 429.9 -166.1 -781.6 -9.77 683.9 -205.2 -146.6 244.3 -439.7 -605.8 566.7 -254 -254
0.825 -361.5 674.2 -508.1 244.3 -322.4 29.31 195.4 146.6 -293.1 -1025 -537.4 635.1 -263.8 -58.62 205.2 -508.1 -801.2 254 -420.1 -420.1
0.83 -791.4 459.2 -957.5 -68.39 -947.7 -302.9 -351.7 -283.3 -674.6 -1182 -1104 263.8 -850 -293.1 -146.6 -644.8 -1319 -156.3 -850 -850
0.835 -655.1 449.4 -908.6 -68.39 -1025 -420.1 -478.7 -498.3 -537.4 -1036 -1085 302.9 -987.3 -214.9 -9.77 -703.5 -1270 -469 -859.8 -859.8
0.84 -683.9 351.7 -947.7 -78.16 -1104 -498.3 -723 -547.6 -605.8 -840.3 -928.2 381 -1045 -58.62 -107.5 -615.5 -1426 -537.4 -1114 -1114
0.845 -596 224.7 -869.6 -97.7 -1094 -449.4 -791.4 -556.9 -429.9 -635.6 -889.1 459.2 -1163 -97.7 68.39 -586.2 -1299 -723 -1075 -1075
0.85 -156.3 -87.93 -644.8 -166.1 -918.4 -674.6 -791.4 -713.2 -420.1 -830.5 -635.6 576.5 -810.9 -214.9 156.3 -771.9 -987.3 -898.9 -1025 -1025
0.855 39.08 -39.08 -332.2 117.2 -615.5 -410.4 -664.4 -381 -263.8 -537.4 -312.7 801.2 -635.6 78.16 97.7 -605.8 -596 -596 -664.4 -664.4
0.86 547.1 0 -68.39 195.4 -469 -488.5 -674.6 -449.4 -234.5 -869.6 -39.08 1124 -361.5 332.2 127 -664.4 -156.3 -576.5 -469 -469
0.865 1055 293.1 537.4 478.7 -48.85 -273.6 -439.7 -234.5 -244.3 -752.3 429.9 1045 19.54 302.9 58.62 -644.8 547.1 -224.7 -107.5 -107.5
0.87 1495 693.7 977 732.8 175.9 -39.08 -498.3 -254 -439.7 -1270 615.5 1407 185.6 732.8 39.08 -596 1192 -136.8 9.77 9.77
0.875 2051 1153 1270 1153 381 214.9 -469 -48.85 -703.5 -1367 996.6 1505 332.2 732.8 -263.8 -488.5 1651 254 39.08 39.08
0.88 2022 1309 1202 1124 283.3 254 -655.1 -156.3 -1201 -1710 390.8 1485 -87.93 664.4 -381 -439.7 1671 342 -146.6 -146.6
0.885 1778 1153 1104 1241 244.3 410.4 -596 39.08 -1406 -1475 410.4 1651 -234.5 850 -586.2 -146.6 1573 517.8 -136.8 -136.8
0.89 1368 1202 742.6 1114 195.4 449.4 -537.4 283.3 -1514 -1085 136.8 1397 -429.9 615.5 -439.7 78.16 1212 488.5 -78.16 -78.16
0.895 898.9 879.3 410.4 869.6 -58.62 390.8 -537.4 439.7 -1612 -732.8 -127 1153 -547.6 723 -469 254 850 429.9 -48.85 -48.85
0.9 332.2 752.3 136.8 615.5 -175.9 390.8 -390.8 625.3 -1377 -332.2 -205.2 830.5 -859.8 576.5 -635.6 381 527.6 478.7 58.62 58.62
0.905 293.1 810.9 332.2 801.2 127 654.6 -19.54 967.3 -869.6 293.1 68.39 918.4 -537.4 469 -410.4 556.9 459.2 625.3 312.7 312.7
0.91 -146.6 381 9.77 644.8 -87.93 615.5 0 957.5 -566.7 596 -459.2 205.2 -1260 302.9 -381 498.3 78.16 596 293.1 293.1
0.915 -244.3 283.3 527.6 791.4 556.9 781.6 781.6 1114 400.6 1065 -117.2 635.1 -615.5 273.6 244.3 517.8 390.8 859.8 830.5 830.5
0.92 -508.1 -224.7 214.9 527.6 439.7 459.2 810.9 732.8 605.8 908.6 -400.6 19.54 -713.2 107.5 488.5 117.2 39.08 703.5 615.5 615.5
0.925 -400.6 -302.9 517.8 273.6 762.1 127 1280 439.7 1231 850 48.85 -166.1 224.7 48.85 1036 -136.8 166.1 488.5 742.6 742.6
0.93 -517.8 -615.5 234.5 -136.8 556.9 -273.6 1202 -156.3 1270 175.9 19.54 -625.3 488.5 -293.1 977 -576.5 -117.2 -39.08 381 381
0.935 -537.4 -566.7 136.8 -224.7 439.7 -332.2 1104 -322.4 1407 68.39 195.4 -732.8 312.7 -244.3 947.7 -556.9 -263.8 -107.5 175.9 175.9
0.94 -752.3 -810.9 -156.3 -439.7 87.93 -449.4 762.1 -547.6 1192 -302.9 127 -977.5 -146.6 -263.8 615.5 -508.1 -625.3 -332.2 -205.2 -205.2
0.945 -1055 -1055 -459.2 -655.1 -332.2 -576.5 371.3 -840.3 1026 -488.5 -224.7 -957.5 -410.4 -342 439.7 -547.6 -801.2 -723 -459.2 -459.2
0.95 -1309 -1163 -566.7 -605.8 -644.8 -469 -29.31 -791.4 703.5 -390.8 -498.3 -947.7 -879.8 -302.9 136.8 -469 -928.2 -762.1 -703.5 -703.5
0.955 -889.1 -410.4 -615.5 -605.8 -683.9 -908.6 -97.7 -459.2 547.1 469 -302.9 -576.5 -107.5 -254 19.54 351.7 -1348 -410.4 -508.1 -508.1
0.96 -1172 -693.7 -683.9 -674.6 -752.3 -869.6 -175.9 -596 615.5 429.9 -1124 -713.2 19.54 -596 29.31 214.9 -1329 -234.5 -547.6 -547.6
0.965 -928.2 -517.8 -371.3 -488.5 -586.2 -879.8 -39.08 -791.4 840.3 107.5 254 -400.6 879.3 -410.4 234.5 -97.7 -938 -205.2 -469 -469
0.97 -713.2 -703.5 -224.7 -556.9 -625.3 -1006 -224.7 -1163 683.9 -283.3 -312.7 -517.8 517.8 -830.5 -9.77 -556.9 -801.2 -371.3 -605.8 -605.8
0.975 -390.8 -342 0 -58.62 -517.8 -566.7 -195.4 -879.8 674.2 -439.7 127 293.1 556.9 -449.4 -58.62 -586.2 -449.4 39.08 -576.5 -576.5
