    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz  A2 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
0.625 -381 -166.1 -723 -302.9 -195.4 -254 -87.93 -166.1 -214.9 -146.6 -117.2 -175.9 -136.8 -107.5 -107.5 -19.54 -322.4 -312.7 -224.7 0
0.63 205.2 244.3 -175.9 136.8 420.1 156.3 410.4 224.7 351.7 283.3 420.1 68.39 234.5 39.08 322.4 420.1 263.8 224.7 381 78.16
0.635 -39.08 -97.7 -596 175.9 -19.54 29.31 -19.54 -117.2 -283.3 -273.6 -58.62 -58.62 39.08 68.39 -185.6 -19.54 -19.54 0 -224.7 -58.62
0.64 293.1 302.9 -293.1 312.7 312.7 322.4 312.7 224.7 185.6 195.4 302.9 175.9 293.1 87.93 224.7 390.8 332.2 400.6 224.7 29.31
0.645 156.3 214.9 -723 156.3 -224.7 48.85 -127 -156.3 -283.3 -410.4 -78.16 -87.93 -87.93 -117.2 -312.7 -9.77 19.54 9.77 -283.3 -58.62
0.65 371.3 576.5 -351.7 175.9 68.39 283.3 244.3 234.5 302.9 78.16 302.9 244.3 107.5 68.39 254 439.7 322.4 302.9 254 39.08
0.655 146.6 166.1 -703.5 -205.2 -322.4 -117.2 -175.9 -58.62 -195.4 -390.8 -87.93 9.77 -185.6 -136.8 -283.3 68.39 -9.77 -117.2 -175.9 58.62
0.66 342 371.3 -293.1 19.54 29.31 136.8 127 254 302.9 117.2 361.5 302.9 -19.54 205.2 127 400.6 273.6 234.5 312.7 107.5
0.665 117.2 -273.6 -537.4 -254 -205.2 -107.5 -195.4 0 -214.9 -146.6 -9.77 234.5 -224.7 -68.39 -78.16 -68.39 -68.39 -78.16 -58.62 39.08
0.67 361.5 -78.16 -58.62 -29.31 263.8 107.5 127 234.5 273.6 244.3 547.1 381 234.5 214.9 214.9 195.4 302.9 351.7 390.8 58.62
0.675 -9.77 -136.8 -410.4 -254 -127 -175.9 -273.6 -127 -302.9 -214.9 29.31 381 -29.31 -97.7 -205.2 -214.9 -9.77 0 -156.3 -19.54
0.68 498.3 156.3 156.3 39.08 332.2 185.6 156.3 214.9 195.4 185.6 625.3 693.7 439.7 195.4 234.5 185.6 517.8 332.2 293.1 156.3
0.685 214.9 214.9 -146.6 -58.62 -39.08 -78.16 -146.6 -127 -293.1 -283.3 185.6 390.8 19.54 -136.8 -224.7 -214.9 263.8 58.62 -254 68.39
0.69 556.9 390.8 254 117.2 351.7 185.6 175.9 127 127 146.6 674.2 762.1 410.4 97.7 185.6 -107.5 644.8 478.7 175.9 78.16
0.695 185.6 244.3 -185.6 -166.1 -68.39 -136.8 -244.3 -263.8 -420.1 -283.3 146.6 254 87.93 -205.2 -332.2 -537.4 224.7 97.7 -361.5 -9.77
0.7 517.8 381 224.7 156.3 498.3 214.9 263.8 127 166.1 322.4 693.7 635.1 469 117.2 263.8 127 488.5 517.8 263.8 58.62
0.705 -58.62 156.3 -283.3 -166.1 97.7 -136.8 -273.6 -244.3 -351.7 -117.2 107.5 332.2 -97.7 -68.39 -361.5 -459.2 -127 156.3 -351.7 -166.1
0.71 283.3 97.7 117.2 -9.77 664.4 19.54 263.8 -78.16 175.9 146.6 576.5 254 293.1 -205.2 283.3 29.31 254 459.2 175.9 9.77
0.715 -127 -175.9 -351.7 -293.1 156.3 -342 -214.9 -429.9 -351.7 -371.3 58.62 166.1 -390.8 -420.1 -322.4 -400.6 -205.2 -19.54 -410.4 -107.5
0.72 68.39 -87.93 -19.54 -107.5 410.4 -107.5 175.9 -146.6 175.9 29.31 449.4 302.9 146.6 -254 244.3 -146.6 127 214.9 48.85 39.08
0.725 -254 -234.5 -488.5 -283.3 -175.9 -263.8 -351.7 -420.1 -381 -420.1 -78.16 214.9 -312.7 -322.4 -361.5 -361.5 -254 -166.1 -527.6 -136.8
0.73 234.5 283.3 97.7 117.2 302.9 175.9 263.8 9.77 312.7 29.31 517.8 654.6 166.1 -58.62 332.2 58.62 371.3 361.5 166.1 -29.31
0.735 -117.2 58.62 -351.7 156.3 -146.6 58.62 -156.3 -234.5 -273.6 -400.6 58.62 332.2 -156.3 -361.5 -136.8 -156.3 -87.93 146.6 -390.8 -312.7
0.74 166.1 478.7 68.39 410.4 322.4 449.4 302.9 78.16 283.3 19.54 459.2 605.8 312.7 -117.2 371.3 97.7 342 508.1 127 -244.3
0.745 -146.6 136.8 -381 342 -127 263.8 -146.6 -195.4 -254 -390.8 -87.93 478.7 -214.9 -39.08 -68.39 -224.7 -48.85 136.8 -420.1 -322.4
0.75 78.16 400.6 48.85 596 312.7 605.8 156.3 205.2 175.9 9.77 371.3 683.9 576.5 136.8 263.8 429.9 332.2 537.4 19.54 -302.9
0.755 -146.6 136.8 -410.4 302.9 -166.1 263.8 -312.7 -224.7 -390.8 -439.7 -156.3 332.2 -166.1 97.7 -234.5 -254 -78.16 78.16 -527.6 -263.8
0.76 302.9 224.7 107.5 469 234.5 400.6 9.77 9.77 58.62 -185.6 371.3 488.5 547.1 87.93 87.93 273.6 390.8 234.5 19.54 19.54
0.765 78.16 136.8 -312.7 400.6 -254 185.6 -556.9 -224.7 -556.9 -517.8 -166.1 175.9 -205.2 19.54 -508.1 -78.16 29.31 -87.93 -625.3 -127
0.77 576.5 459.2 156.3 498.3 214.9 283.3 -136.8 -9.77 -19.54 -273.6 469 254 508.1 -97.7 -39.08 39.08 469 97.7 -48.85 146.6
0.775 224.7 127 -332.2 322.4 -322.4 107.5 -674.6 -87.93 -498.3 -469 -146.6 97.7 -283.3 39.08 -586.2 136.8 19.54 -224.7 -644.8 -68.39
0.78 361.5 205.2 -29.31 371.3 29.31 175.9 -293.1 68.39 19.54 -293.1 234.5 244.3 78.16 136.8 -39.08 381 244.3 -175.9 -205.2 175.9
0.785 -146.6 -420.1 -547.6 -185.6 -390.8 -263.8 -644.8 -273.6 -420.1 -655.1 -410.4 -175.9 -371.3 -459.2 -488.5 -68.39 -302.9 -625.3 -683.9 146.6
0.79 48.85 -469 -48.85 -175.9 107.5 -97.7 -29.31 -78.16 254 -283.3 175.9 78.16 -136.8 -263.8 283.3 136.8 0 -322.4 -9.77 302.9
0.795 -175.9 -762.1 -302.9 -498.3 -19.54 -469 -224.7 -459.2 -107.5 -713.2 -136.8 -312.7 -78.16 -683.9 -146.6 -498.3 -166.1 -674.6 -234.5 429.9
0.8 127 -332.2 127 -48.85 244.3 -29.31 175.9 -19.54 293.1 -166.1 390.8 156.3 283.3 -410.4 390.8 146.6 234.5 -127 185.6 302.9
0.805 39.08 -498.3 -107.5 -263.8 -48.85 -361.5 -185.6 -508.1 -97.7 -693.7 39.08 -146.6 -166.1 -498.3 -156.3 -703.5 117.2 -527.6 -244.3 410.4
0.81 410.4 127 322.4 205.2 263.8 58.62 48.85 -97.7 273.6 -156.3 576.5 312.7 283.3 -195.4 214.9 58.62 537.4 0 29.31 185.6
0.815 107.5 -195.4 -19.54 -87.93 -263.8 -459.2 -420.1 -771.9 -293.1 -820.7 78.16 107.5 -273.6 -459.2 -302.9 -742.6 136.8 -596 -625.3 205.2
0.82 449.4 371.3 459.2 146.6 254 -224.7 9.77 -527.6 185.6 -459.2 664.4 273.6 390.8 -273.6 136.8 -381 498.3 -342 -175.9 332.2
0.825 205.2 -214.9 156.3 -29.31 -9.77 -556.9 -322.4 -879.8 -302.9 -889.1 400.6 -48.85 39.08 -635.6 -273.6 -732.8 29.31 -752.3 -635.6 254
0.83 439.7 166.1 488.5 185.6 517.8 -293.1 175.9 -508.1 156.3 -400.6 762.1 195.4 429.9 -381 214.9 -293.1 244.3 -410.4 -87.93 302.9
0.835 205.2 -283.3 87.93 -48.85 166.1 -498.3 -166.1 -644.8 -302.9 -693.7 381 97.7 -9.77 -488.5 -263.8 -488.5 -166.1 -683.9 -449.4 214.9
0.84 312.7 166.1 293.1 381 469 19.54 195.4 39.08 39.08 68.39 586.2 635.1 400.6 -127 175.9 195.4 58.62 -117.2 58.62 -29.31
0.845 136.8 -68.39 19.54 156.3 146.6 -302.9 -195.4 -351.7 -449.4 -459.2 224.7 508.1 -244.3 -117.2 -342 -254 -166.1 -576.5 -381 68.39
0.85 342 244.3 302.9 400.6 459.2 -39.08 146.6 48.85 -19.54 9.77 488.5 771.9 273.6 -19.54 107.5 312.7 175.9 -175.9 146.6 39.08
0.855 48.85 -205.2 0 97.7 117.2 -342 -195.4 -332.2 -371.3 -498.3 39.08 449.4 -29.31 -97.7 -302.9 -332.2 -39.08 -596 -214.9 214.9
0.86 244.3 29.31 293.1 263.8 498.3 -58.62 234.5 -29.31 185.6 -87.93 351.7 625.3 58.62 0 283.3 166.1 195.4 -302.9 312.7 273.6
0.865 -19.54 -175.9 -107.5 97.7 87.93 -273.6 -146.6 -283.3 -273.6 -517.8 -146.6 420.1 -234.5 -39.08 -195.4 -273.6 -117.2 -576.5 -166.1 332.2
0.87 332.2 234.5 175.9 400.6 478.7 107.5 244.3 117.2 117.2 -68.39 214.9 752.3 58.62 185.6 224.7 244.3 205.2 -97.7 234.5 136.8
0.875 29.31 87.93 -371.3 342 -78.16 9.77 -273.6 -29.31 -556.9 -342 -381 459.2 -566.7 -39.08 -351.7 48.85 -273.6 -224.7 -547.6 -254
0.88 400.6 859.8 -39.08 752.3 205.2 332.2 -78.16 185.6 -273.6 -29.31 39.08 644.8 -48.85 166.1 -48.85 361.5 107.5 195.4 -322.4 -332.2
0.885 -136.8 254 -478.7 420.1 -244.3 175.9 -556.9 39.08 -742.6 -214.9 -449.4 332.2 -429.9 19.54 -517.8 263.8 -381 -29.31 -869.6 -605.8
0.89 78.16 566.7 -48.85 703.5 68.39 459.2 -19.54 371.3 -136.8 254 29.31 537.4 -78.16 97.7 127 381 -58.62 420.1 -302.9 -615.5
0.895 -107.5 97.7 -175.9 205.2 -195.4 -9.77 -254 -58.62 -429.9 -283.3 -156.3 117.2 -351.7 -205.2 -117.2 -87.93 -254 -19.54 -556.9 -371.3
0.9 234.5 87.93 322.4 234.5 371.3 97.7 420.1 146.6 381 136.8 361.5 185.6 527.6 117.2 547.1 214.9 205.2 107.5 263.8 97.7
0.905 146.6 -459.2 127 -273.6 87.93 -527.6 156.3 -400.6 29.31 -537.4 224.7 -342 -68.39 -381 244.3 -508.1 -39.08 -566.7 0 537.4
0.91 576.5 -371.3 703.5 -263.8 703.5 -498.3 742.6 -400.6 664.4 -410.4 801.2 -185.6 517.8 -58.62 723 -342 527.6 -488.5 810.9 1094
0.915 351.7 -674.6 342 -459.2 322.4 -820.7 322.4 -742.6 273.6 -810.9 410.4 -361.5 107.5 -655.1 205.2 -615.5 195.4 -879.8 361.5 1114
0.92 498.3 -596 674.2 -224.7 703.5 -586.2 615.5 -527.6 586.2 -449.4 752.3 -166.1 508.1 -469 556.9 -420.1 420.1 -635.6 771.9 1163
