    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz 
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
0.625 273.6 -254 0 -537.4 410.4 -107.5 517.8 19.54 234.5 449.4 205.2 -87.93 -547.6 234.5 566.7 136.8 -156.3 -107.5 556.9
0.63 87.93 -332.2 -97.7 -635.6 127 -166.1 283.3 -48.85 136.8 439.7 -263.8 -234.5 -400.6 29.31 -78.16 87.93 -293.1 -195.4 283.3
0.635 312.7 -107.5 -29.31 -459.2 254 -19.54 498.3 -29.31 302.9 439.7 48.85 -19.54 -801.2 263.8 332.2 136.8 -39.08 -19.54 439.7
0.64 136.8 244.3 9.77 -283.3 156.3 195.4 322.4 48.85 254 410.4 107.5 293.1 -517.8 478.7 107.5 146.6 -68.39 127 283.3
0.645 263.8 293.1 -9.77 -312.7 9.77 185.6 214.9 -48.85 293.1 146.6 -29.31 205.2 -918.4 87.93 -107.5 -29.31 -48.85 -29.31 254
0.65 185.6 302.9 107.5 -390.8 -68.39 146.6 205.2 -107.5 429.9 68.39 117.2 185.6 -68.39 87.93 205.2 -205.2 39.08 -195.4 322.4
0.655 78.16 234.5 -156.3 -273.6 -283.3 234.5 -127 -29.31 127 -29.31 -58.62 263.8 -342 214.9 -39.08 -205.2 -146.6 -234.5 0
0.66 68.39 -136.8 -263.8 -449.4 -459.2 -68.39 -293.1 -263.8 -19.54 -263.8 -273.6 -97.7 87.93 -205.2 -68.39 -410.4 -263.8 -449.4 -195.4
0.665 322.4 -175.9 -39.08 -449.4 -244.3 -263.8 -254 -410.4 -39.08 -273.6 -195.4 -97.7 -234.5 -19.54 -166.1 -410.4 -97.7 -664.4 -166.1
0.67 254 -214.9 -78.16 -596 -439.7 -508.1 -410.4 -655.1 -224.7 -351.7 -371.3 -312.7 29.31 -469 -58.62 -635.6 -195.4 -869.6 -361.5
0.675 429.9 -332.2 -48.85 -781.6 -478.7 -810.9 -381 -928.2 -234.5 -556.9 -97.7 -371.3 -234.5 -498.3 -166.1 -781.6 -175.9 -1114 -302.9
0.68 78.16 -410.4 -400.6 -967.8 -762.1 -947.7 -655.1 -1025 -410.4 -655.1 -293.1 -703.5 -498.3 -635.6 283.3 -859.8 -576.5 -1192 -508.1
0.685 -87.93 -351.7 -469 -771.9 -938 -713.2 -771.9 -752.3 -488.5 -527.6 -410.4 -508.1 -420.1 -322.4 -488.5 -644.8 -850 -1075 -683.9
0.69 -312.7 -498.3 -664.4 -889.1 -977.5 -889.1 -742.6 -693.7 -449.4 -478.7 -469 -908.6 -390.8 -508.1 -68.39 -615.5 -967.8 -1133 -596
0.695 -205.2 -351.7 -302.9 -576.5 -625.3 -556.9 -556.9 -390.8 -302.9 -478.7 -39.08 -908.6 -469 -312.7 -254 -429.9 -742.6 -810.9 -351.7
0.7 -908.6 -263.8 -664.4 -498.3 -938 -527.6 -742.6 -175.9 -429.9 -244.3 -879.8 -987.3 -185.6 -146.6 -683.9 -224.7 -1064 -713.2 -517.8
0.705 -381 -381 -655.1 -498.3 -928.2 -498.3 -752.3 -224.7 -508.1 -439.7 -254 -683.9 -351.7 -107.5 -478.7 -263.8 -898.9 -674.6 -488.5
0.71 -576.5 -439.7 -889.1 -527.6 -1016 -449.4 -840.3 -224.7 -537.4 -508.1 -655.1 -498.3 -322.4 -87.93 -625.3 -263.8 -1114 -655.1 -655.1
