    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
41 149.1 149.1 149.1 149.1 149.1 149.1 149.1 149.1 149.1 149.1 149.1 149.1 149.1 149.1 149.1 149.1
0 48.99 31.95 51.97 63.98 51.97 51.97 49.93 53.94 35.96 33.99 33.99 31.95 38 35.96 38 23.95
0.005 58.96 45.93 55.98 61.94 49.93 51.97 49.93 53.94 35.96 29.99 35.96 27.95 35.96 31.95 39.96 21.98
0.01 52.99 49.93 49.93 51.97 42 45.93 39.96 42 25.99 19.94 25.99 21.98 29.99 23.95 33.99 15.94
0.015 36.98 45.93 31.95 33.99 27.95 33.99 23.95 25.99 13.98 5.969 11.94 13.98 15.94 13.98 21.98 5.969
0.02 20.96 38 10.99 17.98 11.94 17.98 7.934 9.972 2.984 1.965 0.9463 6.988 -1.019 3.931 6.988 -2.038
0.025 12.96 29.99 -4.003 5.969 0.9463 0.9463 0.9463 -2.038 0 -2.038 -10.04 0.9463 -12.01 -1.019 -2.038 -2.038
0.03 12.96 27.95 -13.03 -2.038 -9.026 -7.061 -9.026 -1.019 -3.057 -3.057 -13.03 0 -21.04 0.9463 -11.06 -5.022
0.035 20.96 27.95 -10.04 -2.038 -17.03 -10.04 -11.06 0 0 1.965 -6.042 -1.019 -18.05 -1.019 -12.01 -2.038
0.04 22.93 27.95 -6.042 0.9463 -19.07 -14.05 -11.06 -2.038 0 1.965 -2.038 0.9463 -18.05 0 -12.01 -6.042
0.045 14.99 21.98 -9.026 -5.022 -21.04 -13.03 -13.03 -7.061 -3.057 -3.057 -1.019 -7.061 -17.03 -5.022 -11.06 -7.061
0.05 0.9463 7.934 -13.03 -10.04 -23 -16.01 -13.03 -10.04 -3.057 -5.022 -4.003 -13.03 -15.07 -8.007 -9.026 -12.01
0.055 -17.03 -3.057 -21.04 -18.05 -23 -21.04 -13.03 -14.05 -5.022 -4.003 -7.061 -18.05 -17.03 -11.06 -13.03 -13.03
0.06 -27 -15.07 -25.04 -23 -23 -25.04 -13.03 -15.07 -3.057 -3.057 -13.03 -19.07 -15.07 -15.07 -11.06 -17.03
0.065 -29.04 -23 -22.06 -20.02 -18.05 -23 -8.007 -8.007 -1.019 1.965 -11.06 -15.07 -6.042 -13.03 -2.038 -15.07
0.07 -27 -27 -12.01 -12.01 -8.007 -15.07 1.965 0.9463 4.95 1.965 -6.042 -8.007 0.9463 -4.003 3.931 -8.007
0.075 -25.04 -31.01 -3.057 -7.061 -1.019 -1.019 1.965 1.965 7.934 5.969 -3.057 -3.057 7.934 -2.038 11.94 -3.057
0.08 -31.01 -41.05 1.965 0 2.984 4.95 8.953 3.931 10.99 7.934 0.9463 -1.019 12.96 5.969 19 0
0.085 -37.05 -49.06 0.9463 1.965 6.988 9.972 12.96 8.953 11.94 9.972 0.9463 5.969 15.94 9.972 17.98 4.95
0.09 -41.05 -49.06 -2.038 0 13.98 13.98 15.94 13.98 13.98 9.972 0 5.969 15.94 15.94 17.98 7.934
0.095 -29.04 -45.06 3.931 4.95 17.98 17.98 19.94 19.94 16.96 14.99 10.99 13.98 16.96 19 19 10.99
0.1 -9.026 -29.04 16.96 14.99 26.93 21.98 26.93 27.95 19 19 19.94 10.99 22.93 19 21.98 10.99
0.105 12.96 -7.061 29.99 25.99 31.95 29.99 27.95 25.99 19.94 19.94 31.95 11.94 27.95 17.98 21.98 5.969
0.11 42.95 7.934 42 36.98 34.94 36.98 30.94 26.93 16.96 15.94 38 17.98 30.94 21.98 20.96 6.988
0.115 61 27.95 46.95 38 32.97 38 28.97 22.93 9.972 8.953 32.97 17.98 25.99 19.94 16.96 5.969
0.12 64.93 42 40.98 36.98 22.93 28.97 16.96 11.94 0 0.9463 26.93 21.98 14.99 14.99 11.94 1.965
0.125 62.96 51.97 32.97 23.95 6.988 15.94 2.984 1.965 -5.022 -10.04 16.96 17.98 5.969 5.969 2.984 -3.057
0.13 54.96 53.94 15.94 10.99 -2.038 0 -4.003 -12.01 -14.05 -25.04 11.94 11.94 -1.019 -3.057 1.965 -20.02
0.135 42.95 53.94 3.931 0.9463 -13.03 -17.03 -17.03 -27 -27 -39.02 3.931 -1.019 -3.057 -23 -5.022 -37.05
0.14 32.97 45.93 -2.038 -12.01 -20.02 -35.01 -26.06 -37.05 -36.03 -46 0 -12.01 -4.003 -34.07 -13.03 -50.01
0.145 26.93 39.96 -9.026 -20.02 -23 -43.02 -31.01 -43.02 -46 -50.01 1.965 -15.07 -8.007 -34.07 -20.02 -54.01
0.15 24.97 35.96 -7.061 -19.07 -19.07 -43.02 -29.04 -39.02 -49.06 -49.06 -3.057 -13.03 -11.06 -29.04 -25.04 -49.06
0.155 22.93 38 -3.057 -7.061 -12.01 -33.05 -26.06 -30.06 -45.06 -39.02 -7.061 0.9463 -11.06 -13.03 -25.04 -34.07
0.16 19 38 0 0 -10.04 -22.06 -22.06 -23 -40.03 -35.01 -7.061 0.9463 -12.01 -1.019 -24.02 -21.04
0.165 8.953 35.96 -3.057 0 -11.06 -11.06 -25.04 -17.03 -35.01 -29.04 -11.06 -2.038 -13.03 0.9463 -19.07 -17.03
0.17 -1.019 27.95 -8.007 -1.019 -12.01 -7.061 -24.02 -13.03 -30.06 -29.04 -12.01 -2.038 -10.04 -4.003 -15.07 -16.01
0.175 -17.03 13.98 -14.05 -2.038 -16.01 -11.06 -22.06 -14.05 -32.03 -31.01 -17.03 -11.06 -8.007 -13.03 -14.05 -25.04
0.18 -33.05 0.9463 -21.04 -13.03 -19.07 -17.03 -21.04 -19.07 -31.01 -37.05 -19.07 -19.07 -5.022 -19.07 -11.06 -33.05
0.185 -35.01 -15.07 -19.07 -14.05 -14.05 -19.07 -15.07 -18.05 -25.04 -34.07 -15.07 -16.01 -1.019 -17.03 -7.061 -33.05
0.19 -33.05 -23 -9.026 -10.04 -3.057 -16.01 -3.057 -10.04 -11.06 -23 -10.04 -9.026 3.931 -12.01 1.965 -28.02
0.195 -21.04 -29.04 0 -2.038 9.972 -3.057 5.969 -2.038 0.9463 -7.061 0 0 13.98 -3.057 13.98 -17.03
0.2 -5.022 -27 16.96 11.94 27.95 12.96 19.94 14.99 8.953 7.934 16.96 11.94 26.93 4.95 26.93 1.965
0.205 8.953 -19.07 30.94 25.99 42 30.94 33.99 32.97 16.96 19 26.93 24.97 32.97 14.99 32.97 8.953
0.21 26.93 -7.061 39.96 33.99 49.93 42 38 43.96 17.98 21.98 33.99 31.95 33.99 23.95 31.95 17.98
0.215 40.98 5.969 42.95 35.96 45.93 44.98 38 43.96 12.96 12.96 32.97 38.94 30.94 26.93 22.93 16.96
0.22 50.95 21.98 38.94 31.95 33.99 33.99 27.95 33.99 2.984 1.965 27.95 36.98 20.96 23.95 12.96 7.934
0.225 58.96 38 29.99 25.99 19.94 19.94 13.98 15.94 -5.022 -15.07 21.98 31.95 9.972 15.94 0 -1.019
0.23 56.99 49.93 17.98 19.94 7.934 5.969 0 -2.038 -19.07 -31.01 13.98 23.95 0 7.934 -5.022 -15.07
0.235 50.95 57.94 7.934 13.98 -2.038 -1.019 -7.061 -11.06 -29.04 -45.06 7.934 15.94 -3.057 -2.038 -11.06 -27
0.24 38.94 59.98 -2.038 7.934 -7.061 -11.06 -17.03 -21.04 -41.05 -53.06 0 9.972 -11.06 -5.022 -17.03 -33.05
0.245 28.97 59.98 -5.022 1.965 -15.07 -19.07 -27 -27 -49.06 -57.07 -1.019 5.969 -17.03 -11.06 -23 -35.01
0.25 22.93 55.98 -7.061 0.9463 -22.06 -25.04 -35.01 -31.01 -55.03 -59.03 -5.022 1.965 -21.04 -15.07 -27 -37.05
0.255 19 47.97 -8.007 -3.057 -26.06 -30.06 -41.05 -37.05 -59.03 -61.07 -7.061 -1.019 -23 -19.07 -31.01 -39.02
0.26 14.99 33.99 -7.061 -5.022 -29.04 -33.05 -45.06 -41.05 -57.07 -59.03 -3.057 -11.06 -21.04 -25.04 -33.05 -43.02
0.265 10.99 20.96 -2.038 -6.042 -24.02 -30.06 -42.07 -42.07 -53.06 -55.03 -2.038 -20.02 -14.05 -28.02 -28.02 -46
0.27 4.95 6.988 1.965 -8.007 -16.01 -26.06 -36.03 -40.03 -42.07 -46 2.984 -24.02 -8.007 -28.02 -22.06 -46
0.275 0.9463 -2.038 0.9463 -7.061 -7.061 -21.04 -29.04 -33.05 -37.05 -39.02 1.965 -27 -3.057 -31.01 -17.03 -47.02
0.28 -1.019 -6.042 0.9463 -10.04 -5.022 -15.07 -24.02 -23 -28.02 -34.07 1.965 -26.06 -2.038 -30.06 -12.01 -44.04
0.285 -9.026 -14.05 -9.026 -13.03 -6.042 -15.07 -21.04 -17.03 -26.06 -30.06 -8.007 -24.02 -4.003 -26.06 -10.04 -40.03
0.29 -19.07 -25.04 -15.07 -19.07 -11.06 -17.03 -23 -17.03 -25.04 -31.01 -19.07 -21.04 -11.06 -23 -13.03 -37.05
0.295 -27 -31.01 -20.02 -21.04 -13.03 -16.01 -27 -16.01 -28.02 -29.04 -24.02 -17.03 -13.03 -17.03 -13.03 -27
0.3 -35.01 -39.02 -21.04 -16.01 -17.03 -13.03 -28.02 -16.01 -29.04 -29.04 -25.04 -13.03 -19.07 -13.03 -19.07 -23
0.305 -35.01 -35.01 -21.04 -11.06 -13.03 -13.03 -27 -17.03 -31.01 -29.04 -21.04 -7.061 -17.03 -13.03 -19.07 -21.04
0.31 -21.04 -22.06 -10.04 -1.019 -5.022 -8.007 -21.04 -13.03 -29.04 -25.04 -11.06 0 -8.007 -10.04 -14.05 -20.02
0.315 -5.022 -4.003 0.9463 4.95 1.965 -3.057 -18.05 -10.04 -24.02 -22.06 1.965 1.965 -1.019 -9.026 -14.05 -22.06
0.32 6.988 3.931 3.931 9.972 -2.038 -1.019 -15.07 -9.026 -23 -23 3.931 -2.038 -2.038 -13.03 -13.03 -25.04
0.325 16.96 14.99 8.953 10.99 -2.038 0.9463 -14.05 -8.007 -19.07 -21.04 9.972 0.9463 0.9463 -10.04 -10.04 -24.02
0.33 20.96 15.94 7.934 9.972 -1.019 0.9463 -13.03 -11.06 -21.04 -18.05 7.934 2.984 -2.038 -7.061 -9.026 -23
0.335 14.99 9.972 0 3.931 0.9463 -1.019 -15.07 -11.06 -19.07 -19.07 5.969 0 -1.019 -3.057 -13.03 -21.04
0.34 10.99 4.95 0.9463 -2.038 -1.019 -4.003 -13.03 -10.04 -16.01 -16.01 1.965 0 -3.057 1.965 -12.01 -17.03
