    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 133.1 133.1 133.1 133.1 133.1 133.1 133.1 133.1 133.1 133.1 133.1 133.1 133.1 133.1 133.1 133.1
0 26.96 0 33.98 19.95 31.97 19.95 13.97 9.941 13.97 1.949 37.94 -7.017 33.98 15.98 15.98 -1.04
0.005 22.94 1.949 29.95 3.963 22.94 13.97 3.963 -1.04 9.941 0 39.96 -2.014 25.99 5.978 13.97 -1.04
0.01 16.96 0 19.95 -5.003 14.94 9.941 -5.003 -13.06 3.963 -1.04 36 9.941 18 0 9.941 0.9746
0.015 12.99 -2.014 5.978 -13.06 7.992 5.978 -13.06 -17.02 3.963 -7.017 27.94 18 9.941 -2.014 9.941 -2.014
0.02 10.98 0.9746 1.949 -12.02 5.978 7.992 -13.06 -11.05 9.941 -11.05 18 13.97 4.938 3.963 13.97 -2.014
0.025 10.98 0.9746 -2.014 -4.028 5.978 7.992 -9.031 -1.04 15.98 -9.031 13.97 3.963 4.938 9.941 18 -2.014
0.03 12.99 0.9746 -2.014 0 9.941 9.941 -1.04 1.949 19.95 -3.054 11.96 -3.054 5.978 7.992 19.95 -1.04
0.035 14.94 -2.014 4.938 4.938 12.99 9.941 -2.014 1.949 18 0 13.97 -15.01 6.952 0.9746 15.98 -3.054
0.04 18.97 0.9746 11.96 6.952 18 5.978 -2.014 0.9746 15.98 5.978 12.99 -21.05 9.941 -15.01 14.94 -5.003
0.045 18.97 -1.04 11.96 1.949 23.98 3.963 -2.014 -3.054 15.98 7.992 7.992 -21.05 15.98 -23 13.97 -5.003
0.05 16.96 -7.017 9.941 3.963 30.99 3.963 0.9746 -3.054 20.99 7.992 4.938 -14.03 24.95 -19.04 20.99 -1.04
0.055 10.98 -13.06 8.966 5.978 25.99 7.992 4.938 0.9746 28.98 7.992 2.989 1.949 26.96 -1.04 28.98 1.949
0.06 2.989 -17.02 7.992 3.963 18 15.98 3.963 3.963 29.95 7.992 3.963 11.96 25.99 11.96 31.97 7.992
0.065 -1.04 -19.04 9.941 4.938 6.952 28.98 -1.04 12.99 26.96 7.992 8.966 26.96 13.97 19.95 26.96 8.966
0.07 -5.003 -19.04 7.992 2.989 -2.014 36.97 -4.028 20.99 16.96 7.992 11.96 28.98 2.989 18 11.96 2.989
0.075 -7.017 -13.06 5.978 0.9746 0.9746 36 -9.031 21.96 9.941 7.992 5.978 18 -1.04 9.941 -3.054 -1.04
0.08 -3.054 -6.043 7.992 -2.014 3.963 30.99 -1.04 24.95 11.96 5.978 0 2.989 -1.04 3.963 -13.06 -6.043
0.085 -1.04 -2.014 4.938 0.9746 16.96 20.99 5.978 24.95 13.97 3.963 -2.014 -3.054 7.992 6.952 -16.05 -6.043
0.09 -1.04 -1.04 0 -2.014 29.95 11.96 11.96 23.98 15.98 1.949 -13.06 -9.031 18 9.941 -13.06 -3.054
0.095 -3.054 -4.028 0 0 29.95 11.96 14.94 23.98 10.98 0.9746 -21.05 -4.028 13.97 14.94 -7.017 1.949
0.1 -3.054 -10.01 -5.003 -1.04 18.97 7.992 7.992 18 0.9746 -1.04 -22.03 1.949 5.978 6.952 -8.057 1.949
0.105 -1.04 -13.06 -7.017 -3.054 5.978 3.963 -1.04 11.96 -9.031 0.9746 -21.05 -2.014 -5.003 0.9746 -15.01 0
