    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 124.1 124.1 124.1 124.1 124.1 124.1 124.1 124.1 124.1 124.1 124.1 124.1 124.1 124.1 124.1 124.1
0 0.9692 -7.027 -13.02 -19.02 -1.03 -23.02 -29.02 -25.02 -19.02 17.99 -15.02 -11.02 -31.02 -21.02 -1.03 -27.02
0.005 0.9692 -9.026 -11.02 -17.02 0.9692 -23.02 -29.02 -25.02 -13.02 19.99 -15.02 -9.026 -27.02 -15.02 0.9692 -19.02
0.01 0.9692 -6.058 -9.026 -17.02 -1.03 -19.02 -25.02 -21.02 -7.027 7.996 -15.02 -11.02 -23.02 -11.02 -3.029 -15.02
0.015 -1.03 -1.03 -5.028 -17.02 -7.027 -13.02 -17.02 -15.02 -3.029 -9.026 -15.02 -11.02 -19.02 -5.028 -11.02 -11.02
0.02 -1.03 0 -1.03 -17.02 -9.026 -7.027 -11.02 -7.027 -1.03 -25.02 -13.02 -9.026 -11.02 -1.03 -15.02 -7.027
0.025 -1.03 6.966 -2.06 -15.02 -7.027 -1.03 -5.028 0.9692 0.9692 -29.02 -7.027 -5.028 -1.03 0.9692 -13.02 -3.029
0.03 0.9692 6.966 1.999 -9.026 -1.03 0.9692 -1.03 0 0.9692 -17.02 0.9692 -1.03 1.999 0 -5.028 0
0.035 -1.03 1.999 1.999 -3.029 -2.06 0.9692 -1.03 1.999 5.997 0.9692 5.997 7.996 9.995 3.998 0 9.995
0.04 -3.029 1.999 2.968 0.9692 0 0.9692 0 1.999 10.96 11.99 11.99 16.96 13.99 5.997 11.99 17.99
0.045 -9.026 0 3.998 -2.06 1.999 0.9692 -1.03 1.999 11.99 19.99 17.99 21.99 15.99 7.996 21.99 21.99
0.05 -9.026 -2.06 7.996 -2.06 3.998 1.999 -2.06 3.998 9.995 23.99 21.99 23.99 15.99 5.997 25.99 21.99
0.055 -1.03 8.965 13.99 0 7.996 11.99 5.997 7.996 8.965 23.99 21.99 24.96 17.99 3.998 25.99 17.99
0.06 4.967 16.96 20.96 1.999 11.99 19.99 14.96 11.99 6.966 23.99 21.99 20.96 17.99 3.998 19.99 13.99
0.065 10.96 17.99 19.99 1.999 11.99 23.99 15.99 13.99 5.997 19.99 15.99 13.99 13.99 3.998 11.99 11.99
0.07 8.965 12.96 16.96 0 7.996 19.99 12.96 9.995 8.965 13.99 5.997 6.966 7.996 5.997 3.998 7.996
0.075 0.9692 2.968 7.996 -1.03 -2.06 7.996 0 0 6.966 0 0.9692 -1.03 0 5.997 0.9692 5.997
0.08 -5.028 -5.028 0 -7.027 -7.027 -1.03 -7.027 -5.028 0 -11.02 -9.026 -5.028 -5.028 1.999 -3.029 -2.06
0.085 -7.027 -8.057 1.999 -11.02 -13.02 -15.02 -16.05 -13.02 0 -25.02 -19.02 -10.06 -13.02 -2.06 -7.027 -5.028
0.09 -3.029 -4.059 1.999 -8.057 -13.02 -23.02 -20.05 -15.02 -2.06 -29.02 -23.02 -14.05 -19.02 -1.03 -9.026 -11.02
0.095 0.9692 0.9692 0 -5.028 -11.02 -21.02 -17.02 -13.02 -3.029 -27.02 -27.02 -21.02 -23.02 -3.029 -13.02 -17.02
0.1 6.966 -1.03 6.966 1.999 -9.026 -17.02 -10.06 -9.026 1.999 -19.02 -29.02 -22.05 -27.02 -5.028 -20.05 -19.02
0.105 6.966 0.9692 8.965 0 -7.027 -9.026 -6.058 -3.029 0.9692 -11.02 -29.02 -26.05 -29.02 -3.029 -27.02 -21.02
0.11 6.966 3.998 11.99 1.999 -5.028 -3.029 -5.028 0.9692 5.997 -7.027 -29.02 -25.02 -31.02 -5.028 -29.02 -23.02
0.115 6.966 6.966 16.96 4.967 -1.03 0.9692 -2.06 1.999 8.965 -7.027 -23.02 -20.05 -27.02 -5.028 -27.02 -23.02
0.12 10.96 9.995 20.96 4.967 -2.06 1.999 1.999 5.997 8.965 -11.02 -14.05 -16.05 -21.02 -7.027 -20.05 -19.02
0.125 12.96 11.99 19.99 3.998 3.998 7.996 0 11.99 7.996 -11.02 -7.027 -9.026 -11.02 -5.028 -11.02 -13.02
0.13 10.96 9.995 18.96 2.968 3.998 9.995 6.966 13.99 8.965 -7.027 1.999 0 -1.03 -1.03 -2.06 -3.029
