    T[sec] F7  F3  F4  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
41 46.02 46.02 46.02 46.02 46.02 46.02 46.02 45.02 46.02 45.02 45.02 45.02 46.02 46.02 46.02
0 -6.292 -2.067 -0.809 14.38 6.067 6.067 9.393 0.4836 17.89 11.78 1.143 8.53 4.315 10.52 12.67
0.005 -12.94 -4.989 -3.416 18.02 6.382 7.551 9.618 -5.32 25.48 17.15 0.7914 7.474 2.427 17.89 12.4
0.01 -17.08 -5.843 -5.753 19.55 6.831 9.438 8.629 -9.233 28.27 19.7 0.7914 5.1 0.3596 22.65 10.16
0.015 -14.38 -1.213 -5.213 20.63 9.753 11.24 6.921 -8.266 24.18 17.23 -0.7035 1.847 -0.5393 19.69 6.022
0.02 -4.674 8.449 -1.303 22.07 14.11 11.46 6.112 -1.803 13.84 9.233 -6.683 -1.495 0.4494 7.191 1.258
0.025 7.191 18.43 3.775 22.47 16.63 8.989 7.101 6.287 0.9888 -1.319 -16.62 -4.397 2.697 -9.888 -2.067
0.03 15.73 22.74 6.607 18.34 13.71 3.506 6.472 9.629 -10.83 -10.29 -25.85 -8.178 3.596 -23.19 -5.573
0.035 18.43 18.83 4.719 6.472 4.27 -4.674 0.809 6.507 -20.13 -14.86 -28.31 -14.51 1.169 -26.88 -11.87
0.04 15.55 8.944 -0.809 -9.663 -7.73 -12.76 -6.697 2.594 -24.31 -13.63 -21.37 -20.14 -2.607 -21.03 -18.79
0.045 8.539 -1.663 -6.202 -21.03 -14.7 -16.18 -9.348 3.21 -20.67 -6.595 -7.562 -19.17 -3.955 -10.7 -20.4
0.05 -0.6292 -9.124 -7.236 -21.39 -12.85 -13.75 -5.258 6.331 -10.7 2.814 6.243 -11.08 -2.067 -3.955 -16.45
0.055 -9.978 -12.85 -3.236 -14.88 -6.472 -8.27 1.348 7.606 -1.348 7.914 12.93 -1.319 0.1798 -6.292 -12.94
0.06 -17.53 -14.61 2.427 -9.843 -3.775 -3.146 7.955 6.155 1.213 5.012 11.17 5.188 0.4494 -15.37 -13.03
0.065 -20.85 -14.83 6.112 -9.528 -6.921 1.618 13.48 3.649 -1.663 -2.462 6.419 8.705 -0.6292 -22.38 -13.21
0.07 -17.17 -11.82 6.787 -10.74 -10.7 6.607 16.63 0.5716 -4.764 -7.738 5.804 10.73 -1.528 -20.76 -9.798
0.075 -5.933 -4.225 6.337 -10.25 -9.663 10.34 15.91 -1.539 -5.438 -8.178 10.55 12.05 -1.348 -11.78 -3.056
0.08 7.371 5.303 6.831 -7.64 -4.854 11.24 13.62 0.2198 -5.393 -6.243 16.09 13.72 0.08989 -2.157 5.393
0.085 14.29 11.06 8.135 -5.079 -0.4045 10.2 12.67 4.748 -6.921 -4.748 17.59 16.27 2.067 2.966 14.56
0.09 9.978 9.124 8.719 -4.989 0.1798 9.303 12.18 6.815 -10.74 -4.309 14.68 17.59 2.607 3.865 21.39
0.095 -1.708 1.573 7.281 -8.225 -2.472 10.29 10.11 4.529 -15.55 -4.133 10.64 14.86 0.6292 3.416 22.65
0.1 -11.51 -4.989 4.539 -10.79 -4.404 13.8 8.135 2.242 -16.94 -2.022 9.145 9.673 -1.618 5.124 20.4
0.105 -12.58 -5.213 2.831 -7.011 -0.1348 19.1 8.989 3.429 -10.74 3.957 11.7 6.859 -1.348 10.34 20.13
0.11 -6.022 0.1348 3.596 3.146 9.933 22.34 10.7 5.672 1.483 12.4 15.56 7.562 1.528 16.81 22.56
0.115 0.3596 4.36 5.169 11.1 17.44 18.74 9.079 5.936 11.91 17.5 15.56 8.354 3.865 20.85 23.1
0.12 -1.079 0.4494 3.82 7.775 13.12 7.551 3.371 4.441 13.48 15.04 9.233 6.771 3.955 21.03 19.51
0.125 -11.96 -11.91 -2.517 -5.573 -2.292 -5.618 -3.91 0.5276 7.281 7.211 -0.9673 3.869 2.966 19.33 15.1
0.13 -24.99 -25.03 -11.64 -18.79 -18.29 -15.1 -11.42 -7.211 0 -0.6155 -10.82 0.7035 3.146 17.17 12.04
0.135 -29.48 -29.21 -18.07 -23.1 -24.85 -19.24 -17.44 -15.43 -3.236 -5.452 -17.59 -2.726 4.854 12.94 8.809
0.14 -20.31 -20.4 -17.75 -16.81 -19.73 -19.82 -18.38 -16.44 -1.393 -6.859 -20.22 -5.364 7.101 5.573 4.135
0.145 -2.787 -3.371 -10.97 -3.91 -7.146 -18.02 -13.21 -7.87 3.865 -4.573 -17.23 -5.628 8.449 -2.517 -0.4494
0.15 12.22 12.09 -1.978 8.764 6.157 -14.56 -6.202 2.594 9.933 0.7914 -9.057 -4.573 7.191 -6.742 -4.494
0.155 16.54 18.25 4.18 14.7 13.62 -10.65 -3.326 7.606 13.26 5.892 -0.08793 -5.54 3.236 -5.124 -8.629
0.16 10.34 13.98 5.393 11.82 12.49 -7.551 -5.169 6.375 11.96 6.683 4.573 -8.617 -1.079 -0.08989 -11.33
0.165 0.5393 4.629 3.416 4.315 6.697 -4.674 -8.27 1.583 8.135 2.99 3.341 -11.17 -2.876 4.674 -9.978
0.17 -5.124 -2.382 1.663 -1.393 2.921 -2.112 -10.2 -3.21 5.393 -1.671 -0.7035 -12.05 -2.427 7.281 -6.112
0.175 -3.236 -3.056 1.888 -3.326 4.27 -0.9888 -10.34 -4.309 5.843 -3.781 -3.429 -12.93 -2.876 8 -5.393
0.18 3.775 1.483 2.787 -2.742 8.045 -1.483 -8.629 0.4836 8.539 -1.935 -2.198 -14.6 -6.742 8.449 -9.978
0.185 9.079 6.157 1.573 -1.258 10.43 -2.202 -6.562 5.276 11.24 2.374 1.319 -15.74 -12.76 9.438 -16.36
0.19 7.011 5.843 -3.371 0.1348 8.854 -2.472 -7.865 1.143 11.64 5.188 1.671 -16 -17.71 8.629 -20.67
0.195 -2.427 -0.9438 -10.79 -0.1798 1.888 -3.685 -13.35 -11.7 8.494 2.814 -5.012 -16 -19.42 2.966 -22.11
0.2 -13.57 -10.88 -16.81 -2.607 -7.955 -5.843 -17.75 -22.86 3.775 -2.902 -15.48 -14.77 -16.99 -6.292 -20.49
0.205 -18.79 -17.26 -17.62 -3.191 -14.02 -5.663 -15.24 -23.74 2.517 -5.452 -20.49 -10.64 -11.87 -12.85 -15.91
0.21 -14.47 -14.92 -11.55 1.169 -10.47 -0.4944 -6.157 -15.12 6.652 -1.055 -15.48 -4.309 -6.292 -12.13 -10.7
0.215 -2.607 -4 -0.764 8.225 -0.6742 7.011 4.494 -2.814 10.2 3.781 -6.595 0.5276 -2.787 -8 -9.079
0.22 10.88 9.753 10.11 10.38 5.079 11.55 12.18 8.002 3.82 -1.143 -4.309 2.55 -1.079 -9.528 -10.88
0.225 19.96 19.28 16.81 3.416 0.4494 9.438 14.2 12.88 -15.01 -19.08 -12.4 2.902 0.4494 -21.66 -12.31
0.23 22.02 20.9 17.26 -9.753 -11.33 1.258 9.753 9.321 -37.3 -40.98 -23.92 2.462 2.427 -38.65 -10.97
0.235 19.42 16.76 12 -22.07 -21.17 -9.303 -0.1348 0.6155 -49.35 -51.97 -27.7 0.6155 3.146 -47.82 -8.539
0.24 16.99 12 3.64 -26.83 -21.71 -16.94 -11.33 -7.518 -43.6 -43.62 -17.15 -2.286 1.079 -40.18 -6.921
0.245 16.9 10.29 -4.764 -21.8 -12.27 -17.71 -19.46 -13.63 -24.31 -20.14 2.638 -4.309 -2.966 -18.25 -5.483
0.25 16.36 10.83 -11.28 -10.83 0.4494 -12.36 -23.87 -18.6 -5.034 3.605 18.11 -4.485 -6.202 4.045 -3.865
0.255 11.15 9.798 -15.42 -1.124 8.18 -6.697 -24.63 -21.06 2.382 13.98 18.47 -3.517 -6.472 12.31 -2.157
0.26 1.258 4.989 -16.99 3.596 7.91 -5.348 -20.94 -17.02 -2.562 9.761 6.331 -1.671 -3.326 4.135 0.1798
0.265 -8.719 -1.528 -15.28 7.056 5.393 -6.966 -12.81 -7.386 -9.393 2.286 -5.188 1.231 1.618 -9.079 4.584
0.27 -12.94 -5.483 -9.888 13.98 7.64 -7.506 -3.326 2.154 -7.056 3.341 -5.892 3.693 5.483 -12.76 8.899
0.275 -8.719 -4.27 -2.157 23.24 13.93 -5.169 4.315 7.123 5.079 13.63 2.814 3.517 5.753 -2.067 9.888
0.28 1.528 0.764 5.483 28.18 16.94 -0.764 9.303 8.222 17.8 24.01 11.96 1.495 2.697 16 7.371
0.285 12.4 6.157 11.15 24.49 12.09 4.404 12.85 7.738 22.11 26.03 14.6 1.055 -0.4494 29.93 5.483
0.29 18.52 8.944 13.98 14.2 2.382 8.629 15.37 7.738 16.67 18.47 10.02 4.221 -0.6292 33.08 6.742
0.295 17.71 7.955 13.62 3.146 -5.573 9.483 16.13 9.761 7.146 6.595 2.638 9.233 2.517 26.61 10.16
0.3 10.88 3.73 10.61 -4.09 -7.865 6.427 14.92 13.45 0.4944 -2.638 -2.726 13.63 6.831 16.54 12.85
0.305 0.8989 -2.337 6.337 -6.382 -5.933 1.798 12.49 16.14 -0.3146 -5.716 -3.781 16.09 9.978 8.809 13.03
0.31 -9.888 -9.034 2.517 -5.753 -3.775 -1.348 9.438 15.21 3.281 -3.254 -2.022 15.83 10.34 5.573 9.528
0.315 -19.15 -14.29 0.04494 -4.854 -3.775 -1.933 5.393 11.65 8.315 1.671 0.4397 11.96 7.551 5.753 1.888
