    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2 
41 23.01 23.01 23.01 23.01 23.01 23.01 23.01 23.01 22.01 23.01 22.01 22.01 23.01 23.01 23.01
0 -4.225 -7.236 -6.787 -3.101 -3.865 -5.888 -6.112 -4.315 -0.9458 -3.056 -2.579 -2.407 0.08989 0.4494 0.5393
0.005 -6.382 -10.65 -14.74 -6.787 -5.573 -7.865 -10.07 -8.674 -2.493 -2.247 -3.267 -3.181 1.798 3.416 2.517
0.01 -6.831 -11.55 -21.39 -9.843 -5.663 -8.045 -12.54 -12.63 -4.213 -0.7191 -3.353 -3.439 3.326 6.831 4.674
0.015 -5.124 -9.303 -23.51 -10.92 -4.18 -6.652 -12.54 -14.25 -5.245 0.3596 -3.181 -3.267 4.494 8.629 5.753
0.02 -2.247 -5.348 -20.09 -9.663 -2.427 -4.899 -10.52 -12.58 -4.858 0.08989 -3.353 -3.009 5.124 7.461 5.124
0.025 0 -2.067 -13.53 -6.921 -1.753 -4 -8.539 -8.539 -3.138 -1.258 -3.783 -3.439 5.573 4.135 2.966
0.03 1.348 -0.4045 -7.191 -4.09 -2.112 -3.551 -7.73 -4.404 -1.204 -2.697 -3.869 -4.557 5.843 0.5393 0.3596
0.035 2.247 0.8539 -2.427 -1.438 -2.427 -2.202 -7.101 -1.169 0.3869 -3.056 -2.923 -4.901 6.022 -1.169 -1.079
0.04 2.697 2.742 0.6292 1.348 -2.067 0.1798 -5.303 1.618 2.064 -2.517 -1.204 -3.353 6.562 -0.5393 -0.4494
0.045 2.427 4.315 2.427 4.225 -1.528 2.157 -2.337 4.494 4.127 -1.978 0.172 -0.2579 7.371 1.169 1.348
0.05 1.438 4.854 3.551 6.382 -1.034 3.011 1.303 7.056 6.234 -1.888 1.118 2.923 7.82 2.517 2.876
0.055 0.6292 4.944 5.213 7.371 0.1348 3.91 5.708 9.213 7.91 -1.169 2.407 5.761 7.64 3.506 3.955
0.06 0.8989 5.843 7.64 7.416 2.831 6.427 10.52 11.33 8.899 1.258 5.331 7.996 6.921 4.944 5.213
0.065 2.607 7.955 9.438 6.831 6.831 10.56 14.2 13.08 8.942 5.393 9.63 9.2 5.843 7.551 6.292
0.07 5.124 10.74 9.483 6.067 10.88 14.65 15.42 13.57 8.082 9.348 13.58 8.856 3.685 9.978 6.292
0.075 7.371 13.12 8.36 5.753 13.12 16.4 14.2 12.58 6.878 11.15 14.79 6.964 0.2697 10.25 4.494
0.08 8.09 13.62 7.191 6.202 12.36 14.34 11.42 10.61 6.191 9.978 12.3 3.869 -4.135 7.551 0.809
