    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2 
41 23.01 23.01 23.01 23.01 23.01 23.01 23.01 23.01 22.01 23.01 22.01 22.01 22.01 23.01 23.01 23.01
0 -4.674 -4.18 -2.562 -6.247 -1.798 -3.82 -3.236 -5.708 -3.74 1.618 1.462 -0.3439 -1.548 -0.5393 1.888 3.506
0.005 -5.843 -5.303 -0.1798 -2.876 -2.607 -3.64 -0.9888 -3.101 -3.267 -0.7191 -0.5159 -2.321 -1.548 -2.157 0.8989 -0.1798
0.01 -4.315 -2.831 3.191 2.427 -1.663 -1.618 3.236 2.607 -1.333 -2.247 -1.72 -4.557 -1.634 -3.506 -0.9888 -4.404
0.015 -0.6292 0.9438 6.337 7.865 0.764 1.303 7.596 7.865 1.462 -2.157 -1.548 -5.675 -0.9458 -3.236 -2.607 -6.112
0.02 2.966 3.146 7.551 10.52 3.146 3.461 9.393 9.528 3.568 -0.8989 -0.4299 -4.471 0.8598 -0.8989 -2.607 -3.685
0.025 4.674 3.775 6.247 8.719 3.955 3.551 7.506 7.685 3.654 0.3596 0.6878 -0.8598 3.439 2.247 -0.6292 1.438
0.03 4.225 3.865 3.326 3.551 2.742 1.933 3.82 4.315 1.892 0.6292 1.204 3.697 5.933 4.854 2.427 6.562
0.035 2.607 3.461 0.764 -1.348 0.6292 0.4494 1.528 1.933 0.129 0 1.29 7.566 7.48 6.022 5.124 9.258
0.04 1.798 3.236 0.2247 -2.831 -0.6292 0.8539 2.607 2.787 0 -0.7191 1.376 9.2 7.394 5.753 6.472 8.989
0.045 3.596 5.034 1.663 -0.4045 -0.1348 3.416 5.933 7.146 1.462 -0.6292 1.72 8.426 5.761 4.674 6.742 7.101
0.05 7.371 8.539 3.146 3.371 2.202 7.011 8.36 11.24 2.837 0.6292 2.923 6.191 3.267 3.506 6.382 5.303
0.055 10.61 10.52 2.831 5.258 5.393 9.843 7.64 10.34 2.364 2.876 4.643 3.783 1.29 2.607 5.843 4.045
0.06 11.69 9.258 0.5843 3.955 7.91 10.43 4.225 4.494 -0.04299 4.854 6.019 2.235 0.4299 1.708 4.674 2.697
0.065 10.43 6.652 -1.618 0.8539 8.404 8.449 0.7191 -1.573 -2.45 5.573 6.019 2.064 0.9458 0.809 2.876 0.9888
0.07 7.281 4.584 -2.292 -1.528 6.472 4.899 -0.1798 -3.955 -2.665 4.854 4.901 3.267 2.493 0.4494 1.618 -0.4494
0.075 2.876 2.022 -1.618 -1.843 3.011 1.618 1.843 -2.697 -0.172 3.775 3.611 5.761 4.299 1.169 2.337 -0.1798
0.08 -1.708 -1.258 -1.034 -0.809 -0.2697 -0.08989 4.629 -0.1798 3.009 3.416 3.353 8.254 5.073 2.157 5.213 1.618
0.085 -4.584 -2.742 -1.798 -0.1798 -2.157 -0.1348 4.989 1.483 3.955 3.596 3.955 8.856 3.611 1.978 8 3.236
0.09 -4.315 -0.7191 -3.685 -1.034 -2.067 0.6292 1.933 0.6742 1.419 3.146 4.041 6.105 0 0 7.191 2.697
0.095 -1.528 2.652 -5.438 -2.697 -0.8989 0.764 -2.831 -2.876 -3.095 0.9888 2.064 -0.3439 -3.869 -2.787 1.079 -0.08989
0.1 1.708 4.404 -5.663 -3.685 -0.4494 -0.9438 -6.517 -6.742 -6.362 -3.416 -2.751 -8.34 -5.675 -3.955 -8.36 -2.876
0.105 2.517 3.685 -4.18 -3.191 -2.472 -5.169 -7.236 -7.551 -5.933 -8.719 -9.372 -14.7 -4.041 -1.798 -16.18 -2.697
0.11 -1.079 0.1798 -2.292 -1.618 -7.191 -10.92 -5.303 -5.258 -2.064 -13.03 -14.96 -16.85 0.3439 3.326 -18.61 1.258
0.115 -8.989 -6.427 -1.573 0 -12.94 -16.18 -2.562 -2.742 2.837 -14.47 -17.28 -14.87 5.245 8.989 -15.28 7.101
0.12 -17.89 -14.16 -1.933 1.348 -17.12 -19.15 -0.8539 -1.483 5.976 -13.03 -15.91 -11.09 7.566 11.87 -9.708 10.61
0.125 -22.65 -18.02 -1.888 2.382 -17.66 -18.74 -0.809 -0.6742 5.933 -9.888 -12.12 -7.996 5.933 9.888 -5.753 9.079
0.13 -20.4 -15.69 -0.2697 3.191 -14.16 -15.15 -1.708 0.2247 3.267 -6.562 -7.824 -6.362 1.462 4.225 -4.854 3.056
0.135 -12.67 -9.933 2.202 3.416 -8.09 -9.618 -2.382 0.2247 -0.3009 -3.865 -4.385 -5.417 -3.095 -2.247 -5.393 -3.775
0.14 -3.416 -4.315 4.09 2.427 -2.247 -4.225 -2.517 -0.8539 -3.396 -2.517 -2.665 -3.783 -5.933 -6.921 -5.573 -8.449
