    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 388.2 388.2 388.2 388.2 388.2 388.2 388.2 388.2 388.2 388.2 388.2 388.2 388.2 388.2 388.2 388.2
0.625 -109.2 -59.14 -25.02 -53.07 -65.01 -55.16 -85.11 -73.16 -35.07 -57.05 -29 -61.03 -25.02 1.895 -83.02 -2.085
0.63 -113.2 -69.18 -34.12 -73.16 -92.12 -52.13 -130 -97.05 -64.07 -69.18 -31.09 -79.04 -54.02 14.97 -89.09 -20.09
0.635 -109.2 -91.17 -28.05 -81.13 -108 -53.07 -127.2 -110.1 -91.17 -66.15 -43.03 -93.07 -81.13 4.928 -78.09 -45.11
0.64 -105 -111.1 -5.118 -67.1 -103.1 -47.01 -75.06 -103.1 -105 -53.07 -45.11 -87 -95.15 -11.18 -55.16 -67.1
0.645 -101 -105 21.99 -35.07 -76.01 -37.15 0.9477 -77.15 -96.1 -36.01 -37.15 -62.17 -95.15 -20.09 -21.04 -75.06
0.65 -96.1 -83.02 43.97 -1.137 -40.18 -32.03 67.86 -43.03 -71.08 -24.07 -12.13 -29 -79.04 -16.11 7.961 -69.18
0.655 -89.09 -49.09 45.87 23.88 -15.16 -35.07 91.93 -17.06 -41.13 -25.02 9.856 0.9477 -61.03 -3.033 25.97 -59.14
0.66 -75.06 -19.14 36.96 25.97 -11.18 -42.08 66.91 -4.17 -15.16 -25.02 25.97 11.94 -43.03 0 28.81 -48.14
0.665 -62.17 -7.013 18.95 13.84 -17.06 -48.14 14.97 -4.17 -8.15 -27.11 29.95 16.87 -27.11 -9.098 19.9 -38.1
0.67 -41.13 -9.098 11.94 1.895 -27.11 -41.13 -27.11 -7.013 -11.18 -23.12 21.99 15.92 -7.013 -29 11.94 -31.09
0.675 -23.12 -11.18 20.85 4.928 -20.09 -17.06 -46.06 -2.085 -10.05 -8.15 16.87 20.85 5.876 -42.08 9.856 -16.11
0.68 -11.18 -13.08 38.86 26.92 0 15.92 -36.01 10.99 0.9477 0.9477 16.87 32.98 31.84 -40.18 12.89 -2.085
0.685 -9.098 -13.08 53.83 51.94 19.9 37.91 -13.08 25.97 19.9 15.92 17.82 41.89 51.94 -19.14 13.84 9.856
0.69 -12.13 -11.18 51.94 62.93 36.96 46.82 4.928 35.82 44.92 28.81 12.89 44.92 61.98 13.84 6.824 22.94
0.695 -10.05 -15.16 35.82 58.95 36.96 30.9 9.856 31.84 51.94 40.94 -1.137 38.86 61.98 43.97 1.895 27.86
0.7 -7.013 -25.02 7.961 33.93 19.9 3.98 3.98 17.82 43.97 47.96 -21.04 25.97 53.83 55.92 -13.08 27.86
0.705 -4.17 -27.11 -9.098 9.856 1.895 -12.13 -2.085 1.895 25.97 51.94 -39.05 15.92 45.87 54.97 -18.01 23.88
0.71 -6.065 -25.02 -17.06 0.9477 -3.033 -14.03 0.9477 -5.118 9.856 45.87 -41.13 9.856 37.91 44.92 -25.02 19.9
0.715 -19.14 -17.06 -11.18 -1.137 -7.013 -3.033 5.876 -9.098 0 33.93 -29 5.876 27.86 37.91 -29 13.84
0.72 -33.17 -9.098 -2.085 1.895 -9.098 7.961 17.82 -7.013 -2.085 15.92 -3.033 0 11.94 39.99 -35.07 3.98
0.725 -47.01 -11.18 7.961 9.856 -11.18 15.92 23.88 -9.098 0.9477 1.895 17.82 -3.033 -1.137 43.97 -39.05 -3.033
0.73 -57.05 -25.02 7.961 9.856 -17.06 9.856 17.82 -15.16 -3.033 0.9477 37.91 -13.08 -23.12 43.97 -37.15 -13.08
0.735 -63.12 -45.11 0 3.98 -21.04 -3.033 3.98 -23.12 -13.08 -2.085 43.97 -17.06 -39.05 23.88 -21.04 -21.04
0.74 -65.01 -61.03 -7.013 -3.033 -21.04 -21.04 -5.118 -33.17 -23.12 3.98 39.99 -15.16 -47.01 -9.098 0 -23.12
0.745 -69.18 -63.12 -15.16 -11.18 -17.06 -29 -13.08 -39.05 -25.02 11.94 29.95 -7.013 -47.01 -51.18 21.99 -23.12
0.75 -71.08 -51.18 -19.14 -15.16 -11.18 -23.12 -11.18 -35.07 -19.14 15.92 15.92 -2.085 -37.15 -71.08 31.84 -17.06
0.755 -67.1 -33.17 -19.14 -11.18 -7.013 -9.098 -5.118 -25.02 -5.118 21.99 5.876 5.876 -19.14 -55.16 25.97 -5.118
