    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 261.1 261.1 261.1 261.1 261.1 261.1 261.1 261.1 261.1 261.1 261.1 261.1 261.1 261.1 261.1 261.1
0.625 19 -16.07 -16.07 -4.08 -5.1 -4.08 -11.09 1.913 3.953 -9.053 -10.07 -2.04 1.913 21.93 -36.08 3.953
0.63 28.94 -11.09 -27.03 -19.13 0 0.8925 -20.02 -3.06 1.913 -4.08 -19.13 -4.08 -2.04 9.945 -39.02 -14.03
0.635 14.92 -19.13 -45.01 -33.02 -9.053 -9.053 -37.1 -15.05 -9.053 -5.1 -35.06 -23.08 -23.08 -9.053 -39.02 -41.06
0.64 -1.02 -25.12 -47.05 -29.07 -18.11 -19.13 -44.12 -21.04 -10.07 -8.033 -39.02 -34.04 -34.04 -22.06 -29.07 -57.12
0.645 -13.01 -19.13 -35.06 -11.09 -22.06 -21.04 -39.02 -15.05 -5.1 -9.053 -33.02 -35.06 -35.06 -24.1 -12.11 -62.09
0.65 -15.05 -12.11 -20.02 1.913 -14.03 -18.11 -22.06 -4.08 -2.04 -6.12 -22.06 -26.01 -26.01 -18.11 0.8925 -57.12
0.655 -13.01 -10.07 -16.07 0 -6.12 -17.09 -10.07 0.8925 -12.11 1.913 -14.03 -22.06 -20.02 -15.05 10.97 -44.12
0.66 -1.02 -8.033 -18.11 -9.053 0 -12.11 -1.02 1.913 -26.01 11.99 -9.053 -15.05 -14.03 -12.11 20.91 -26.01
0.665 2.933 -8.033 -18.11 -18.11 6.885 -6.12 -1.02 1.913 -32 24.99 0 -8.033 -6.12 -8.033 28.94 0
0.67 2.933 -13.01 -21.04 -22.06 1.913 -3.06 0.8925 0 -34.04 33.92 -2.04 -3.06 -2.04 -6.12 29.96 12.88
0.675 -1.02 -25.12 -27.03 -22.06 -1.02 -8.033 -6.12 -6.12 -31.11 24.99 -3.06 -4.08 -4.08 -10.07 27.92 27.92
0.68 -1.02 -26.01 -16.07 -14.03 -2.04 -8.033 -2.04 -2.04 -16.07 16.96 1.913 0.8925 0 -8.033 30.98 40.93
0.685 8.925 -10.07 0.8925 1.913 8.925 -1.02 13.9 9.945 0.8925 23.97 13.9 23.97 10.97 -1.02 41.95 58.91
0.69 26.9 3.953 10.97 7.905 28.94 10.97 32.9 19 17.98 34.94 28.94 42.97 29.96 4.973 52.91 68.98
0.695 36.98 14.92 16.96 4.973 38.89 14.92 42.97 19 20.91 48.96 36.98 50.87 44.88 6.885 58.91 66.94
