    T[sec]  F7  F3 Fz   F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
41 202.1 202.1 202.1 202.1 202.1 202.1 202.1 202.1 202.1 202.1 202.1 202.1 202.1 202.1 202.1 202.1
0.833333 -40.06 -44.01 -41.05 -48.06 -28.03 -21.02 -36.02 -41.05 -51.02 -13.03 -6.02 -35.03 -37.01 -1.085 -37.01 -6.02
0.84 -34.04 -45.1 -31.08 -39.08 -20.03 -21.02 -36.02 -28.03 -44.01 1.974 -7.006 -34.04 -19.05 9.967 -29.01 -1.085
0.846667 -13.03 -21.02 -8.092 -27.04 1.974 0 -17.07 -2.072 -31.08 25.95 15.99 -4.046 10.95 32.96 2.96 25.95
0.853333 -6.02 -5.033 1.974 -11.05 8.98 17.96 0 12.93 -6.02 38.98 27.93 16.97 31.97 43.91 18.95 46.97
0.86 -2.072 -1.085 6.908 -3.059 0 17.96 15.99 13.91 7.993 30 19.93 30 40.95 39.97 28.91 51.91
0.866667 4.934 5.921 15.99 -3.059 -6.02 5.921 6.908 10.95 2.96 10.95 3.947 16.97 17.96 19.93 4.934 22.99
0.873333 5.921 9.967 12.93 -11.05 -23.09 1.974 5.921 10.95 0.9868 -1.085 -13.03 -1.085 -1.085 -2.072 -13.03 -15.1
0.88 18.95 33.95 23.98 5.921 0 17.96 16.97 22.99 -8.092 6.908 1.974 16.97 3.947 -1.085 0.9868 -14.01
0.886667 16.97 26.94 25.95 20.92 2.96 15.99 24.97 23.98 0 3.947 0.9868 19.93 3.947 -14.01 10.95 -24.08
0.893333 1.974 5.921 8.98 12.93 2.96 3.947 6.908 -1.085 1.974 0 1.974 13.91 3.947 -16.09 15 -24.08
0.9 -6.02 -4.046 -2.072 -4.046 -2.072 -2.072 -2.072 0 -3.059 -1.085 -1.085 2.96 1.974 -19.05 12.93 -22.01
0.906667 -21.02 -6.02 -3.059 -2.072 0.9868 -7.006 0 1.974 -8.092 2.96 -1.085 2.96 9.967 -4.046 8.98 -2.072
0.913333 -6.02 0.9868 4.934 0.9868 10.95 -17.07 2.96 13.91 1.974 12.93 -1.085 10.95 24.97 7.993 18.95 16.97
0.92 -29.01 -15.1 -11.05 -9.079 -1.085 -35.03 -11.05 -7.006 1.974 -1.085 -27.04 -23.09 1.974 -1.085 -5.033 3.947
0.926667 -22.01 -31.08 -30.1 -25.06 -24.08 -31.08 -21.02 -29.01 -16.09 -17.07 -33.06 -40.06 -14.01 -3.059 -21.02 7.993
0.933333 -24.08 -38.09 -32.07 -36.02 -38.09 -21.02 -22.01 -29.01 -37.01 -19.05 -32.07 -46.08 -28.03 -5.033 -45.1 1.974
0.94 -13.03 -27.04 -19.05 -25.06 -23.09 -13.03 -21.02 -17.07 -45.1 -7.006 -15.1 -37.01 -23.09 -2.072 -39.08 0
