    T[sec]  F7  F3 Fz   F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
41 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1 231.1
0.833333 11.96 28.89 10.95 11.96 38.93 3.95 16.93 14.9 10.95 24.94 -7.109 2.934 36 22.91 -3.047 26.97
0.84 9.931 27.99 15.91 23.92 46.94 7.899 15.91 23.92 28.89 17.94 -4.063 0.9028 39.95 31.94 2.934 34.98
0.846667 -2.031 9.931 4.965 11.96 21.89 12.98 -2.031 8.915 23.92 1.918 -1.016 -2.031 21.89 24.94 2.934 18.96
0.853333 -1.016 6.997 0.9028 7.899 22.91 16.93 0 1.918 2.934 -4.063 5.981 1.918 16.93 12.98 10.95 8.915
0.86 10.95 8.915 -3.047 -2.031 -3.047 14.9 2.934 -14.11 0.9028 -33.06 2.934 -5.078 -8.012 -6.094 12.98 -10.04
0.866667 7.899 8.915 -10.04 -11.06 -18.06 16.93 8.915 -24.04 -20.09 -42.09 1.918 -3.047 -22.01 -36.11 12.98 -26.07
0.873333 7.899 5.981 -8.012 -15.01 -13.09 14.9 15.91 -11.06 -29 -42.09 15.91 4.965 -25.05 -48.07 18.96 -36.11
0.88 -3.047 0 0.9028 -11.06 -1.016 13.99 9.931 0.9028 -28.1 -29 16.93 6.997 -17.04 -61.05 20.99 -42.09
0.886667 -19.07 -6.094 -2.031 -11.06 10.95 0 -1.016 -9.028 -18.06 -26.07 13.99 0.9028 -13.09 -52.02 18.96 -38.03
0.893333 -41.08 -16.02 -23.02 0.9028 5.981 -11.06 -16.02 -23.02 -1.016 -19.07 -3.047 -9.028 -3.047 -35.1 14.9 -22.01
0.9 -52.02 -36.11 -35.1 -8.012 16.93 -23.02 -34.08 -40.06 -11.06 -2.031 -14.11 -26.07 1.918 -5.078 4.965 -3.047
0.906667 -39.05 -42.09 -46.04 -14.11 6.997 -21.1 -36.11 -52.02 -10.04 0.9028 -10.04 -41.08 11.96 26.97 2.934 19.97
0.913333 -34.08 -39.05 -39.05 -20.09 10.95 -28.1 -36.11 -44.01 -18.06 -4.063 -24.04 -47.06 18.96 34.98 -5.078 28.89
0.92 -38.03 -26.07 -29 -10.04 -2.031 -31.03 -28.1 -33.06 -7.109 -4.063 -19.07 -41.08 22.91 36 -9.028 21.89
0.926667 -51.01 -23.02 -21.1 -9.028 -8.012 -28.1 -28.1 -29 -1.016 -11.06 -30.02 -26.07 13.99 9.931 -25.05 0.9028
0.933333 -39.05 -16.02 -21.1 -4.063 -12.07 -6.094 -17.04 -20.09 -3.047 -10.04 -6.094 -9.028 10.95 -1.016 -21.1 -10.04
0.94 -1.016 4.965 -11.06 3.95 1.918 15.91 6.997 0 0.9028 -10.04 1.918 11.96 16.93 -15.01 2.934 -3.047
0.946667 24.94 27.99 -1.016 15.91 8.915 38.93 26.97 4.965 3.95 -5.078 18.96 34.98 17.94 -20.09 6.997 -5.078
0.953333 58.91 61.95 26.97 37.92 24.94 56.99 54.96 19.97 19.97 -3.047 30.92 48.98 23.92 -18.06 22.91 -3.047
0.96 55.97 68.95 36 34.98 17.94 46.94 58.91 16.93 23.92 -6.094 24.94 47.96 22.91 -27.08 22.91 -12.07
0.966667 30.92 49.99 23.92 27.99 -5.078 24.94 43.9 -4.063 13.99 -9.028 30.92 26.97 11.96 -11.06 24.94 1.918
0.973333 -1.016 11.96 -10.04 1.918 -14.11 0.9028 4.965 -33.06 -9.028 -11.06 12.98 2.934 0 -1.016 12.98 -2.031
0.98 -15.01 -21.1 -37.01 -25.05 -23.02 -11.06 -21.1 -53.04 -31.03 -9.028 13.99 -21.1 -7.109 13.99 0.9028 -2.031
0.986667 -15.01 -43.11 -49.09 -43.11 -37.01 -23.02 -39.05 -69.06 -39.05 -31.03 1.918 -45.03 -23.02 9.931 -15.01 -9.028
0.993333 1.918 -21.1 -26.07 -25.05 -15.01 -10.04 -22.01 -49.09 -32.05 -31.03 4.965 -32.05 -17.04 6.997 -13.09 -6.094
1 12.98 1.918 -7.109 -12.07 -8.012 -1.016 -2.031 -28.1 -16.02 -29 0.9028 -15.01 -13.09 -4.063 -17.04 -8.012
1.00667 17.94 20.99 3.95 -1.016 -12.07 9.931 15.91 -14.11 -12.07 -33.06 -4.063 -1.016 -9.028 -22.01 -19.07 -13.09
1.01333 6.997 9.931 -1.016 -1.016 -29 1.918 2.934 -24.04 -14.11 -45.03 0 -12.07 -21.1 -36.11 -37.01 -32.05
1.02 0 -5.078 -16.02 -15.01 -39.05 -2.031 -4.063 -33.06 -26.07 -61.05 -1.016 -14.11 -31.03 -58 -45.03 -48.07
1.02667 0.9028 -14.11 -19.07 -25.05 -40.06 11.96 -12.07 -32.05 -33.06 -53.04 13.99 -13.09 -31.03 -59.02 -41.08 -49.09
1.03333 5.981 -6.094 -13.09 -14.11 -32.05 11.96 -3.047 -25.05 -20.09 -47.06 2.934 -11.06 -27.08 -64.1 -39.05 -45.03
1.04 27.99 15.91 5.981 0.9028 -15.01 14.9 5.981 -1.016 -16.02 -28.1 -6.094 -10.04 -14.11 -43.11 -41.08 -42.09
1.04667 34.98 32.95 13.99 2.934 -5.078 5.981 12.98 0 0.9028 -18.06 -17.04 -1.016 -8.012 -33.06 -43.11 -33.06
1.05333 52.93 43 26.97 7.899 -8.012 31.94 27.99 9.931 0.9028 -18.06 -19.07 6.997 -6.094 -28.1 -41.08 -35.1
1.06 55.97 49.99 34.98 14.9 -1.016 41.98 38.93 31.94 0 -5.078 -2.031 26.97 0 -21.1 -13.09 -24.04
1.06667 25.96 34.98 28.89 23.92 -11.06 28.89 38.93 29.9 9.931 -4.063 4.965 31.94 1.918 -30.02 -7.109 -29
1.07333 26.97 29.9 32.95 32.95 20.99 39.95 39.95 56.99 21.89 26.97 26.97 55.97 27.99 -2.031 16.93 -4.063
1.08 19.97 31.94 31.94 43 26.97 28.89 38.93 53.94 56.99 36 14.9 53.94 50.89 9.931 16.93 10.95
1.08667 22.91 36 30.92 37.92 27.99 24.94 27.99 37.92 56.99 47.96 -3.047 28.89 57.89 31.94 6.997 29.9
1.09333 22.91 51.91 37.92 40.96 22.91 16.93 34.98 38.93 52.93 52.93 1.918 32.95 67.93 50.89 14.9 49.99
1.1 22.91 54.96 37.92 37.92 23.92 19.97 40.96 45.93 53.94 49.99 0.9028 41.98 72 50.89 14.9 58.91
1.10667 22.91 51.91 39.95 32.95 12.98 22.91 37.92 38.93 46.94 47.96 1.918 43.9 69.97 50.89 24.94 72.9
1.11333 8.915 36.9 9.931 15.91 -1.016 11.96 22.91 3.95 37.92 13.99 -22.01 19.97 41.98 26.97 2.934 46.94
1.12 -2.031 0.9028 -19.07 -12.07 -24.04 10.95 -2.031 -16.02 1.918 2.934 -23.02 0 11.96 11.96 -5.078 17.94
1.12667 -18.06 -21.1 -54.05 -37.01 -43.11 0 -21.1 -43.11 -18.06 -31.03 -21.1 -12.07 -11.06 -9.028 -13.09 1.918
1.13333 -35.1 -42.09 -67.03 -55.07 -49.09 -10.04 -48.07 -56.09 -42.09 -50.1 -26.07 -33.06 -34.08 -29 -27.08 -16.02
1.14 -14.11 -21.1 -50.1 -42.09 -49.09 -3.047 -47.06 -56.09 -55.07 -64.1 -14.11 -35.1 -39.05 -46.04 -17.04 -18.06
1.14667 -11.06 -28.1 -46.04 -47.06 -63.08 0 -58 -71.09 -63.08 -74.03 -12.07 -39.05 -60.04 -66.02 -31.03 -49.09
1.15333 0 -21.1 -30.02 -50.1 -69.06 9.931 -44.01 -63.08 -75.04 -69.06 -2.031 -24.04 -68.05 -69.06 -33.06 -54.05
1.16 0.9028 -13.09 -32.05 -47.06 -58 15.91 -24.04 -45.03 -69.06 -64.1 7.899 -8.012 -64.1 -58 -21.1 -53.04
1.16667 8.915 -10.04 -21.1 -38.03 -47.06 31.94 -6.094 -25.05 -57.1 -32.05 25.96 4.965 -44.01 -41.08 -3.047 -35.1
1.17333 7.899 0.9028 -21.1 -27.08 -35.1 24.94 0 -18.06 -34.08 -28.1 43 10.95 -30.02 -35.1 10.95 -28.1
1.18 7.899 -6.094 -21.1 -20.09 -24.04 13.99 -1.016 -29 -30.02 -17.04 38.93 -1.016 -33.06 -16.02 0.9028 -23.02
1.18667 10.95 0.9028 -17.04 -15.01 -24.04 9.931 -8.012 -36.11 -27.08 -15.01 37.92 -7.109 -31.03 -3.047 2.934 -9.028
1.19333 26.97 9.931 1.918 -3.047 1.918 28.89 -4.063 -15.01 -26.07 5.981 52.93 4.965 -5.078 28.89 22.91 16.93
