    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 342.2 342.2 342.2 342.2 342.2 342.2 342.2 342.2 342.2 342.2 342.2 342.2 342.2 342.2 342.2 342.2
0.625 22.89 25.9 -7.017 -15.04 3.843 -10.02 -17.04 -2.005 -53.13 -99.07 -125.1 -95.06 -65.16 -27.07 -57.14 -83.04
0.63 26.9 31.91 0.8354 -7.017 13.87 5.848 -2.005 15.87 -33.08 -79.03 -93.06 -67.16 -43.11 -9.022 -43.11 -69
0.635 32.91 34.92 2.84 -1.002 26.9 28.9 17.88 38.93 -13.03 -55.13 -54.13 -35.09 -19.05 3.843 -32.08 -54.13
0.64 30.91 26.9 6.85 0.8354 32.91 42.94 31.91 54.97 0 -27.07 -18.04 -3.007 0.8354 19.88 -20.05 -38.09
0.645 18.88 7.852 5.848 -1.002 29.91 53.96 41.94 59.98 13.87 -3.007 7.852 17.88 21.89 33.92 -7.017 -21.05
0.65 6.85 0 2.84 -2.005 28.9 63.99 47.95 61.98 28.9 13.87 34.92 39.93 38.93 43.94 6.85 1.838
0.655 -1.002 -5.012 -1.002 -4.01 29.91 69.84 51.96 61.98 40.93 33.92 54.97 55.97 52.96 53.96 26.9 20.88
0.66 -1.002 -7.017 0.8354 -7.017 31.91 77.86 57.97 61.98 47.95 49.96 73.85 65.99 63.99 63.99 41.94 41.94
0.665 2.84 -5.012 -3.007 -10.02 39.93 84.87 62.99 68 54.97 63.99 87.88 71.84 72.84 68 53.96 63.99
0.67 -1.002 -2.005 -9.022 -16.04 46.95 85.88 64.99 61.98 52.96 75.85 99.91 77.86 75.85 65.99 53.96 79.86
0.675 0.8354 -5.012 -17.04 -27.07 49.96 77.86 59.98 51.96 37.93 81.87 105.9 79.86 68 53.96 51.96 85.88
0.68 -3.007 -13.03 -30.07 -41.1 49.96 68.83 48.95 33.92 17.88 86.88 108.9 77.86 55.97 34.92 50.96 90.89
0.685 -13.03 -24.06 -43.11 -55.13 43.94 55.97 34.92 4.845 -1.002 86.88 103.9 74.85 40.93 10.86 48.95 92.89
0.69 -21.05 -35.09 -59.14 -65.16 33.92 33.92 13.87 -15.04 -23.06 79.86 87.88 61.98 25.9 -1.002 45.95 89.89
0.695 -25.06 -38.09 -72.01 -72.01 21.89 9.857 -1.002 -31.08 -32.08 67 69.84 52.96 15.87 -10.02 48.95 81.87
0.7 -33.08 -49.12 -84.04 -73.01 5.848 -15.04 -27.07 -44.11 -34.08 40.93 42.94 32.91 5.848 -10.02 49.96 72.84
0.705 -51.12 -69 -89.05 -73.01 -13.03 -47.11 -51.12 -55.13 -35.09 9.857 9.857 5.848 -1.002 -9.022 45.95 59.98
0.71 -65.16 -89.05 -91.06 -69 -36.09 -76.02 -68.17 -66.16 -36.09 -13.03 -19.05 -18.04 -16.04 -7.017 32.91 45.95
0.715 -75.02 -102.1 -92.06 -61.15 -54.13 -95.06 -83.04 -79.03 -39.1 -39.1 -52.13 -47.11 -38.09 -11.03 18.88 21.89
0.72 -81.03 -109.1 -87.05 -47.11 -61.15 -101.1 -91.06 -89.05 -39.1 -53.13 -85.04 -77.02 -61.15 -15.04 0.8354 0.8354
0.725 -71.01 -101.1 -73.01 -29.07 -53.13 -90.05 -90.05 -85.04 -32.08 -60.15 -110.1 -97.07 -77.02 -10.02 -18.04 -28.07
0.73 -53.13 -80.03 -54.13 -9.022 -40.1 -69 -77.02 -68.17 -19.05 -63.15 -129.1 -109.1 -81.03 0.8354 -37.09 -58.14
0.735 -27.07 -51.12 -29.07 2.84 -19.05 -44.11 -53.13 -38.09 -2.005 -56.14 -127.1 -104.1 -69 11.86 -48.12 -73.01
0.74 0.8354 -14.03 -1.002 13.87 1.838 -7.017 -15.04 0 15.87 -45.11 -103.1 -77.02 -43.11 33.92 -43.11 -72.01
0.745 18.88 11.86 29.91 25.9 21.89 28.9 24.89 37.93 34.92 -14.03 -56.14 -31.08 -3.007 54.97 -22.05 -50.12
0.75 40.93 43.94 61.98 39.93 49.96 75.85 73.85 79.86 53.96 19.88 1.838 27.9 41.94 73.85 7.852 -15.04
