    T[sec]  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 2119 2119 2119 2119 2119 2119 2119 2119 2119 2119 2119 2119 2119 2119
0.976563 -143.8 -115.9 -242.1 67.25 -363.2 -131.4 -90.02 203.8 -335.2 -115.9 -480.1 141.8 208 298
0.984375 -173.8 -148 -214.2 244.2 -419 -88.98 -229.7 106.6 -188.3 -269 -536 122.1 -283.5 442.8
0.992188 -158.3 -139.7 -187.3 14.49 -272.1 -254.5 -97.26 -84.84 -192.5 -593.9 -768.8 80.71 -604.3 458.4
1 -301.1 -311.4 -173.8 35.18 -411.8 -365.2 -63.12 28.97 -220.4 -657 -710.8 -99.33 -716 434.6
1.00781 -73.46 -60.01 -159.3 -2.069 -235.9 -123.1 73.46 151.1 -380.8 -331.1 -325.9 47.6 -718.1 545.3
1.01563 -159.3 -97.26 86.91 173.8 -241.1 -73.46 6.208 162.4 -174.9 -151.1 -190.4 -40.35 -461.5 463.5
1.02344 -49.66 -81.74 -145.9 57.94 57.94 84.84 94.16 -74.5 6.208 -388 -241.1 -346.6 -236.9 159.3
1.03125 82.77 34.14 -214.2 -346.6 154.2 161.4 -7.243 -290.7 174.9 -324.9 -327 -415.9 0 67.25
1.03906 170.7 20.69 -298 -319.7 367.3 -21.73 74.5 -344.6 394.2 -286.6 -221.4 -211.1 180 223.5
1.04688 84.84 -51.73 -391.1 -330.1 53.8 -145.9 -200.7 -313.5 204.9 -187.3 -82.77 -77.6 259.7 372.5
1.05469 30.01 -223.5 -490.4 -541.1 -123.1 -451.1 -506 -303.2 -114.9 58.98 -648.7 -299 668.4 510.1
1.0625 62.08 -309.4 -534.9 -390.1 -56.91 -419 -456.3 -238 298 -239 -836 -478 342.5 274.2
1.07031 0 -19.66 -133.5 -316.6 110.7 -211.1 -223.5 -38.28 203.8 -219.4 -754.3 149 119 543.2
1.07813 178 346.6 143.8 210 141.8 454.2 348.7 203.8 112.8 -223.5 -183.1 442.8 -372.5 636.3
1.08594 331.1 578.4 457.3 371.5 -1.035 496.6 716 273.2 -145.9 -168.7 200.7 482.2 -752.2 462.5
1.09375 138.6 316.6 197.6 76.57 -184.2 247.3 384.9 8.277 -342.5 -308.3 -57.94 119 -717 429.4
1.10156 -236.9 -235.9 -52.77 -84.84 -307.3 -215.2 162.4 60.01 -763.6 -588.7 -187.3 -52.77 -754.3 224.5
1.10938 -589.8 -363.2 -494.6 22.76 -19.66 -448 -396.3 -105.5 -75.53 -491.5 -441.8 -134.5 -541.1 291.8
1.11719 -500.8 -291.8 -507 -17.59 21.73 -251.4 -329 -240 142.8 -466.6 -321.8 -45.53 -291.8 301.1
1.125 -104.5 -118 -370.4 -327 50.7 -209 -290.7 -239 197.6 -210 -282.5 -218.3 88.98 418
1.13281 105.5 -81.74 -195.6 -98.3 -30.01 40.35 -135.5 -45.53 239 -36.21 -253.5 -297 623.9 691.2
1.14063 -239 74.5 32.08 23.8 74.5 -5.173 38.28 -179 108.6 -151.1 -208 -47.6 520.4 737.7
1.14844 46.56 86.91 -69.32 26.9 -42.42 16.55 -18.62 -242.1 168.7 -173.8 -63.12 -269 379.7 346.6
1.15625 311.4 156.2 35.18 -168.7 85.88 239 -61.05 -269 342.5 -185.2 -545.3 -164.5 75.53 118
1.16406 68.29 38.28 -152.1 7.243 53.8 2.069 -220.4 -209 -122.1 -302.1 -693.2 -189.3 -453.2 -403.5
1.17188 -165.5 38.28 -112.8 -46.56 -271.1 -64.15 -235.9 -120 -537 -325.9 -994.3 -63.12 -695.3 -179
1.17969 -11.38 -71.39 70.36 49.66 -185.2 -68.29 102.4 123.1 -318.7 -30.01 -443.9 132.4 -662.2 254.5
1.1875 -305.2 4.139 -21.73 -21.73 -303.2 70.36 135.5 199.7 -228.7 51.73 15.52 91.05 -341.4 538
1.19531 -257.6 -77.6 25.87 202.8 111.7 -58.98 178 43.46 88.98 224.5 41.39 291.8 -153.1 770.8
1.20313 -114.9 -227.6 -27.94 179 13.45 -246.3 154.2 322.8 -333.2 -92.09 196.6 289.7 -150 781.2
1.21094 -197.6 -197.6 -76.57 200.7 -51.73 -178 -23.8 88.98 2.069 77.6 379.7 270.1 -36.21 808.1
1.21875 -19.66 -181.1 -40.35 42.42 118 -57.94 179 -97.26 -92.09 413.9 317.6 -57.94 370.4 1058
1.22656 136.6 156.2 24.83 -135.5 213.1 159.3 83.81 -95.19 30.01 402.5 182.1 -60.01 540.1 1028
1.23438 503.9 196.6 327 239 224.5 248.3 121.1 -186.2 666.3 306.3 129.3 -131.4 412.8 594.9
1.24219 302.1 244.2 155.2 61.05 33.11 195.6 21.73 -209 623.9 373.5 148 -2.069 170.7 489.4
1.25 330.1 -25.87 76.57 -216.2 -56.91 -223.5 -61.05 -174.9 57.94 41.39 -13.45 -396.3 -148 483.2
1.25781 -56.91 56.91 -201.8 131.4 19.66 -375.6 86.91 -168.7 -40.35 -6.208 -27.94 30.01 -192.5 501.8
1.26563 57.94 4.139 -6.208 206.9 69.32 -137.6 39.32 109.7 139.7 -20.69 36.21 452.2 -350.8 423.2
