    T[sec]  F7  F3   F  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2
41 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1 200.1
0.833333 -11.04 -29.02 -41.04 -24.04 -8.012 -2.052 -38.01 -23.06 -30.09 13.97 14.95 -9.086 -2.052 53.93 0.977 35.96
0.84 0.977 -22.08 -29.02 -15.05 -4.006 27.94 -14.07 0 -12.02 30 51.98 21.98 11.92 69.96 30.97 59.99
0.846667 15.93 -1.075 -18.08 -1.075 -6.058 43.97 19.93 16.9 2.931 28.92 79.92 52.96 28.92 76.99 56.96 81
0.853333 6.937 11.92 -12.02 0 -15.05 39.96 37.91 16.9 10.94 11.92 77.97 59.99 30.97 58.92 64.97 77.97
0.86 -8.012 7.914 -21.01 -8.012 -21.01 15.93 30 3.908 0 -6.058 58.92 44.94 18.95 31.95 44.94 52.96
0.866667 -18.08 -1.075 -22.08 -18.08 -25.01 7.914 0 -1.075 -12.02 -11.04 37.91 31.95 0.977 6.937 22.96 23.94
0.873333 -3.029 -5.081 -12.02 -11.04 -16.02 11.92 -1.075 10.94 -12.02 -4.006 33.9 30.97 -6.058 -6.058 14.95 2.931
0.88 24.91 12.99 15.93 9.966 -1.075 30 26.97 47 2.931 9.966 35.96 45.92 -11.04 -19.05 26.97 -5.081
0.886667 49.93 55.98 51.98 40.94 24.91 35.96 72.98 87.93 38.98 23.94 24.91 57.94 -6.058 -23.06 32.93 -9.086
0.893333 47.97 74.94 67.9 59.99 39.96 22.96 96.92 104.9 68.98 24.91 -12.02 44.94 -5.081 -36.05 8.989 -23.06
0.9 20.91 62.92 50.9 51.98 36.93 -5.081 75.92 81 74.94 15.93 -71.03 4.983 -14.07 -52.08 -29.02 -46.02
0.906667 0 37.91 24.91 30.97 10.94 -28.04 33.9 40.94 51.98 0.977 -124.1 -38.01 -34 -62.04 -73.08 -67.02
0.913333 -8.012 22.96 6.937 10.94 -7.035 -33.02 0.977 0.977 17.98 -11.04 -148 -76.01 -59.01 -68 -103.1 -74.06
0.92 -7.035 13.97 0.977 -2.052 -21.01 -29.02 -15.05 -25.01 -9.086 -23.06 -125.1 -91.06 -77.09 -59.01 -101 -69.08
0.926667 -7.035 0.977 -4.006 -1.075 -16.02 -12.02 -26.09 -31.07 -19.05 -19.05 -64.09 -75.04 -69.08 -30.09 -71.03 -41.04
0.933333 -19.05 -21.01 -21.01 -10.06 -14.07 1.954 -36.05 -37.03 -15.05 -13.09 1.954 -40.06 -53.05 0 -13.09 -2.052
0.94 -36.05 -47.09 -45.04 -26.09 -22.08 3.908 -40.06 -41.04 -11.04 -1.075 53.93 -11.04 -29.02 22.96 32.93 28.92
0.946667 -41.04 -61.06 -61.06 -42.01 -31.07 11.92 -36.05 -48.07 -17 0 79.92 6.937 -14.07 33.9 58.92 50.9
0.953333 -38.01 -63.02 -63.02 -59.01 -32.05 10.94 -34 -58.04 -27.06 3.908 79.92 14.95 -9.086 32.93 52.96 51.98
0.96 -20.03 -57.06 -61.06 -65.07 -22.08 14.95 -36.05 -65.07 -39.08 5.96 65.95 14.95 -13.09 20.91 34.98 37.91
0.966667 0 -47.09 -49.05 -55.01 -7.035 22.96 -33.02 -56.08 -41.04 6.937 60.97 19.93 -18.08 10.94 28.92 26.97
0.973333 20.91 -23.06 -24.04 -29.02 2.931 30 -11.04 -27.06 -31.07 10.94 52.96 24.91 -14.07 0 30.97 12.99
0.98 31.95 7.914 7.914 1.954 11.92 17.98 19.93 5.96 -11.04 11.92 27.94 25.99 -7.035 -11.04 22.96 0.977
0.986667 23.94 39.96 41.91 31.95 21.98 -1.075 51.98 47.97 9.966 17.98 -9.086 17.98 1.954 -23.06 -1.075 -17
