    T[sec] Fp1 Fp2  F7  F3  F4  F8  T3  C3  C4  T4  T5  P3  P4  T6  O1  O2
41 215.1 215.1 215.1 215.1 215.1 215.1 215.1 215.1 215.1 215.1 215.1 215.1 215.1 215.1 215.1 215.1
0.625 13.97 0.9453 27.94 -23 -15.02 -1.05 -1.05 -23 -25.1 -3.046 -2.101 -19.01 -23 -25.1 0 11.97
0.63 23.95 4.936 33.93 -23 -11.03 0.9453 -1.05 -15.02 -20.06 -7.037 3.991 -10.08 -27.1 -27.1 4.936 7.982
0.635 34.98 8.928 25 -19.01 -7.037 8.928 4.936 -8.087 -16.07 -5.042 7.982 -8.087 -22.06 -25.1 5.987 2.941
0.64 43.9 6.932 15.96 -17.02 -3.046 9.978 3.991 -5.042 -13.02 -1.05 9.978 -5.042 -15.02 -19.01 7.982 0
0.645 41.91 4.936 12.92 -10.08 -3.046 10.92 6.932 -1.05 -11.03 0.9453 7.982 -3.046 -7.037 -15.02 11.97 2.941
0.65 35.92 6.932 20.9 0 -1.05 6.932 5.987 0.9453 -9.033 0.9453 3.991 0 1.996 -13.02 11.97 2.941
0.655 27.94 6.932 35.92 3.991 -2.101 7.982 3.991 1.996 -9.033 0.9453 0 -1.05 0 -11.03 11.97 3.991
0.66 28.99 8.928 52.94 12.92 1.996 15.96 5.987 8.928 -9.033 -2.101 0 1.996 2.941 -9.033 9.978 3.991
0.665 38.97 14.91 60.92 22.9 13.97 29.93 7.982 14.91 -7.037 3.991 3.991 -1.05 4.936 -5.042 5.987 3.991
0.67 51.99 22.9 57.98 27.94 25.94 50 11.97 17.96 -1.05 17.96 7.982 3.991 9.978 0.9453 -2.101 3.991
0.675 64.91 28.99 50 27.94 37.92 63.96 15.96 20.9 5.987 33.93 5.987 8.928 18.91 1.996 -5.042 7.982
0.68 68.9 32.98 37.92 21.95 45.9 71.95 15.96 20.9 19.96 45.9 0 6.932 26.99 5.987 -13.02 13.97
0.685 57.98 26.99 25.94 13.97 48 65.96 11.97 17.96 33.93 50 -9.033 0 29.93 5.987 -19.01 21.95
0.69 41.91 16.91 13.97 7.982 41.91 53.99 5.987 11.97 37.92 43.9 -23 -3.046 27.94 3.991 -21.01 25.94
0.695 25.94 4.936 5.987 3.991 31.93 39.91 0 5.987 33.93 31.93 -33.09 -9.033 25.94 1.996 -19.01 27.94
0.7 17.96 -1.05 3.991 0 19.96 29.93 -2.101 0 19.96 21.95 -35.08 -9.033 25.94 1.996 -15.02 29.93
0.705 17.96 0.9453 7.982 0.9453 11.97 27.94 1.996 0 5.987 17.96 -25.1 -3.046 27.94 5.987 -9.033 31.93
0.71 23.95 8.928 17.96 -5.042 11.97 31.93 7.982 1.996 0 19.96 -11.03 1.996 31.93 9.978 -1.05 35.92
0.715 27.94 18.91 23.95 -9.033 13.97 37.92 15.96 5.987 0 23.95 1.996 11.97 35.92 13.97 7.982 35.92
0.72 27.94 18.91 21.95 -11.03 15.96 39.91 23.95 9.978 7.982 23.95 15.96 17.96 29.93 9.978 21.95 31.93
0.725 21.95 14.91 11.97 -9.033 13.97 35.92 25.94 11.97 13.97 15.96 25.94 19.96 15.96 0 35.92 19.96
0.73 11.97 4.936 0.9453 -1.05 11.97 25.94 27.94 11.97 11.97 3.991 27.94 17.96 0.9453 -7.037 45.9 1.996
0.735 5.987 -1.05 -11.03 0 7.982 15.96 25.94 9.978 3.991 -5.042 23.95 13.97 -17.02 -19.01 45.9 -17.02
0.74 1.996 0.9453 -15.02 5.987 7.982 9.978 23.95 11.97 -3.046 -15.02 17.96 9.978 -29.09 -25.1 37.92 -35.08
0.745 3.991 -1.05 -13.02 5.987 11.97 9.978 19.96 11.97 -11.03 -17.02 9.978 3.991 -29.09 -23 27.94 -41.07
0.75 3.991 0.9453 -9.033 0 13.97 13.97 11.97 7.982 -9.033 -13.02 3.991 0.9453 -21.01 -17.02 19.96 -35.08
0.755 0 -5.042 -9.033 -3.046 13.97 15.96 3.991 0.9453 -1.05 -7.037 0 -9.033 -11.03 -7.037 13.97 -21.01
0.76 -1.05 -13.02 -11.03 -13.02 7.982 15.96 0.9453 -13.02 1.996 0.9453 0.9453 -19.01 -1.05 -1.05 7.982 -5.042
0.765 -9.033 -19.01 -9.033 -21.01 -2.101 11.97 -3.046 -25.1 3.991 0 -5.042 -21.01 0 -2.101 3.991 5.987
0.77 -13.02 -19.01 -1.05 -23 -5.042 7.982 0.9453 -26.05 0 1.996 -9.033 -13.02 5.987 1.996 1.996 17.96
0.775 -11.03 -13.02 9.978 -17.02 -7.037 7.982 5.987 -14.07 -3.046 3.991 -9.033 -2.101 13.97 5.987 1.996 29.93
0.78 -3.046 0.9453 25.94 -1.05 -1.05 15.96 15.96 0 -7.037 5.987 -5.042 13.97 27.94 11.97 3.991 39.91
0.785 5.987 12.92 33.93 15.96 9.978 30.98 21.95 22.9 0.9453 11.97 0 25 41.91 17.96 9.978 48
0.79 19.96 26.99 33.93 39.91 27.94 44.95 23.95 38.97 13.97 19.96 11.97 28.99 51.99 23.95 13.97 48
0.795 27.94 34.98 29.93 55.98 45.9 53.99 21.95 43.9 37.92 25.94 19.96 25.94 51.99 25.94 17.96 39.91
0.8 29.93 34.98 25.94 59.97 53.99 56.93 22.9 42.96 53.99 25.94 25 26.99 45.9 23.95 22.9 26.99
0.805 23.95 28.99 28.99 53.99 51.99 48.94 26.99 39.91 53.99 19.96 25 28.99 32.98 19.96 28.99 12.92
0.81 13.97 18.91 27.94 48 37.92 31.93 33.93 33.93 39.91 9.978 23.95 35.92 21.95 15.96 33.93 5.987
0.815 3.991 10.92 25 44.95 21.95 22.9 40.96 33.93 17.96 2.941 28.99 45.9 16.91 13.97 40.96 4.936
0.82 -2.101 4.936 16.91 48.94 7.982 19.96 42.96 38.97 1.996 -1.05 30.98 48 18.91 13.97 38.97 6.932
0.825 0 4.936 5.987 51.99 3.991 23.95 33.93 35.92 0.9453 0 27.94 41.91 15.96 13.97 27.94 3.991
0.83 2.941 8.928 1.996 48.94 9.978 36.97 25.94 29.93 2.941 6.932 21.95 28.99 12.92 12.92 13.97 0
0.835 4.936 12.92 -5.042 34.98 15.96 44.95 9.978 20.9 12.92 8.928 3.991 9.978 5.987 8.928 -1.05 -8.087
0.84 1.996 16.91 -9.033 15.96 21.95 45.9 -2.101 7.982 15.96 5.987 -3.046 -3.046 0 1.996 -17.02 -23
0.845 4.936 16.91 -10.08 0 23.95 44.95 -2.101 1.996 14.91 -2.101 -11.03 -17.02 1.996 1.996 -23 -32.03
0.85 2.941 14.91 -10.08 1.996 20.9 40.96 -6.092 -8.087 10.92 -2.101 -14.07 -18.07 2.941 0 -23 -36.03
0.855 6.932 10.92 -11.03 1.996 16.91 39.91 -6.092 -9.033 6.932 -5.042 -10.08 -13.02 10.92 1.996 -17.02 -32.03
0.86 8.928 6.932 -8.087 12.92 14.91 42.96 -2.101 -6.092 8.928 -4.096 -4.096 -6.092 20.9 -1.05 -11.03 -24.05
0.865 12.92 4.936 -6.092 19.96 17.96 46.95 0 0 16.91 -3.046 -2.101 0.9453 27.94 3.991 -7.037 -12.08
0.87 11.97 2.941 -9.033 23.95 19.96 45.9 0.9453 3.991 21.95 0.9453 3.991 1.996 25.94 1.996 -3.046 -1.05
0.875 10.92 2.941 -9.033 22.9 17.96 42.96 -1.05 10.92 25 0 5.987 3.991 23.95 0.9453 -1.05 0.9453
0.88 4.936 -1.05 -14.07 14.91 13.97 34.98 -3.046 13.97 20.9 -4.096 5.987 6.932 16.91 -1.05 -3.046 5.987
0.885 -3.046 -7.037 -19.01 1.996 5.987 25.94 -11.03 9.978 11.97 -7.037 0.9453 5.987 7.982 -2.101 -7.037 1.996
0.89 -17.02 -17.02 -24.05 -4.096 0.9453 21.95 -16.07 1.996 3.991 -8.087 -8.087 5.987 4.936 0.9453 -12.08 0.9453
0.895 -31.09 -27.1 -30.04 -16.07 -9.033 16.91 -16.07 -17.02 -3.046 -8.087 -14.07 5.987 -1.05 0.9453 -16.07 0.9453
0.9 -41.07 -29.09 -39.07 -23 -17.02 9.978 -15.02 -33.09 -19.01 -9.033 -9.033 0 -1.05 0.9453 -17.02 1.996
0.905 -43.06 -29.09 -44.01 -21.01 -25.1 6.932 -4.096 -39.07 -35.08 -9.033 2.941 0.9453 -2.101 0.9453 -6.092 6.932
0.91 -39.07 -23 -43.06 -13.02 -27.1 6.932 -1.05 -36.03 -47.05 -13.02 18.91 4.936 0.9453 0 6.932 12.92
0.915 -29.09 -17.02 -33.09 -5.042 -21.01 11.97 5.987 -21.01 -47.05 -13.02 27.94 7.982 0 1.996 23.95 13.97
0.92 -17.02 -11.03 -17.02 0.9453 -11.03 20.9 11.97 1.996 -33.09 -13.02 23.95 14.91 5.987 5.987 35.92 9.978
0.925 -7.037 -7.037 -3.046 -2.101 0.9453 28.99 9.978 12.92 -15.02 -11.03 7.982 10.92 0 5.987 37.92 0.9453
0.93 -3.046 -5.042 -2.101 -1.05 1.996 33.93 1.996 15.96 -1.05 -11.03 -3.046 0 -11.03 1.996 27.94 -17.02
0.935 -1.05 -3.046 0.9453 -3.046 3.991 31.93 -5.042 6.932 1.996 -9.033 -13.02 -7.037 -29.09 0.9453 11.97 -33.09
0.94 0.9453 -1.05 -5.042 -1.05 5.987 29.93 -11.03 0 1.996 -7.037 -15.02 -15.02 -41.07 -5.042 0.9453 -41.07
0.945 -2.101 4.936 -9.033 1.996 11.97 25.94 -13.02 -5.042 3.991 -5.042 -13.02 -17.02 -39.07 -5.042 -11.03 -41.07
0.95 5.987 14.91 -7.037 13.97 21.95 23.95 -9.033 -1.05 11.97 -1.05 -9.033 -15.02 -23 -1.05 -21.01 -31.09
0.955 11.97 20.9 -3.046 21.95 31.93 21.95 -3.046 5.987 21.95 -2.101 -9.033 -13.02 -1.05 -2.101 -29.09 -19.01
0.96 11.97 20.9 -1.05 19.96 31.93 19.96 -1.05 11.97 29.93 -2.101 -11.03 -15.02 9.978 1.996 -33.09 -9.033
0.965 3.991 14.91 -3.046 7.982 17.96 13.97 -5.042 9.978 25.94 -1.05 -15.02 -25.1 13.97 3.991 -35.08 -1.05
0.97 -5.042 2.941 -9.033 -7.037 -1.05 5.987 -13.02 -2.101 7.982 -9.033 -17.02 -35.08 9.978 3.991 -39.07 0
0.975 -19.01 -3.046 -15.02 -25.1 -27.1 -1.05 -21.01 -13.02 -11.03 -21.01 -23 -41.07 -2.101 0 -39.07 3.991
0.98 -29.09 -13.02 -19.01 -35.08 -45.06 -11.03 -25.1 -23 -35.08 -33.09 -31.09 -39.07 -5.042 -1.05 -41.07 7.982
0.985 -31.09 -19.01 -23 -33.09 -53.04 -19.01 -27.1 -27.1 -49.05 -43.06 -39.07 -33.09 -13.02 -5.042 -41.07 7.982
0.99 -25.1 -23 -27.1 -25.1 -47.05 -21.01 -27.1 -25.1 -53.04 -45.06 -45.06 -25.1 -17.02 -9.033 -37.08 5.987
0.995 -21.01 -23 -33.09 -17.02 -33.09 -15.02 -25.1 -21.01 -47.05 -39.07 -43.06 -17.02 -17.02 -7.037 -27.1 0
1 -19.01 -23 -33.09 -17.02 -15.02 -1.05 -23 -17.02 -31.09 -25.1 -31.09 -11.03 -13.02 -1.05 -15.02 -2.101
1.005 -21.01 -21.01 -29.09 -21.01 -1.05 11.97 -17.02 -17.02 -11.03 -7.037 -13.02 -7.037 -9.033 1.996 -1.05 0.9453
1.01 -25.1 -17.02 -23 -27.1 1.996 23.95 -13.02 -17.02 1.996 0 0.9453 -3.046 -5.042 7.982 3.991 0.9453
